# 上海市 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 127
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hd22/index.m3u8
CCTV2财经,http://live.hunantv.com/live373/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/live785/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
CCTV5体育,http://live.cctv.cn/hdtv92/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hdtv4/index.m3u8
CCTV6电影,http://live.hunantv.com/hd18/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
CCTV8电视剧,http://live.hunantv.com/hd38/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/hdtv90/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/live504/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/hd4/index.m3u8
CCTV13新闻,http://live.cctv.cn/live347/index.m3u8
CCTV14少儿,http://live.gdtv.cn/hd37/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/live568/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/cctv13hd/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/hd22/index.m3u8
湖南卫视,rtp://239.69.1.66:8000
浙江卫视,rtp://239.69.1.31:9000
江苏卫视,rtp://239.112.207.169:1234
东方卫视,rtp://239.112.207.151:8000
北京卫视,rtp://239.112.207.87:9000
广东卫视,rtp://239.254.99.8:1234
深圳卫视,http://cctv13.live.cctv.cn/hdtv18/index.m3u8
山东卫视,rtp://239.69.1.195:9001
天津卫视,http://cctv1.live.cctv.cn/live911/index.m3u8
辽宁卫视,rtp://239.254.99.197:5140
黑龙江卫视,rtp://239.254.99.6:9000
安徽卫视,rtp://239.254.99.139:9901
河北卫视,http://cctv13.live.cctv.cn/live556/index.m3u8
河南卫视,rtp://239.254.99.11:9001
湖北卫视,http://cctv1.live.cctv.cn/cctv3hd/index.m3u8
江西卫视,rtp://239.254.99.186:8080
福建卫视,rtp://239.254.99.12:9901
四川卫视,rtp://239.112.207.112:1234
重庆卫视,rtp://239.112.207.192:9901
贵州卫视,rtp://239.69.1.19:9000
云南卫视,rtp://239.254.99.198:9000
广西卫视,rtp://239.112.207.187:9901
海南卫视,rtp://239.112.207.171:9901
山西卫视,rtp://239.254.99.178:8000
陕西卫视,rtp://239.69.1.85:5140
甘肃卫视,rtp://239.112.207.61:9000
青海卫视,rtp://239.112.207.27:9000
宁夏卫视,rtp://239.254.99.46:1234
新疆卫视,rtp://239.254.99.243:9901
西藏卫视,rtp://239.69.1.71:1234
内蒙古卫视,rtp://239.254.99.231:1234
吉林卫视,rtp://239.254.99.75:9001
上海新闻,rtp://239.112.207.133:5140
上海都市,rtp://239.69.1.17:9000
上海影视,rtp://239.69.1.243:1234
上海生活,rtp://239.112.207.120:8000
上海经济,rtp://239.69.1.164:1234
上海科教,http://live.gdtv.cn/cctv17hd/index.m3u8
上海体育,rtp://239.69.1.213:8000
上海公共,rtp://239.112.207.238:9000
东方卫视,rtp://239.112.207.17:8000
上海新闻,rtp://239.69.1.201:9901
上海都市,http://cctv13.live.cctv.cn/cctv7hd/index.m3u8
上海外语,rtp://239.254.99.20:5140
上海纪实,rtp://239.69.1.244:5140
第一财经,rtp://239.69.1.31:1234
五星体育,rtp://239.112.207.71:1234
CCTV1 4K,http://live.hunantv.com/hdtv72/index.m3u8
CCTV4K,http://live.gdtv.cn/cctv5hd/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/hd6/index.m3u8
上海纪实4K,http://live.gdtv.cn/hd15/index.m3u8
广东4K,http://live.cctv.cn/live631/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/hd35/index.m3u8
咪咕直播4K,http://live.hunantv.com/hd20/index.m3u8
纯享4K,http://live.hunantv.com/hdtv8/index.m3u8
爱上4K,http://live.cctv.cn/hd21/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hdtv63/index.m3u8
CCTV5体育,http://live.hunantv.com/hd20/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv2hd/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hdtv18/index.m3u8
五星体育,rtp://239.254.99.94:1234
广东体育,rtp://239.112.207.98:9901
北京体育,rtp://239.254.99.164:1234
劲爆体育,rtp://239.69.1.234:9000
魅力足球,rtp://239.112.207.209:9001
CCTV6电影,http://live.cctv.cn/cctv1hd/index.m3u8
上海电影,rtp://239.254.99.157:8080
广东电影,rtp://239.112.207.48:9000
峨眉电影,rtp://239.69.1.85:9901
CHC高清电影,http://cctv13.live.cctv.cn/hd1/index.m3u8
CHC动作电影,rtp://239.112.207.99:5140
CHC家庭影院,rtp://239.254.99.52:9901
都市剧场,http://cctv1.live.cctv.cn/live225/index.m3u8
CCTV少儿,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
金鹰卡通,rtp://239.254.99.61:9901
嘉佳卡通,rtp://239.254.99.78:8080
优漫卡通,rtp://239.254.99.157:8080
炫动卡通,rtp://239.112.207.187:9901
卡酷少儿,rtp://239.69.1.127:9001
CCTV新闻,http://cctv1.live.cctv.cn/live811/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
中国教育1台,rtp://239.69.1.79:9000
中国教育2台,rtp://239.69.1.195:1234
凤凰中文,rtp://239.112.207.122:1234
凤凰资讯,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/hdtv81/index.m3u8
梨园频道,http://cctv1.live.cctv.cn/hdtv4/index.m3u8
文物宝库,rtp://239.112.207.247:9901
国学频道,rtp://239.112.207.208:8080
秦腔频道,rtp://239.112.207.51:1234
陕西秦腔,rtp://239.69.1.33:5140
甘肃秦腔,rtp://239.69.1.252:5140
宁夏秦腔,rtp://239.69.1.170:9901
中国广电4K,http://cctv1.live.cctv.cn/live386/index.m3u8
广电精品,http://live.gdtv.cn/hdtv41/index.m3u8
广电影视,rtp://239.254.99.138:5140
广电纪实,rtp://239.112.207.212:9000
广电体育,rtp://239.69.1.170:9001
广电新闻,http://live.cctv.cn/hdtv62/index.m3u8
广电综艺,rtp://239.112.207.230:9901
广电少儿,rtp://239.112.207.86:5140
广电音乐,rtp://239.69.1.183:5140
广电戏曲,http://live.cctv.cn/hdtv69/index.m3u8
广电科教,rtp://239.69.1.19:9901
广电购物,rtp://239.254.99.185:1234
IPTV经典电影,rtp://239.254.99.196:8080
IPTV热播剧场,rtp://239.69.1.66:9901
IPTV魅力时尚,rtp://239.254.99.229:9901
IPTV收视指南,rtp://239.69.1.183:9901
