# 上海市 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 111
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live712/index.m3u8
CCTV2财经,http://live.gdtv.cn/hdtv45/index.m3u8
CCTV3综艺,http://live.gdtv.cn/cctv2hd/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/live863/index.m3u8
CCTV5体育,http://live.hunantv.com/hd12/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv13hd/index.m3u8
CCTV6电影,http://live.hunantv.com/cctv9hd/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/hd33/index.m3u8
CCTV8电视剧,http://live.cctv.cn/cctv17hd/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/cctv13hd/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/cctv17hd/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/hd33/index.m3u8
CCTV12社会与法,http://live.hunantv.com/live124/index.m3u8
CCTV13新闻,http://live.gdtv.cn/cctv1hd/index.m3u8
CCTV14少儿,http://live.gdtv.cn/cctv10hd/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hdtv98/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hdtv43/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/hdtv79/index.m3u8
湖南卫视,rtp://239.112.207.206:8080
浙江卫视,rtp://239.69.1.204:9000
江苏卫视,rtp://239.254.99.160:1234
东方卫视,rtp://239.254.99.41:9001
北京卫视,rtp://239.254.99.238:9001
广东卫视,rtp://239.254.99.202:8080
深圳卫视,rtp://239.254.99.131:1234
山东卫视,http://live.cctv.cn/hd38/index.m3u8
天津卫视,rtp://239.254.99.89:9001
辽宁卫视,rtp://239.254.99.199:9001
黑龙江卫视,rtp://239.254.99.154:8000
安徽卫视,rtp://239.69.1.23:9901
河北卫视,rtp://239.69.1.14:1234
河南卫视,rtp://239.112.207.163:8000
湖北卫视,rtp://239.69.1.152:8000
江西卫视,rtp://239.69.1.243:8080
福建卫视,rtp://239.69.1.105:9001
四川卫视,rtp://239.69.1.148:8080
重庆卫视,rtp://239.69.1.53:8080
贵州卫视,rtp://239.112.207.144:9901
云南卫视,rtp://239.112.207.50:9001
广西卫视,http://cctv1.live.cctv.cn/hdtv87/index.m3u8
海南卫视,rtp://239.69.1.81:8000
山西卫视,rtp://239.254.99.194:1234
陕西卫视,rtp://239.69.1.240:1234
甘肃卫视,rtp://239.254.99.207:9000
青海卫视,rtp://239.69.1.17:8000
宁夏卫视,rtp://239.112.207.195:8000
新疆卫视,http://live.hunantv.com/hd33/index.m3u8
西藏卫视,rtp://239.112.207.143:5140
内蒙古卫视,rtp://239.69.1.27:9001
吉林卫视,rtp://239.112.207.217:5140
上海新闻,rtp://239.69.1.73:1234
上海都市,rtp://239.112.207.193:8080
上海影视,http://cctv13.live.cctv.cn/live352/index.m3u8
上海生活,http://live.hunantv.com/hdtv50/index.m3u8
上海经济,rtp://239.112.207.216:9001
上海科教,http://live.cctv.cn/live583/index.m3u8
上海体育,rtp://239.112.207.225:9001
上海公共,rtp://239.69.1.123:8080
东方卫视,http://live.gdtv.cn/live242/index.m3u8
上海新闻,rtp://239.69.1.92:9000
上海都市,rtp://239.254.99.220:5140
上海外语,rtp://239.254.99.49:8000
上海纪实,rtp://239.112.207.143:8000
第一财经,http://cctv1.live.cctv.cn/hdtv27/index.m3u8
五星体育,rtp://239.254.99.109:9901
CCTV1 4K,http://cctv1.live.cctv.cn/hdtv62/index.m3u8
CCTV4K,http://live.cctv.cn/cctv4hd/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/live409/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
广东4K,http://live.gdtv.cn/cctv13hd/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
咪咕直播4K,http://live.hunantv.com/cctv8hd/index.m3u8
