# 上海市 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 111
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live646/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/live282/index.m3u8
CCTV3综艺,http://live.cctv.cn/hd23/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/hd24/index.m3u8
CCTV5体育,http://live.gdtv.cn/hd12/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/live802/index.m3u8
CCTV6电影,http://live.cctv.cn/cctv8hd/index.m3u8
CCTV7国防军事,http://live.hunantv.com/live387/index.m3u8
CCTV8电视剧,http://live.hunantv.com/cctv1hd/index.m3u8
CCTV9纪录,http://live.hunantv.com/hd47/index.m3u8
CCTV10科教,http://live.hunantv.com/live498/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/hd43/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/hdtv78/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
CCTV14少儿,http://live.gdtv.cn/live834/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/hdtv41/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/live132/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/hd16/index.m3u8
湖南卫视,rtp://239.69.1.208:9000
浙江卫视,http://live.hunantv.com/cctv1hd/index.m3u8
江苏卫视,rtp://239.69.1.114:9001
东方卫视,rtp://239.112.207.142:9001
北京卫视,rtp://239.112.207.91:9000
广东卫视,rtp://239.254.99.46:8080
深圳卫视,rtp://239.112.207.174:5140
山东卫视,http://live.gdtv.cn/live485/index.m3u8
天津卫视,rtp://239.254.99.85:8000
辽宁卫视,rtp://239.69.1.65:1234
黑龙江卫视,rtp://239.69.1.112:5140
安徽卫视,rtp://239.112.207.132:9000
河北卫视,rtp://239.254.99.221:9901
河南卫视,rtp://239.112.207.44:9001
湖北卫视,rtp://239.254.99.166:9000
江西卫视,rtp://239.254.99.81:8000
福建卫视,rtp://239.254.99.149:9000
四川卫视,http://cctv13.live.cctv.cn/hd18/index.m3u8
重庆卫视,rtp://239.69.1.130:8080
贵州卫视,rtp://239.254.99.136:8080
云南卫视,rtp://239.254.99.95:8080
广西卫视,rtp://239.112.207.30:8000
海南卫视,rtp://239.254.99.138:8080
山西卫视,rtp://239.69.1.40:5140
陕西卫视,rtp://239.112.207.166:9901
甘肃卫视,rtp://239.254.99.185:9001
青海卫视,http://live.hunantv.com/hd10/index.m3u8
宁夏卫视,http://cctv1.live.cctv.cn/hdtv94/index.m3u8
新疆卫视,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
西藏卫视,rtp://239.69.1.248:8080
内蒙古卫视,http://live.cctv.cn/hd12/index.m3u8
吉林卫视,rtp://239.69.1.245:1234
上海新闻,rtp://239.69.1.72:9901
上海都市,rtp://239.254.99.46:8080
上海影视,rtp://239.69.1.104:8000
上海生活,rtp://239.112.207.228:9901
上海经济,rtp://239.254.99.109:8000
上海科教,rtp://239.112.207.92:8080
上海体育,rtp://239.69.1.169:8000
上海公共,rtp://239.254.99.249:5140
东方卫视,rtp://239.254.99.193:5140
上海新闻,rtp://239.254.99.252:9000
上海都市,rtp://239.69.1.120:8000
上海外语,rtp://239.254.99.213:9000
上海纪实,rtp://239.112.207.93:9901
第一财经,rtp://239.112.207.71:5140
五星体育,rtp://239.254.99.8:9901
CCTV1 4K,http://cctv13.live.cctv.cn/hdtv51/index.m3u8
CCTV4K,http://live.gdtv.cn/hdtv90/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/live126/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
广东4K,http://cctv13.live.cctv.cn/hdtv64/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/cctv11hd/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hdtv37/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/live779/index.m3u8
爱上4K,http://live.hunantv.com/cctv6hd/index.m3u8
欢笑剧场4K,http://live.hunantv.com/live849/index.m3u8
CCTV5体育,http://live.hunantv.com/live246/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/live921/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd49/index.m3u8
五星体育,rtp://239.254.99.22:8000
广东体育,rtp://239.254.99.30:9000
北京体育,rtp://239.112.207.23:9901
劲爆体育,rtp://239.69.1.47:1234
魅力足球,rtp://239.69.1.129:9901
CCTV6电影,http://cctv1.live.cctv.cn/live782/index.m3u8
上海电影,rtp://239.69.1.165:8080
广东电影,rtp://239.112.207.99:1234
峨眉电影,rtp://239.254.99.28:1234
CHC高清电影,http://live.cctv.cn/live741/index.m3u8
CHC动作电影,rtp://239.254.99.248:1234
CHC家庭影院,rtp://239.112.207.92:9901
都市剧场,rtp://239.69.1.171:9001
CCTV少儿,http://cctv13.live.cctv.cn/hdtv15/index.m3u8
