# 上海市 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 111
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
CCTV2财经,http://live.cctv.cn/hd5/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/hd39/index.m3u8
CCTV4中文国际,http://live.cctv.cn/live126/index.m3u8
CCTV5体育,http://live.hunantv.com/live875/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/cctv6hd/index.m3u8
CCTV6电影,http://live.hunantv.com/cctv4hd/index.m3u8
CCTV7国防军事,http://live.hunantv.com/live237/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/cctv10hd/index.m3u8
CCTV9纪录,http://live.hunantv.com/hd30/index.m3u8
CCTV10科教,http://live.cctv.cn/hd31/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/hdtv23/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/hdtv61/index.m3u8
CCTV13新闻,http://live.hunantv.com/live522/index.m3u8
CCTV14少儿,http://live.cctv.cn/hdtv76/index.m3u8
CCTV15音乐,http://live.gdtv.cn/cctv14hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/live144/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/hd12/index.m3u8
湖南卫视,http://cctv1.live.cctv.cn/hdtv31/index.m3u8
浙江卫视,rtp://239.112.207.199:9901
江苏卫视,rtp://239.254.99.115:8080
东方卫视,rtp://239.254.99.55:5140
北京卫视,rtp://239.254.99.64:8000
广东卫视,rtp://239.69.1.172:9901
深圳卫视,rtp://239.112.207.197:1234
山东卫视,rtp://239.69.1.129:9001
天津卫视,rtp://239.69.1.53:9001
辽宁卫视,rtp://239.69.1.145:1234
黑龙江卫视,http://live.cctv.cn/live751/index.m3u8
安徽卫视,rtp://239.254.99.107:9901
河北卫视,rtp://239.254.99.236:9001
河南卫视,rtp://239.254.99.193:8000
湖北卫视,rtp://239.112.207.200:9001
江西卫视,rtp://239.69.1.73:9901
福建卫视,rtp://239.254.99.7:5140
四川卫视,rtp://239.254.99.73:9000
重庆卫视,http://live.cctv.cn/cctv9hd/index.m3u8
贵州卫视,http://live.gdtv.cn/live783/index.m3u8
云南卫视,rtp://239.254.99.116:8080
广西卫视,rtp://239.69.1.80:8080
海南卫视,rtp://239.254.99.250:9000
山西卫视,rtp://239.112.207.32:8080
陕西卫视,rtp://239.69.1.228:9000
甘肃卫视,rtp://239.112.207.38:9001
青海卫视,http://cctv1.live.cctv.cn/hd45/index.m3u8
宁夏卫视,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
新疆卫视,http://live.gdtv.cn/live142/index.m3u8
西藏卫视,rtp://239.112.207.24:8000
内蒙古卫视,rtp://239.254.99.133:9001
吉林卫视,http://cctv13.live.cctv.cn/cctv11hd/index.m3u8
上海新闻,rtp://239.69.1.113:5140
上海都市,rtp://239.69.1.43:9001
上海影视,rtp://239.254.99.209:8000
上海生活,rtp://239.69.1.76:8000
上海经济,rtp://239.112.207.202:9901
上海科教,rtp://239.254.99.66:9001
上海体育,rtp://239.69.1.58:9901
上海公共,http://live.gdtv.cn/hd25/index.m3u8
东方卫视,rtp://239.69.1.112:9901
上海新闻,rtp://239.254.99.147:5140
上海都市,http://cctv13.live.cctv.cn/hd49/index.m3u8
上海外语,rtp://239.69.1.124:8000
上海纪实,rtp://239.112.207.33:9001
第一财经,http://cctv1.live.cctv.cn/hdtv20/index.m3u8
五星体育,rtp://239.69.1.223:8080
CCTV1 4K,http://live.hunantv.com/live584/index.m3u8
CCTV4K,http://live.cctv.cn/hdtv93/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/hd12/index.m3u8
上海纪实4K,http://live.cctv.cn/hdtv91/index.m3u8
广东4K,http://live.hunantv.com/hd46/index.m3u8
咪咕体育4K,http://live.cctv.cn/hdtv55/index.m3u8
咪咕直播4K,http://live.gdtv.cn/hd20/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hdtv55/index.m3u8
