# 云南省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 120
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hdtv84/index.m3u8
CCTV2财经,http://live.gdtv.cn/cctv7hd/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hdtv94/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/live651/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hd9/index.m3u8
CCTV6电影,http://live.gdtv.cn/cctv5hd/index.m3u8
CCTV7国防军事,http://live.cctv.cn/cctv13hd/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hd16/index.m3u8
CCTV9纪录,http://live.hunantv.com/hd2/index.m3u8
CCTV10科教,http://live.hunantv.com/cctv15hd/index.m3u8
CCTV11戏曲,http://live.hunantv.com/live969/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/cctv10hd/index.m3u8
CCTV13新闻,http://live.hunantv.com/cctv15hd/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hdtv69/index.m3u8
CCTV15音乐,http://live.cctv.cn/hd50/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hdtv61/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/hd34/index.m3u8
湖南卫视,rtp://239.45.0.209:9001
浙江卫视,rtp://239.22.0.142:9901
江苏卫视,rtp://239.22.0.94:5140
东方卫视,rtp://239.45.0.73:8000
北京卫视,rtp://239.22.0.110:1234
广东卫视,rtp://239.45.0.111:1234
深圳卫视,rtp://239.22.0.66:8000
山东卫视,http://live.hunantv.com/hdtv87/index.m3u8
天津卫视,rtp://239.69.1.157:9000
辽宁卫视,rtp://239.69.1.214:9000
黑龙江卫视,rtp://239.22.0.226:9000
安徽卫视,rtp://239.22.0.61:8000
河北卫视,rtp://239.45.0.15:9001
河南卫视,rtp://239.45.0.141:9001
湖北卫视,rtp://239.45.0.21:8000
江西卫视,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
福建卫视,rtp://239.22.0.25:5140
四川卫视,rtp://239.22.0.145:9000
重庆卫视,rtp://239.69.1.67:1234
贵州卫视,rtp://239.22.0.68:5140
云南卫视,rtp://239.69.1.61:8000
广西卫视,http://cctv13.live.cctv.cn/hdtv18/index.m3u8
海南卫视,rtp://239.22.0.2:1234
山西卫视,rtp://239.45.0.222:8000
陕西卫视,rtp://239.45.0.234:9001
甘肃卫视,rtp://239.69.1.198:8080
青海卫视,rtp://239.22.0.224:1234
宁夏卫视,rtp://239.69.1.61:8000
新疆卫视,http://live.gdtv.cn/live567/index.m3u8
西藏卫视,rtp://239.45.0.98:9001
内蒙古卫视,rtp://239.69.1.181:5140
吉林卫视,rtp://239.69.1.150:1234
云南新闻,rtp://239.69.1.125:5140
云南都市,rtp://239.22.0.5:1234
云南影视,rtp://239.45.0.24:5140
云南生活,rtp://239.22.0.138:9001
云南经济,rtp://239.22.0.214:9001
云南科教,rtp://239.69.1.239:9000
云南体育,rtp://239.69.1.236:9001
云南公共,rtp://239.69.1.123:9000
CCTV1 4K,http://cctv1.live.cctv.cn/hd35/index.m3u8
CCTV4K,http://live.gdtv.cn/hdtv45/index.m3u8
北京纪实4K,http://live.hunantv.com/hdtv34/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
广东4K,http://live.hunantv.com/cctv12hd/index.m3u8
咪咕体育4K,http://live.gdtv.cn/cctv5hd/index.m3u8
咪咕直播4K,http://live.hunantv.com/cctv5hd/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hd29/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/live153/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hd11/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/live632/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv49/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hd40/index.m3u8
五星体育,http://live.gdtv.cn/live398/index.m3u8
广东体育,http://cctv1.live.cctv.cn/hd30/index.m3u8
北京体育,rtp://239.45.0.105:9901
劲爆体育,rtp://239.45.0.236:9001
魅力足球,rtp://239.45.0.159:9000
CCTV6电影,http://live.cctv.cn/hd5/index.m3u8
上海电影,rtp://239.69.1.196:9901
广东电影,rtp://239.22.0.83:1234
峨眉电影,http://live.cctv.cn/hdtv56/index.m3u8
CHC高清电影,http://cctv13.live.cctv.cn/hd45/index.m3u8
CHC动作电影,rtp://239.69.1.165:5140
CHC家庭影院,rtp://239.69.1.252:5140
都市剧场,rtp://239.45.0.73:1234
CCTV少儿,http://cctv13.live.cctv.cn/hd31/index.m3u8
金鹰卡通,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
嘉佳卡通,rtp://239.22.0.41:9000
优漫卡通,rtp://239.69.1.30:9000
炫动卡通,http://live.gdtv.cn/cctv1hd/index.m3u8
卡酷少儿,rtp://239.22.0.22:8000
CCTV新闻,http://live.hunantv.com/cctv3hd/index.m3u8
CCTV13,http://live.hunantv.com/hd46/index.m3u8
中国教育1台,rtp://239.22.0.44:8000
中国教育2台,rtp://239.45.0.240:5140
凤凰中文,rtp://239.22.0.26:9001
凤凰资讯,rtp://239.22.0.195:9901
CCTV11戏曲,http://live.gdtv.cn/hd49/index.m3u8
梨园频道,http://live.cctv.cn/cctv15hd/index.m3u8
文物宝库,rtp://239.22.0.179:9901
国学频道,rtp://239.69.1.221:1234
秦腔频道,rtp://239.45.0.239:8080
陕西秦腔,http://live.hunantv.com/live205/index.m3u8
甘肃秦腔,http://cctv1.live.cctv.cn/hdtv44/index.m3u8
宁夏秦腔,rtp://239.45.0.68:8000
中国广电4K,http://cctv1.live.cctv.cn/hd23/index.m3u8
广电精品,rtp://239.69.1.214:8000
广电影视,rtp://239.45.0.17:8000
广电纪实,rtp://239.45.0.172:9001
广电体育,http://live.hunantv.com/cctv15hd/index.m3u8
广电新闻,rtp://239.69.1.5:9000
广电综艺,rtp://239.22.0.178:5140
广电少儿,http://cctv13.live.cctv.cn/live141/index.m3u8
广电音乐,rtp://239.69.1.134:8000
广电戏曲,rtp://239.69.1.16:8000
广电科教,http://cctv13.live.cctv.cn/live775/index.m3u8
广电购物,rtp://239.45.0.238:9001
IPTV经典电影,rtp://239.69.1.215:9000
IPTV热播剧场,rtp://239.45.0.34:8000
IPTV魅力时尚,rtp://239.69.1.117:9901
IPTV收视指南,rtp://239.22.0.95:9000
