# 云南省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/cctv13hd/index.m3u8
CCTV2财经,http://live.cctv.cn/cctv5hd/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
CCTV4中文国际,http://live.cctv.cn/hdtv96/index.m3u8
CCTV5体育,http://live.cctv.cn/hd24/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/cctv13hd/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/live396/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/hdtv75/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/live631/index.m3u8
CCTV9纪录,http://live.gdtv.cn/hd8/index.m3u8
CCTV10科教,http://live.cctv.cn/live208/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/cctv17hd/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/live380/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/hd9/index.m3u8
CCTV14少儿,http://live.gdtv.cn/live230/index.m3u8
CCTV15音乐,http://live.hunantv.com/cctv4hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hdtv43/index.m3u8
CCTV17农业农村,http://live.cctv.cn/live984/index.m3u8
湖南卫视,http://cctv13.live.cctv.cn/hd15/index.m3u8
浙江卫视,rtp://239.45.0.46:8000
江苏卫视,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
东方卫视,rtp://239.45.0.57:8080
北京卫视,rtp://239.22.0.78:9000
广东卫视,rtp://239.22.0.253:9000
深圳卫视,rtp://239.69.1.68:9001
山东卫视,rtp://239.69.1.29:9901
天津卫视,rtp://239.45.0.83:5140
辽宁卫视,rtp://239.22.0.224:9000
黑龙江卫视,http://live.hunantv.com/cctv8hd/index.m3u8
安徽卫视,rtp://239.22.0.189:8080
河北卫视,rtp://239.69.1.227:8080
河南卫视,rtp://239.22.0.87:9901
湖北卫视,rtp://239.69.1.206:9001
江西卫视,rtp://239.22.0.11:5140
福建卫视,rtp://239.69.1.192:9000
四川卫视,rtp://239.69.1.242:9901
重庆卫视,http://cctv13.live.cctv.cn/hdtv13/index.m3u8
贵州卫视,rtp://239.45.0.150:9001
云南卫视,rtp://239.69.1.225:8080
广西卫视,rtp://239.45.0.198:1234
海南卫视,rtp://239.22.0.116:9001
山西卫视,rtp://239.45.0.208:8080
陕西卫视,rtp://239.69.1.212:8080
甘肃卫视,rtp://239.69.1.193:8080
青海卫视,rtp://239.22.0.121:9001
宁夏卫视,rtp://239.22.0.126:8080
新疆卫视,rtp://239.69.1.101:8000
西藏卫视,rtp://239.45.0.26:9001
内蒙古卫视,rtp://239.69.1.198:9000
吉林卫视,rtp://239.69.1.215:9000
云南新闻,http://live.gdtv.cn/hd48/index.m3u8
云南都市,rtp://239.69.1.74:9001
云南影视,http://cctv13.live.cctv.cn/hdtv53/index.m3u8
云南生活,rtp://239.45.0.168:9901
云南经济,http://live.gdtv.cn/hdtv76/index.m3u8
云南科教,rtp://239.69.1.58:9901
云南体育,rtp://239.45.0.124:9000
云南公共,rtp://239.45.0.45:1234
CCTV1 4K,http://live.gdtv.cn/hdtv97/index.m3u8
CCTV4K,http://live.gdtv.cn/cctv6hd/index.m3u8
北京纪实4K,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
上海纪实4K,http://live.gdtv.cn/cctv2hd/index.m3u8
广东4K,http://live.cctv.cn/hd27/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
咪咕直播4K,http://live.gdtv.cn/live506/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hdtv35/index.m3u8
爱上4K,http://live.hunantv.com/hd4/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/live399/index.m3u8
CCTV5体育,http://live.gdtv.cn/hdtv88/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hdtv94/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/live949/index.m3u8
五星体育,rtp://239.22.0.162:9001
广东体育,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
北京体育,rtp://239.69.1.245:1234
劲爆体育,rtp://239.45.0.155:1234
魅力足球,http://cctv1.live.cctv.cn/hdtv87/index.m3u8
CCTV6电影,http://live.hunantv.com/live650/index.m3u8
上海电影,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
广东电影,rtp://239.22.0.154:8000
峨眉电影,http://live.hunantv.com/hd43/index.m3u8
CHC高清电影,http://live.hunantv.com/live794/index.m3u8
CHC动作电影,rtp://239.69.1.125:8000
CHC家庭影院,rtp://239.22.0.164:8000
都市剧场,rtp://239.69.1.46:9901
CCTV少儿,http://live.cctv.cn/live984/index.m3u8
金鹰卡通,http://live.hunantv.com/hd16/index.m3u8
嘉佳卡通,rtp://239.22.0.141:8000
优漫卡通,rtp://239.45.0.66:5140
炫动卡通,rtp://239.22.0.221:9000
卡酷少儿,rtp://239.69.1.156:9001
CCTV新闻,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
CCTV13,http://live.hunantv.com/cctv12hd/index.m3u8
中国教育1台,rtp://239.69.1.236:8000
中国教育2台,rtp://239.69.1.172:8080
凤凰中文,rtp://239.45.0.168:9000
凤凰资讯,rtp://239.45.0.250:9901
CCTV11戏曲,http://cctv13.live.cctv.cn/live269/index.m3u8
梨园频道,rtp://239.22.0.33:5140
