# 云南省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/hd8/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hd44/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/hd50/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hdtv73/index.m3u8
CCTV5体育,http://live.cctv.cn/hdtv94/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/live220/index.m3u8
CCTV6电影,http://live.hunantv.com/cctv6hd/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/hdtv71/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hdtv36/index.m3u8
CCTV9纪录,http://live.gdtv.cn/cctv8hd/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hd15/index.m3u8
CCTV12社会与法,http://live.hunantv.com/cctv11hd/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/hdtv33/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/live382/index.m3u8
CCTV15音乐,http://live.gdtv.cn/cctv4hd/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hdtv76/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/hd28/index.m3u8
湖南卫视,rtp://239.22.0.187:9901
浙江卫视,rtp://239.22.0.149:8000
江苏卫视,http://live.gdtv.cn/hdtv68/index.m3u8
东方卫视,rtp://239.69.1.249:9901
北京卫视,http://live.gdtv.cn/cctv13hd/index.m3u8
广东卫视,http://cctv1.live.cctv.cn/live612/index.m3u8
深圳卫视,rtp://239.22.0.4:8000
山东卫视,rtp://239.22.0.165:1234
天津卫视,http://live.gdtv.cn/live340/index.m3u8
辽宁卫视,rtp://239.22.0.27:8080
黑龙江卫视,rtp://239.45.0.141:5140
安徽卫视,rtp://239.69.1.20:9001
河北卫视,rtp://239.45.0.189:9000
河南卫视,rtp://239.69.1.224:8000
湖北卫视,http://live.gdtv.cn/hd1/index.m3u8
江西卫视,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
福建卫视,rtp://239.69.1.230:9001
四川卫视,rtp://239.45.0.157:8000
重庆卫视,rtp://239.69.1.44:5140
贵州卫视,rtp://239.22.0.64:9001
云南卫视,http://live.hunantv.com/live546/index.m3u8
广西卫视,http://cctv1.live.cctv.cn/live330/index.m3u8
海南卫视,rtp://239.45.0.234:8080
山西卫视,rtp://239.45.0.152:1234
陕西卫视,rtp://239.45.0.21:9000
甘肃卫视,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
青海卫视,rtp://239.45.0.8:9000
宁夏卫视,rtp://239.22.0.138:9001
新疆卫视,rtp://239.69.1.119:5140
西藏卫视,rtp://239.69.1.193:9001
内蒙古卫视,rtp://239.22.0.17:9001
吉林卫视,rtp://239.69.1.19:5140
云南新闻,rtp://239.45.0.37:8000
云南都市,rtp://239.22.0.77:8000
云南影视,http://live.gdtv.cn/hd20/index.m3u8
云南生活,rtp://239.45.0.248:1234
云南经济,rtp://239.45.0.150:9000
云南科教,rtp://239.69.1.236:9901
云南体育,rtp://239.22.0.171:9001
云南公共,rtp://239.45.0.128:9000
CCTV1 4K,http://live.cctv.cn/hdtv90/index.m3u8
CCTV4K,http://live.cctv.cn/hdtv99/index.m3u8
北京纪实4K,http://cctv13.live.cctv.cn/live690/index.m3u8
上海纪实4K,http://live.gdtv.cn/cctv7hd/index.m3u8
广东4K,http://cctv1.live.cctv.cn/hd21/index.m3u8
咪咕体育4K,http://live.gdtv.cn/cctv17hd/index.m3u8
咪咕直播4K,http://live.gdtv.cn/live538/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/hdtv8/index.m3u8
爱上4K,http://live.cctv.cn/cctv15hd/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/hdtv7/index.m3u8
CCTV5体育,http://live.cctv.cn/hdtv83/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hd23/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv2hd/index.m3u8
五星体育,rtp://239.69.1.161:8000
广东体育,rtp://239.22.0.247:8080
北京体育,rtp://239.22.0.98:5140
劲爆体育,rtp://239.45.0.103:8000
魅力足球,rtp://239.69.1.49:9901
CCTV6电影,http://live.hunantv.com/hdtv89/index.m3u8
上海电影,rtp://239.45.0.181:5140
广东电影,rtp://239.45.0.34:8000
峨眉电影,rtp://239.45.0.44:5140
CHC高清电影,http://cctv13.live.cctv.cn/live956/index.m3u8
CHC动作电影,rtp://239.22.0.206:9001
CHC家庭影院,rtp://239.69.1.165:9001
都市剧场,rtp://239.45.0.116:8000
CCTV少儿,http://live.hunantv.com/live885/index.m3u8
金鹰卡通,rtp://239.45.0.142:9001
嘉佳卡通,http://live.hunantv.com/hd1/index.m3u8
优漫卡通,rtp://239.22.0.138:8000
炫动卡通,rtp://239.45.0.202:8000
卡酷少儿,rtp://239.69.1.13:9001
CCTV新闻,http://live.cctv.cn/cctv12hd/index.m3u8
CCTV13,http://live.hunantv.com/cctv11hd/index.m3u8
中国教育1台,rtp://239.69.1.74:9001
中国教育2台,rtp://239.69.1.23:9901
凤凰中文,rtp://239.45.0.85:5140
凤凰资讯,rtp://239.45.0.18:1234
CCTV11戏曲,http://cctv13.live.cctv.cn/hdtv58/index.m3u8
梨园频道,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
文物宝库,rtp://239.22.0.189:8000
国学频道,rtp://239.69.1.142:1234
秦腔频道,rtp://239.22.0.5:5140
陕西秦腔,http://cctv1.live.cctv.cn/hd4/index.m3u8
甘肃秦腔,rtp://239.69.1.19:8000
宁夏秦腔,http://cctv13.live.cctv.cn/hdtv54/index.m3u8
