# 云南省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/hdtv73/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hd49/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hdtv61/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/hdtv83/index.m3u8
CCTV5体育,http://live.hunantv.com/hdtv44/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv9hd/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hd30/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/live213/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/hdtv19/index.m3u8
CCTV9纪录,http://live.gdtv.cn/hdtv92/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/hdtv10/index.m3u8
CCTV11戏曲,http://live.cctv.cn/live254/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hdtv33/index.m3u8
CCTV13新闻,http://live.hunantv.com/cctv14hd/index.m3u8
CCTV14少儿,http://live.cctv.cn/hd38/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/hd27/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd3/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/live822/index.m3u8
湖南卫视,http://live.gdtv.cn/hdtv77/index.m3u8
浙江卫视,rtp://239.45.0.18:8000
江苏卫视,rtp://239.22.0.17:8080
东方卫视,rtp://239.69.1.91:1234
北京卫视,rtp://239.45.0.5:9901
广东卫视,rtp://239.69.1.12:9001
深圳卫视,rtp://239.22.0.83:9000
山东卫视,rtp://239.22.0.248:9901
天津卫视,rtp://239.22.0.174:5140
辽宁卫视,rtp://239.45.0.158:8000
黑龙江卫视,rtp://239.69.1.75:8080
安徽卫视,rtp://239.69.1.111:9901
河北卫视,rtp://239.69.1.8:1234
河南卫视,rtp://239.69.1.111:8000
湖北卫视,rtp://239.45.0.75:9001
江西卫视,rtp://239.22.0.105:9901
福建卫视,rtp://239.45.0.192:8080
四川卫视,rtp://239.45.0.93:9901
重庆卫视,rtp://239.69.1.193:8000
贵州卫视,rtp://239.22.0.223:8080
云南卫视,rtp://239.45.0.198:9000
广西卫视,rtp://239.69.1.141:9000
海南卫视,rtp://239.22.0.133:8080
山西卫视,rtp://239.22.0.232:8000
陕西卫视,rtp://239.69.1.81:8000
甘肃卫视,rtp://239.22.0.106:8080
青海卫视,rtp://239.45.0.149:1234
宁夏卫视,http://cctv13.live.cctv.cn/hd31/index.m3u8
新疆卫视,rtp://239.45.0.90:9901
西藏卫视,rtp://239.45.0.101:9000
内蒙古卫视,rtp://239.22.0.205:8080
吉林卫视,rtp://239.69.1.161:5140
云南新闻,http://cctv1.live.cctv.cn/hd17/index.m3u8
云南都市,rtp://239.45.0.63:5140
云南影视,rtp://239.69.1.16:9001
云南生活,http://live.hunantv.com/live132/index.m3u8
云南经济,http://live.cctv.cn/hdtv99/index.m3u8
云南科教,rtp://239.45.0.34:8000
云南体育,http://live.hunantv.com/hd21/index.m3u8
云南公共,rtp://239.69.1.252:9901
CCTV1 4K,http://cctv13.live.cctv.cn/hdtv98/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/live420/index.m3u8
北京纪实4K,http://live.cctv.cn/live638/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/live465/index.m3u8
广东4K,http://live.gdtv.cn/live530/index.m3u8
咪咕体育4K,http://live.gdtv.cn/hd42/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/live454/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/live949/index.m3u8
爱上4K,http://live.hunantv.com/hd30/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/hd12/index.m3u8
CCTV5体育,http://live.cctv.cn/cctv5hd/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hd38/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
五星体育,rtp://239.22.0.163:9000
广东体育,rtp://239.69.1.204:8000
北京体育,rtp://239.45.0.122:9001
劲爆体育,rtp://239.69.1.157:9001
魅力足球,rtp://239.22.0.212:9000
CCTV6电影,http://cctv13.live.cctv.cn/hdtv67/index.m3u8
上海电影,rtp://239.22.0.34:1234
广东电影,rtp://239.69.1.18:1234
峨眉电影,http://cctv1.live.cctv.cn/hdtv62/index.m3u8
CHC高清电影,http://live.hunantv.com/live581/index.m3u8
CHC动作电影,http://cctv1.live.cctv.cn/hdtv37/index.m3u8
CHC家庭影院,rtp://239.22.0.121:8080
都市剧场,http://live.cctv.cn/cctv4hd/index.m3u8
CCTV少儿,http://cctv13.live.cctv.cn/hd25/index.m3u8
金鹰卡通,rtp://239.69.1.73:8000
嘉佳卡通,rtp://239.22.0.220:9901
优漫卡通,rtp://239.69.1.36:9000
炫动卡通,rtp://239.69.1.247:9901
卡酷少儿,rtp://239.69.1.17:8080
CCTV新闻,http://cctv13.live.cctv.cn/hd5/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/live601/index.m3u8
中国教育1台,rtp://239.69.1.91:5140
中国教育2台,rtp://239.45.0.222:8080
凤凰中文,http://live.gdtv.cn/hdtv6/index.m3u8
凤凰资讯,rtp://239.22.0.96:5140
CCTV11戏曲,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
梨园频道,rtp://239.22.0.152:9000
文物宝库,rtp://239.45.0.7:9001
国学频道,http://live.hunantv.com/hd4/index.m3u8
秦腔频道,rtp://239.69.1.106:9000
陕西秦腔,rtp://239.69.1.68:5140
甘肃秦腔,rtp://239.69.1.36:9001
宁夏秦腔,rtp://239.69.1.9:5140
