# 内蒙古自治区 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 120
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/hdtv78/index.m3u8
CCTV2财经,http://live.cctv.cn/hd3/index.m3u8
CCTV3综艺,http://live.cctv.cn/live618/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/cctv6hd/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/live269/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hdtv4/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hdtv67/index.m3u8
CCTV8电视剧,http://live.hunantv.com/live512/index.m3u8
CCTV9纪录,http://live.cctv.cn/cctv2hd/index.m3u8
CCTV10科教,http://live.cctv.cn/live665/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hd49/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/live308/index.m3u8
CCTV13新闻,http://live.gdtv.cn/hdtv28/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hd46/index.m3u8
CCTV15音乐,http://live.hunantv.com/hdtv43/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hdtv13/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/live653/index.m3u8
湖南卫视,rtp://239.252.219.17:9000
浙江卫视,rtp://239.20.0.3:1234
江苏卫视,http://cctv13.live.cctv.cn/live612/index.m3u8
东方卫视,rtp://239.77.0.138:9001
北京卫视,rtp://239.252.219.253:9000
广东卫视,rtp://239.252.219.105:8000
深圳卫视,http://cctv13.live.cctv.cn/hd42/index.m3u8
山东卫视,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
天津卫视,rtp://239.61.0.60:8080
辽宁卫视,rtp://239.252.219.52:9000
黑龙江卫视,rtp://239.252.219.126:9901
安徽卫视,rtp://239.252.219.132:9000
河北卫视,rtp://239.77.0.164:8000
河南卫视,rtp://239.61.0.48:5140
湖北卫视,http://cctv13.live.cctv.cn/hd34/index.m3u8
江西卫视,rtp://239.61.0.157:1234
福建卫视,rtp://239.252.219.171:8000
四川卫视,rtp://239.252.219.87:8080
重庆卫视,rtp://239.77.0.81:9000
贵州卫视,rtp://239.20.0.8:8080
云南卫视,rtp://239.77.0.129:9901
广西卫视,rtp://239.20.0.152:9901
海南卫视,rtp://239.20.0.197:9001
山西卫视,rtp://239.77.0.181:1234
陕西卫视,rtp://239.77.0.84:9000
甘肃卫视,rtp://239.252.219.131:9000
青海卫视,rtp://239.77.0.46:1234
宁夏卫视,rtp://239.252.219.135:9901
新疆卫视,rtp://239.252.219.4:5140
西藏卫视,http://live.cctv.cn/live959/index.m3u8
内蒙古卫视,rtp://239.20.0.83:5140
吉林卫视,rtp://239.20.0.204:9001
内蒙古新闻,rtp://239.61.0.170:1234
内蒙古都市,rtp://239.77.0.35:8080
内蒙古影视,http://cctv13.live.cctv.cn/live378/index.m3u8
内蒙古生活,rtp://239.61.0.88:9001
内蒙古经济,rtp://239.61.0.171:8080
内蒙古科教,rtp://239.77.0.104:9001
内蒙古体育,http://live.cctv.cn/hdtv81/index.m3u8
