# 内蒙古自治区 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/cctv8hd/index.m3u8
CCTV2财经,http://live.gdtv.cn/cctv2hd/index.m3u8
CCTV3综艺,http://live.hunantv.com/live986/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/hd29/index.m3u8
CCTV5体育,http://live.hunantv.com/hdtv58/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hd48/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hdtv11/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/live122/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/cctv3hd/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/hd15/index.m3u8
CCTV10科教,http://live.hunantv.com/live578/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hdtv36/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hd10/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv3hd/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/cctv16hd/index.m3u8
湖南卫视,rtp://239.252.219.218:5140
浙江卫视,rtp://239.77.0.80:9901
江苏卫视,http://cctv13.live.cctv.cn/hdtv11/index.m3u8
东方卫视,rtp://239.77.0.172:9901
北京卫视,rtp://239.77.0.27:8000
广东卫视,rtp://239.252.219.231:9001
深圳卫视,rtp://239.77.0.144:9001
山东卫视,rtp://239.252.219.19:9901
天津卫视,http://cctv13.live.cctv.cn/live550/index.m3u8
辽宁卫视,rtp://239.77.0.134:9901
黑龙江卫视,rtp://239.77.0.113:5140
安徽卫视,rtp://239.61.0.45:9901
河北卫视,rtp://239.20.0.137:8000
河南卫视,http://live.gdtv.cn/hd4/index.m3u8
湖北卫视,rtp://239.61.0.73:8080
江西卫视,rtp://239.20.0.52:8080
福建卫视,rtp://239.61.0.3:9901
四川卫视,rtp://239.20.0.57:8080
重庆卫视,rtp://239.20.0.219:8080
贵州卫视,rtp://239.77.0.166:5140
云南卫视,rtp://239.61.0.148:9901
广西卫视,rtp://239.61.0.68:9001
海南卫视,rtp://239.61.0.126:9000
山西卫视,http://cctv1.live.cctv.cn/live394/index.m3u8
陕西卫视,rtp://239.252.219.245:1234
甘肃卫视,rtp://239.61.0.237:9001
青海卫视,rtp://239.20.0.99:8000
宁夏卫视,rtp://239.20.0.187:8080
新疆卫视,http://live.gdtv.cn/hdtv3/index.m3u8
西藏卫视,rtp://239.61.0.134:8000
内蒙古卫视,rtp://239.252.219.50:1234
吉林卫视,rtp://239.77.0.141:8080
内蒙古新闻,rtp://239.252.219.199:9001
内蒙古都市,rtp://239.61.0.142:9001
内蒙古影视,rtp://239.77.0.190:1234
内蒙古生活,rtp://239.20.0.41:9901
内蒙古经济,http://live.gdtv.cn/hdtv39/index.m3u8
内蒙古科教,rtp://239.77.0.90:8080
内蒙古体育,rtp://239.252.219.66:9000
内蒙古公共,rtp://239.77.0.54:1234
CCTV1 4K,http://cctv1.live.cctv.cn/hd42/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/hdtv25/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/live476/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/hd36/index.m3u8
广东4K,http://live.gdtv.cn/hd38/index.m3u8
咪咕体育4K,http://live.gdtv.cn/hd44/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hdtv96/index.m3u8
爱上4K,http://live.gdtv.cn/hd24/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/hd17/index.m3u8
CCTV5体育,http://live.hunantv.com/live578/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv12hd/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hdtv4/index.m3u8
五星体育,rtp://239.77.0.197:8000
广东体育,rtp://239.61.0.123:9001
北京体育,rtp://239.77.0.215:8080
劲爆体育,rtp://239.77.0.221:5140
魅力足球,rtp://239.252.219.134:9901
CCTV6电影,http://cctv1.live.cctv.cn/live243/index.m3u8
上海电影,http://cctv1.live.cctv.cn/hd40/index.m3u8
广东电影,http://cctv13.live.cctv.cn/hdtv16/index.m3u8
峨眉电影,http://live.gdtv.cn/cctv3hd/index.m3u8
CHC高清电影,http://live.cctv.cn/hdtv42/index.m3u8
CHC动作电影,rtp://239.20.0.225:5140
CHC家庭影院,rtp://239.252.219.91:8080
都市剧场,rtp://239.252.219.71:8000
CCTV少儿,http://live.hunantv.com/hd38/index.m3u8
金鹰卡通,http://live.hunantv.com/live745/index.m3u8
嘉佳卡通,http://live.gdtv.cn/live103/index.m3u8
优漫卡通,rtp://239.77.0.24:1234
炫动卡通,rtp://239.252.219.105:8000
卡酷少儿,http://cctv13.live.cctv.cn/hd6/index.m3u8
CCTV新闻,http://live.gdtv.cn/live829/index.m3u8
CCTV13,http://live.cctv.cn/hd17/index.m3u8
中国教育1台,rtp://239.61.0.40:5140
中国教育2台,rtp://239.77.0.93:9901
凤凰中文,rtp://239.252.219.90:9001
凤凰资讯,rtp://239.61.0.70:9901
CCTV11戏曲,http://live.gdtv.cn/hdtv36/index.m3u8
梨园频道,http://live.gdtv.cn/hdtv75/index.m3u8
文物宝库,rtp://239.61.0.147:9000
国学频道,rtp://239.20.0.51:9000
秦腔频道,http://cctv13.live.cctv.cn/hd6/index.m3u8
陕西秦腔,rtp://239.77.0.108:9901
甘肃秦腔,rtp://239.20.0.99:5140
宁夏秦腔,rtp://239.61.0.178:8080
