# 内蒙古自治区 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
CCTV2财经,http://live.cctv.cn/cctv13hd/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
CCTV5体育,http://live.hunantv.com/hd49/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/live549/index.m3u8
CCTV6电影,http://live.cctv.cn/live139/index.m3u8
CCTV7国防军事,http://live.cctv.cn/live414/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/hdtv88/index.m3u8
CCTV9纪录,http://live.hunantv.com/live445/index.m3u8
CCTV10科教,http://live.hunantv.com/hdtv71/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
CCTV12社会与法,http://live.cctv.cn/live587/index.m3u8
CCTV13新闻,http://live.hunantv.com/hd23/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hdtv54/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/hd4/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hdtv46/index.m3u8
CCTV17农业农村,http://live.hunantv.com/cctv2hd/index.m3u8
湖南卫视,rtp://239.77.0.128:9901
浙江卫视,http://cctv13.live.cctv.cn/live799/index.m3u8
江苏卫视,rtp://239.252.219.218:9901
东方卫视,http://live.cctv.cn/live151/index.m3u8
北京卫视,rtp://239.61.0.129:8080
广东卫视,rtp://239.77.0.234:8080
深圳卫视,rtp://239.61.0.177:8000
山东卫视,rtp://239.252.219.24:8080
天津卫视,rtp://239.77.0.211:8000
辽宁卫视,rtp://239.252.219.191:8000
黑龙江卫视,http://live.cctv.cn/live261/index.m3u8
安徽卫视,rtp://239.252.219.149:9001
河北卫视,rtp://239.20.0.23:8080
河南卫视,rtp://239.61.0.88:1234
湖北卫视,rtp://239.20.0.194:8080
江西卫视,rtp://239.20.0.154:8080
福建卫视,rtp://239.61.0.138:9001
四川卫视,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
重庆卫视,rtp://239.252.219.50:8000
贵州卫视,rtp://239.20.0.212:5140
云南卫视,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
广西卫视,http://live.cctv.cn/hd24/index.m3u8
海南卫视,rtp://239.77.0.84:5140
山西卫视,rtp://239.252.219.100:5140
陕西卫视,rtp://239.77.0.178:9000
甘肃卫视,rtp://239.77.0.99:9001
青海卫视,rtp://239.61.0.205:1234
宁夏卫视,rtp://239.20.0.199:9901
新疆卫视,rtp://239.252.219.227:1234
西藏卫视,rtp://239.252.219.107:9000
内蒙古卫视,rtp://239.61.0.216:9000
吉林卫视,rtp://239.20.0.212:9001
内蒙古新闻,rtp://239.252.219.67:8080
内蒙古都市,rtp://239.77.0.227:8000
内蒙古影视,rtp://239.20.0.227:8080
内蒙古生活,rtp://239.252.219.227:8000
内蒙古经济,rtp://239.20.0.25:8000
内蒙古科教,http://cctv1.live.cctv.cn/cctv3hd/index.m3u8
内蒙古体育,rtp://239.20.0.100:9901
内蒙古公共,rtp://239.252.219.15:8080
CCTV1 4K,http://live.gdtv.cn/cctv9hd/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/cctv3hd/index.m3u8
北京纪实4K,http://live.cctv.cn/cctv17hd/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/cctv13hd/index.m3u8
广东4K,http://cctv1.live.cctv.cn/hd24/index.m3u8
咪咕体育4K,http://live.hunantv.com/live257/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/hdtv94/index.m3u8
纯享4K,http://live.gdtv.cn/cctv14hd/index.m3u8
爱上4K,http://live.hunantv.com/cctv11hd/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/live208/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hd36/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/live358/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/live530/index.m3u8
五星体育,rtp://239.77.0.191:9001
广东体育,rtp://239.20.0.144:9001
北京体育,rtp://239.77.0.172:9901
劲爆体育,http://cctv1.live.cctv.cn/hd40/index.m3u8
魅力足球,rtp://239.20.0.43:5140
CCTV6电影,http://cctv13.live.cctv.cn/hd38/index.m3u8
上海电影,http://live.hunantv.com/cctv16hd/index.m3u8
广东电影,rtp://239.20.0.166:8000
峨眉电影,http://live.gdtv.cn/cctv13hd/index.m3u8
CHC高清电影,http://live.cctv.cn/cctv11hd/index.m3u8
CHC动作电影,rtp://239.252.219.206:1234
CHC家庭影院,http://live.cctv.cn/hd41/index.m3u8
都市剧场,rtp://239.20.0.165:9001
CCTV少儿,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
金鹰卡通,rtp://239.77.0.44:8000
嘉佳卡通,rtp://239.252.219.75:8000
优漫卡通,rtp://239.20.0.237:5140
炫动卡通,rtp://239.61.0.188:1234
卡酷少儿,rtp://239.20.0.178:9001
CCTV新闻,http://live.hunantv.com/hdtv14/index.m3u8
CCTV13,http://live.hunantv.com/cctv12hd/index.m3u8
中国教育1台,rtp://239.20.0.130:1234
中国教育2台,http://live.gdtv.cn/live854/index.m3u8
凤凰中文,rtp://239.252.219.67:8000
凤凰资讯,rtp://239.20.0.208:8000
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
梨园频道,rtp://239.252.219.108:1234
文物宝库,rtp://239.77.0.86:9901
