# 内蒙古自治区 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hdtv31/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/live517/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/hdtv69/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/hdtv74/index.m3u8
CCTV5体育,http://live.gdtv.cn/live605/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/live666/index.m3u8
CCTV6电影,http://live.hunantv.com/live732/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/live207/index.m3u8
CCTV8电视剧,http://live.hunantv.com/cctv12hd/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/live906/index.m3u8
CCTV10科教,http://live.cctv.cn/hd19/index.m3u8
CCTV11戏曲,http://live.hunantv.com/live569/index.m3u8
CCTV12社会与法,http://live.cctv.cn/cctv16hd/index.m3u8
CCTV13新闻,http://live.hunantv.com/cctv6hd/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hdtv15/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/live308/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/cctv17hd/index.m3u8
湖南卫视,rtp://239.20.0.112:8000
浙江卫视,rtp://239.61.0.96:9000
江苏卫视,rtp://239.20.0.2:8080
东方卫视,rtp://239.77.0.76:5140
北京卫视,http://cctv1.live.cctv.cn/hd29/index.m3u8
广东卫视,rtp://239.252.219.11:9901
深圳卫视,http://live.cctv.cn/hdtv41/index.m3u8
山东卫视,rtp://239.20.0.68:9001
天津卫视,rtp://239.61.0.100:1234
辽宁卫视,rtp://239.252.219.240:1234
黑龙江卫视,http://live.gdtv.cn/hdtv13/index.m3u8
安徽卫视,rtp://239.77.0.242:9000
河北卫视,rtp://239.77.0.126:8080
河南卫视,rtp://239.77.0.44:9000
湖北卫视,rtp://239.252.219.219:1234
江西卫视,http://live.gdtv.cn/live567/index.m3u8
福建卫视,rtp://239.20.0.241:8000
四川卫视,rtp://239.252.219.207:9901
重庆卫视,http://live.hunantv.com/live187/index.m3u8
贵州卫视,rtp://239.20.0.178:8080
云南卫视,http://live.cctv.cn/hdtv42/index.m3u8
广西卫视,rtp://239.77.0.172:1234
海南卫视,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
山西卫视,rtp://239.20.0.7:8000
陕西卫视,rtp://239.20.0.194:5140
甘肃卫视,http://live.hunantv.com/hd19/index.m3u8
青海卫视,rtp://239.61.0.9:9901
宁夏卫视,rtp://239.61.0.109:8000
新疆卫视,rtp://239.20.0.58:5140
西藏卫视,rtp://239.20.0.21:8000
内蒙古卫视,rtp://239.61.0.2:9000
吉林卫视,rtp://239.77.0.242:9001
内蒙古新闻,rtp://239.252.219.245:8000
内蒙古都市,rtp://239.77.0.114:8000
内蒙古影视,rtp://239.252.219.181:8080
内蒙古生活,rtp://239.61.0.126:9001
内蒙古经济,http://cctv1.live.cctv.cn/hd15/index.m3u8
内蒙古科教,rtp://239.252.219.23:1234
内蒙古体育,rtp://239.20.0.236:8000
内蒙古公共,rtp://239.20.0.63:9901
CCTV1 4K,http://live.hunantv.com/cctv4hd/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/hdtv67/index.m3u8
北京纪实4K,http://live.cctv.cn/live298/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
广东4K,http://cctv13.live.cctv.cn/live554/index.m3u8
咪咕体育4K,http://live.gdtv.cn/hdtv88/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/hd4/index.m3u8
纯享4K,http://live.hunantv.com/hdtv26/index.m3u8
爱上4K,http://live.cctv.cn/hdtv38/index.m3u8
欢笑剧场4K,http://live.cctv.cn/cctv9hd/index.m3u8
