# 北京市 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 128
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hd33/index.m3u8
CCTV2财经,http://live.hunantv.com/hdtv48/index.m3u8
CCTV3综艺,http://live.hunantv.com/live257/index.m3u8
CCTV4中文国际,http://live.hunantv.com/live159/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hd41/index.m3u8
CCTV6电影,http://live.cctv.cn/cctv11hd/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/live116/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/live760/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/live113/index.m3u8
CCTV11戏曲,http://live.hunantv.com/cctv9hd/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hdtv24/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/live934/index.m3u8
CCTV14少儿,http://live.hunantv.com/live559/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv1hd/index.m3u8
CCTV17农业农村,http://live.hunantv.com/live929/index.m3u8
湖南卫视,rtp://225.1.1.131:9001
浙江卫视,rtp://225.1.1.52:9001
江苏卫视,rtp://239.254.96.53:8080
东方卫视,rtp://239.254.96.239:5140
北京卫视,rtp://239.3.1.82:9901
广东卫视,rtp://225.1.1.67:1234
深圳卫视,rtp://239.254.96.121:9000
山东卫视,http://live.gdtv.cn/cctv9hd/index.m3u8
天津卫视,http://live.cctv.cn/live796/index.m3u8
辽宁卫视,rtp://239.3.1.60:8000
黑龙江卫视,http://cctv1.live.cctv.cn/hdtv23/index.m3u8
安徽卫视,rtp://239.254.96.138:8000
河北卫视,rtp://225.1.1.118:9001
河南卫视,rtp://239.254.96.167:5140
湖北卫视,rtp://239.49.0.85:5140
江西卫视,rtp://239.3.1.94:8080
福建卫视,rtp://239.254.96.178:9901
四川卫视,http://cctv13.live.cctv.cn/live295/index.m3u8
重庆卫视,rtp://239.3.1.111:9901
贵州卫视,rtp://239.254.96.114:9001
云南卫视,rtp://239.3.1.166:8080
广西卫视,rtp://239.254.96.130:8080
海南卫视,rtp://239.254.96.32:1234
山西卫视,http://cctv1.live.cctv.cn/hd39/index.m3u8
陕西卫视,rtp://239.49.0.106:5140
甘肃卫视,rtp://239.3.1.245:9001
青海卫视,rtp://225.1.1.25:9001
宁夏卫视,rtp://239.3.1.115:8000
新疆卫视,rtp://239.49.0.190:1234
西藏卫视,rtp://225.1.1.245:8000
内蒙古卫视,rtp://239.49.0.140:8000
吉林卫视,rtp://225.1.1.158:1234
北京新闻,http://live.gdtv.cn/hdtv11/index.m3u8
北京都市,rtp://239.3.1.181:5140
北京影视,rtp://239.3.1.212:9001
北京生活,http://live.hunantv.com/cctv17hd/index.m3u8
北京经济,http://live.gdtv.cn/cctv17hd/index.m3u8
北京科教,rtp://225.1.1.76:1234
北京体育,http://cctv1.live.cctv.cn/hdtv16/index.m3u8
北京公共,rtp://239.49.0.125:9000
BTV北京卫视,rtp://239.49.0.184:5140
BTV文艺,http://live.cctv.cn/hdtv83/index.m3u8
BTV科教,rtp://239.3.1.152:5140
BTV影视,rtp://239.254.96.79:1234
BTV财经,http://live.hunantv.com/live523/index.m3u8
BTV生活,rtp://239.3.1.99:9901
BTV青年,rtp://239.3.1.243:5140
BTV新闻,rtp://239.3.1.194:8000
CCTV1 4K,http://cctv13.live.cctv.cn/hdtv67/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/hdtv92/index.m3u8
北京纪实4K,http://live.gdtv.cn/live297/index.m3u8
上海纪实4K,http://live.gdtv.cn/hdtv99/index.m3u8
广东4K,http://cctv1.live.cctv.cn/live216/index.m3u8
咪咕体育4K,http://live.gdtv.cn/live826/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hdtv4/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/cctv13hd/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/cctv15hd/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/live937/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/live383/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hd15/index.m3u8
五星体育,rtp://239.254.96.50:5140
广东体育,rtp://239.49.0.117:5140
北京体育,http://live.hunantv.com/hd37/index.m3u8
劲爆体育,http://live.hunantv.com/live671/index.m3u8
魅力足球,rtp://239.3.1.55:5140
CCTV6电影,http://live.gdtv.cn/hd48/index.m3u8
上海电影,rtp://225.1.1.242:8080
广东电影,rtp://225.1.1.160:9000
峨眉电影,rtp://239.3.1.57:8080
CHC高清电影,http://live.gdtv.cn/cctv13hd/index.m3u8
CHC动作电影,rtp://239.3.1.98:9001
CHC家庭影院,rtp://225.1.1.123:1234
都市剧场,rtp://239.3.1.81:9901
CCTV少儿,http://live.gdtv.cn/hd32/index.m3u8
金鹰卡通,rtp://239.49.0.251:8080
嘉佳卡通,rtp://225.1.1.9:8000
优漫卡通,rtp://239.254.96.9:9001
炫动卡通,rtp://239.49.0.205:8000
卡酷少儿,http://cctv13.live.cctv.cn/hd49/index.m3u8
CCTV新闻,http://live.gdtv.cn/live213/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/hd16/index.m3u8
中国教育1台,rtp://239.49.0.218:8080
中国教育2台,rtp://225.1.1.140:1234
凤凰中文,rtp://225.1.1.92:9000
凤凰资讯,http://live.gdtv.cn/live162/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/cctv17hd/index.m3u8
梨园频道,rtp://225.1.1.78:9000
文物宝库,http://live.gdtv.cn/hd47/index.m3u8
国学频道,rtp://239.3.1.22:5140
秦腔频道,http://cctv13.live.cctv.cn/cctv11hd/index.m3u8
陕西秦腔,rtp://239.254.96.253:8080
甘肃秦腔,rtp://239.49.0.204:8000
宁夏秦腔,rtp://239.49.0.226:9901
中国广电4K,http://live.hunantv.com/live333/index.m3u8
广电精品,http://live.gdtv.cn/hdtv61/index.m3u8
广电影视,http://live.cctv.cn/live469/index.m3u8
广电纪实,rtp://239.254.96.1:8000
广电体育,rtp://239.3.1.251:5140
广电新闻,rtp://239.254.96.6:8000
广电综艺,rtp://239.254.96.143:1234
广电少儿,rtp://239.3.1.60:9901
广电音乐,rtp://225.1.1.186:8000
广电戏曲,rtp://239.254.96.36:5140
广电科教,rtp://225.1.1.33:9001
广电购物,rtp://239.254.96.114:8080
IPTV经典电影,rtp://239.49.0.189:8000
IPTV热播剧场,rtp://239.254.96.28:1234
IPTV魅力时尚,rtp://239.3.1.220:9901
IPTV收视指南,rtp://225.1.1.252:8080
