# 北京市 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 112
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/hd11/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hd40/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/hdtv17/index.m3u8
CCTV4中文国际,http://live.cctv.cn/hdtv6/index.m3u8
CCTV5体育,http://live.gdtv.cn/live129/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/live755/index.m3u8
CCTV6电影,http://live.cctv.cn/hd30/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hdtv94/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/hdtv4/index.m3u8
CCTV9纪录,http://live.gdtv.cn/live161/index.m3u8
CCTV10科教,http://live.hunantv.com/hdtv15/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/hd48/index.m3u8
CCTV12社会与法,http://live.hunantv.com/hd25/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/hd22/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hdtv44/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/hdtv97/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/live896/index.m3u8
CCTV17农业农村,http://live.hunantv.com/hdtv63/index.m3u8
湖南卫视,rtp://239.49.0.182:1234
浙江卫视,rtp://239.3.1.119:8080
江苏卫视,rtp://239.49.0.126:9901
东方卫视,rtp://225.1.1.48:9001
北京卫视,rtp://239.49.0.130:5140
广东卫视,rtp://239.3.1.103:9000
深圳卫视,rtp://239.49.0.144:5140
山东卫视,rtp://239.254.96.29:9000
天津卫视,http://live.gdtv.cn/live126/index.m3u8
辽宁卫视,rtp://239.49.0.67:9000
黑龙江卫视,rtp://239.3.1.58:8000
安徽卫视,rtp://239.3.1.90:1234
河北卫视,rtp://239.254.96.231:9000
河南卫视,rtp://239.3.1.233:9901
湖北卫视,rtp://239.3.1.117:9901
江西卫视,http://cctv1.live.cctv.cn/hdtv64/index.m3u8
福建卫视,rtp://225.1.1.249:9000
四川卫视,rtp://225.1.1.2:9901
重庆卫视,rtp://239.254.96.28:5140
贵州卫视,rtp://239.3.1.70:9001
云南卫视,http://cctv1.live.cctv.cn/hdtv98/index.m3u8
广西卫视,rtp://239.3.1.223:9000
海南卫视,rtp://239.3.1.203:8080
山西卫视,rtp://239.254.96.223:9001
陕西卫视,http://live.cctv.cn/live897/index.m3u8
甘肃卫视,rtp://225.1.1.41:8000
青海卫视,rtp://239.3.1.147:5140
宁夏卫视,http://live.cctv.cn/hd39/index.m3u8
新疆卫视,rtp://239.3.1.70:9901
西藏卫视,rtp://239.3.1.6:9901
内蒙古卫视,http://live.cctv.cn/live895/index.m3u8
吉林卫视,rtp://225.1.1.93:8000
北京新闻,http://live.hunantv.com/hd7/index.m3u8
北京都市,rtp://239.3.1.81:9901
北京影视,rtp://239.254.96.90:9000
北京生活,rtp://225.1.1.241:9901
北京经济,rtp://239.49.0.156:9000
北京科教,rtp://225.1.1.158:9001
北京体育,rtp://239.254.96.141:8080
北京公共,rtp://239.3.1.179:9001
BTV北京卫视,rtp://239.49.0.135:5140
BTV文艺,rtp://239.254.96.105:1234
BTV科教,rtp://239.3.1.209:1234
BTV影视,rtp://239.254.96.78:8000
BTV财经,http://live.hunantv.com/hdtv17/index.m3u8
BTV生活,rtp://239.3.1.52:5140
BTV青年,rtp://239.3.1.77:8000
BTV新闻,rtp://239.254.96.200:9901
CCTV1 4K,http://live.cctv.cn/cctv12hd/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
北京纪实4K,http://live.gdtv.cn/live237/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/hdtv52/index.m3u8
广东4K,http://live.hunantv.com/live408/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/live141/index.m3u8
咪咕直播4K,http://live.hunantv.com/live143/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hdtv20/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/hd17/index.m3u8
欢笑剧场4K,http://live.cctv.cn/hd37/index.m3u8
CCTV5体育,http://live.hunantv.com/live600/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/hd21/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hdtv68/index.m3u8
五星体育,rtp://239.254.96.151:9901
广东体育,rtp://239.254.96.36:1234
北京体育,rtp://239.254.96.47:9901
劲爆体育,rtp://239.49.0.141:1234
魅力足球,rtp://239.254.96.231:8080
CCTV6电影,http://live.cctv.cn/live243/index.m3u8
上海电影,rtp://225.1.1.229:8080
广东电影,http://live.hunantv.com/live785/index.m3u8
峨眉电影,rtp://239.3.1.48:9001
CHC高清电影,http://cctv13.live.cctv.cn/live128/index.m3u8
CHC动作电影,rtp://225.1.1.1:8000
CHC家庭影院,http://cctv13.live.cctv.cn/hdtv70/index.m3u8
都市剧场,rtp://239.49.0.29:8080
CCTV少儿,http://cctv13.live.cctv.cn/hdtv91/index.m3u8
金鹰卡通,rtp://239.254.96.211:5140
嘉佳卡通,rtp://239.49.0.212:9901
优漫卡通,rtp://239.3.1.197:1234
炫动卡通,rtp://239.49.0.192:9000
卡酷少儿,rtp://239.254.96.221:9000
CCTV新闻,http://live.cctv.cn/hd13/index.m3u8
CCTV13,http://live.gdtv.cn/cctv4hd/index.m3u8
中国教育1台,http://live.hunantv.com/cctv2hd/index.m3u8
中国教育2台,rtp://239.254.96.47:8000
凤凰中文,rtp://239.49.0.148:8080
凤凰资讯,http://cctv13.live.cctv.cn/live555/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/cctv1hd/index.m3u8
梨园频道,rtp://239.254.96.117:8000
文物宝库,rtp://239.254.96.106:8080
国学频道,rtp://239.49.0.96:1234
秦腔频道,rtp://239.3.1.32:9000
陕西秦腔,rtp://239.254.96.158:1234
甘肃秦腔,rtp://225.1.1.28:9000
宁夏秦腔,rtp://239.3.1.133:8000
