# 北京市 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 112
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/hdtv51/index.m3u8
CCTV2财经,http://live.hunantv.com/live553/index.m3u8
CCTV3综艺,http://live.cctv.cn/live680/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
CCTV5体育,http://live.gdtv.cn/live288/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/live663/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/hdtv25/index.m3u8
CCTV7国防军事,http://live.hunantv.com/cctv4hd/index.m3u8
CCTV8电视剧,http://live.cctv.cn/live956/index.m3u8
CCTV9纪录,http://live.gdtv.cn/hd27/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/hd3/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/hd31/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
CCTV14少儿,http://live.hunantv.com/live363/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/hdtv37/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hd25/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hd17/index.m3u8
湖南卫视,rtp://225.1.1.144:1234
浙江卫视,rtp://225.1.1.86:5140
江苏卫视,rtp://225.1.1.54:1234
东方卫视,rtp://239.3.1.204:9000
北京卫视,rtp://239.49.0.21:8080
广东卫视,rtp://225.1.1.164:1234
深圳卫视,rtp://239.3.1.185:9000
山东卫视,rtp://239.3.1.224:9000
天津卫视,rtp://239.49.0.64:9901
辽宁卫视,rtp://239.254.96.52:8000
黑龙江卫视,rtp://239.49.0.205:9901
安徽卫视,rtp://239.254.96.163:9000
河北卫视,rtp://239.3.1.7:1234
河南卫视,rtp://239.49.0.91:5140
湖北卫视,http://live.cctv.cn/hd34/index.m3u8
江西卫视,rtp://239.3.1.79:9000
福建卫视,http://live.cctv.cn/live441/index.m3u8
四川卫视,http://live.cctv.cn/hd1/index.m3u8
重庆卫视,rtp://239.3.1.57:9000
贵州卫视,rtp://239.49.0.58:9901
