# 北京市 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 112
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/live353/index.m3u8
CCTV2财经,http://live.hunantv.com/hdtv93/index.m3u8
CCTV3综艺,http://live.hunantv.com/hdtv24/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/live850/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv14hd/index.m3u8
CCTV6电影,http://live.cctv.cn/hd39/index.m3u8
CCTV7国防军事,http://live.cctv.cn/live408/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/live645/index.m3u8
CCTV9纪录,http://live.hunantv.com/live893/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/live501/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hd16/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/live337/index.m3u8
CCTV13新闻,http://live.hunantv.com/hdtv4/index.m3u8
CCTV14少儿,http://live.gdtv.cn/cctv1hd/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/live296/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hdtv39/index.m3u8
CCTV17农业农村,http://live.hunantv.com/live409/index.m3u8
湖南卫视,rtp://225.1.1.147:8000
浙江卫视,rtp://239.3.1.79:9901
江苏卫视,rtp://239.3.1.23:8000
东方卫视,rtp://239.254.96.155:8000
北京卫视,rtp://239.254.96.228:9000
广东卫视,rtp://239.3.1.94:8080
深圳卫视,rtp://225.1.1.161:9000
山东卫视,rtp://225.1.1.244:9901
天津卫视,http://live.cctv.cn/hd14/index.m3u8
辽宁卫视,rtp://225.1.1.193:9001
黑龙江卫视,http://live.hunantv.com/hdtv19/index.m3u8
安徽卫视,rtp://239.49.0.78:9901
河北卫视,rtp://239.49.0.31:9000
河南卫视,rtp://239.254.96.236:9001
湖北卫视,rtp://225.1.1.1:1234
江西卫视,rtp://239.254.96.165:8000
福建卫视,rtp://239.3.1.253:5140
四川卫视,rtp://239.3.1.139:8080
重庆卫视,rtp://225.1.1.129:9000
贵州卫视,rtp://239.254.96.192:8080
云南卫视,rtp://225.1.1.223:5140
广西卫视,http://live.hunantv.com/hd15/index.m3u8
海南卫视,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
山西卫视,rtp://225.1.1.26:9901
陕西卫视,rtp://225.1.1.215:9000
甘肃卫视,rtp://225.1.1.219:8080
青海卫视,http://cctv13.live.cctv.cn/live474/index.m3u8
宁夏卫视,rtp://225.1.1.84:9901
新疆卫视,http://live.gdtv.cn/cctv17hd/index.m3u8
西藏卫视,rtp://239.3.1.175:9001
内蒙古卫视,rtp://239.49.0.254:8000
吉林卫视,rtp://239.254.96.174:9901
北京新闻,rtp://239.3.1.202:9901
北京都市,rtp://239.49.0.6:5140
北京影视,rtp://225.1.1.249:5140
北京生活,http://cctv13.live.cctv.cn/live227/index.m3u8
北京经济,rtp://239.3.1.202:9000
北京科教,rtp://225.1.1.168:9000
北京体育,rtp://225.1.1.180:8000
北京公共,http://live.hunantv.com/live363/index.m3u8
BTV北京卫视,rtp://239.3.1.115:9901
BTV文艺,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
BTV科教,rtp://239.254.96.12:9001
BTV影视,http://live.hunantv.com/live821/index.m3u8
BTV财经,rtp://239.49.0.136:8000
BTV生活,rtp://239.49.0.168:9901
BTV青年,http://live.cctv.cn/live482/index.m3u8
BTV新闻,rtp://225.1.1.60:8080
CCTV1 4K,http://cctv1.live.cctv.cn/hdtv76/index.m3u8
CCTV4K,http://live.hunantv.com/live234/index.m3u8
北京纪实4K,http://live.hunantv.com/cctv11hd/index.m3u8
上海纪实4K,http://live.gdtv.cn/hdtv37/index.m3u8
广东4K,http://cctv13.live.cctv.cn/hd31/index.m3u8
咪咕体育4K,http://live.gdtv.cn/live129/index.m3u8
咪咕直播4K,http://live.cctv.cn/live410/index.m3u8
纯享4K,http://live.gdtv.cn/cctv5hd/index.m3u8
爱上4K,http://live.gdtv.cn/hd36/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd22/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hdtv83/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/cctv1hd/index.m3u8
五星体育,http://cctv1.live.cctv.cn/hd44/index.m3u8
广东体育,rtp://239.3.1.203:1234
北京体育,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
劲爆体育,rtp://239.254.96.114:9901
魅力足球,rtp://239.49.0.61:9901
CCTV6电影,http://cctv13.live.cctv.cn/hdtv1/index.m3u8
上海电影,rtp://239.254.96.145:9001
广东电影,rtp://239.49.0.107:9001
峨眉电影,rtp://239.49.0.54:1234
CHC高清电影,http://cctv13.live.cctv.cn/hdtv20/index.m3u8
CHC动作电影,rtp://239.254.96.200:9901
CHC家庭影院,rtp://239.254.96.9:9000
都市剧场,http://live.cctv.cn/cctv13hd/index.m3u8
CCTV少儿,http://cctv1.live.cctv.cn/live146/index.m3u8
金鹰卡通,rtp://225.1.1.126:8000
嘉佳卡通,rtp://239.254.96.209:9000
优漫卡通,rtp://239.254.96.47:5140
炫动卡通,rtp://239.49.0.199:1234
卡酷少儿,rtp://239.49.0.154:9000
CCTV新闻,http://live.hunantv.com/hdtv15/index.m3u8
CCTV13,http://live.gdtv.cn/hd24/index.m3u8
中国教育1台,http://live.hunantv.com/cctv1hd/index.m3u8
中国教育2台,rtp://239.49.0.60:8080
凤凰中文,rtp://239.254.96.241:9901
凤凰资讯,rtp://239.3.1.188:9901
CCTV11戏曲,http://live.gdtv.cn/cctv3hd/index.m3u8
梨园频道,rtp://239.254.96.132:8080
文物宝库,http://live.gdtv.cn/hdtv77/index.m3u8
国学频道,rtp://239.3.1.188:9001
秦腔频道,rtp://239.49.0.6:5140
陕西秦腔,rtp://239.3.1.134:8080
甘肃秦腔,rtp://239.3.1.8:9901
宁夏秦腔,rtp://225.1.1.230:5140
