# 台湾省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 120
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/live289/index.m3u8
CCTV2财经,http://live.hunantv.com/cctv2hd/index.m3u8
CCTV3综艺,http://live.hunantv.com/cctv10hd/index.m3u8
CCTV4中文国际,http://live.hunantv.com/hdtv2/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd18/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hd42/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hdtv81/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/cctv13hd/index.m3u8
CCTV9纪录,http://live.gdtv.cn/hdtv32/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
CCTV11戏曲,http://live.hunantv.com/hdtv41/index.m3u8
CCTV12社会与法,http://live.hunantv.com/hdtv58/index.m3u8
CCTV13新闻,http://live.gdtv.cn/hd33/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/cctv16hd/index.m3u8
CCTV15音乐,http://live.hunantv.com/live183/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hdtv81/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/hdtv87/index.m3u8
湖南卫视,http://live.hunantv.com/live506/index.m3u8
浙江卫视,rtp://239.254.99.33:5140
江苏卫视,rtp://239.20.0.168:9901
东方卫视,rtp://239.253.92.238:9001
北京卫视,http://live.hunantv.com/cctv9hd/index.m3u8
广东卫视,rtp://239.253.92.193:8000
深圳卫视,rtp://239.254.99.115:8000
山东卫视,rtp://239.253.92.83:9001
天津卫视,http://live.cctv.cn/hdtv75/index.m3u8
辽宁卫视,rtp://239.253.92.118:1234
黑龙江卫视,rtp://239.254.99.118:1234
安徽卫视,rtp://239.254.99.15:8000
河北卫视,rtp://239.253.92.83:8000
河南卫视,http://live.gdtv.cn/cctv3hd/index.m3u8
湖北卫视,rtp://239.254.99.229:8000
江西卫视,rtp://239.253.92.165:1234
福建卫视,rtp://239.253.92.145:8000
四川卫视,rtp://239.20.0.219:5140
重庆卫视,rtp://239.253.92.57:9001
贵州卫视,http://live.hunantv.com/hdtv57/index.m3u8
云南卫视,rtp://239.20.0.54:9901
广西卫视,rtp://239.253.92.76:1234
海南卫视,http://cctv1.live.cctv.cn/hd34/index.m3u8
山西卫视,rtp://239.20.0.53:8000
