# 台湾省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hd44/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/live750/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv8/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/live500/index.m3u8
CCTV7国防军事,http://live.cctv.cn/hdtv67/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hd26/index.m3u8
CCTV9纪录,http://live.gdtv.cn/cctv10hd/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/hdtv12/index.m3u8
CCTV11戏曲,http://live.hunantv.com/hd17/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/hdtv27/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/live957/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/hd10/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hdtv11/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hdtv83/index.m3u8
湖南卫视,http://cctv13.live.cctv.cn/hd45/index.m3u8
浙江卫视,http://live.gdtv.cn/cctv2hd/index.m3u8
江苏卫视,http://live.hunantv.com/cctv7hd/index.m3u8
东方卫视,http://live.cctv.cn/hd2/index.m3u8
北京卫视,rtp://239.20.0.198:9901
广东卫视,http://live.cctv.cn/hdtv55/index.m3u8
深圳卫视,http://live.gdtv.cn/cctv11hd/index.m3u8
山东卫视,rtp://239.253.92.150:5140
天津卫视,http://cctv13.live.cctv.cn/hd12/index.m3u8
辽宁卫视,rtp://239.20.0.45:9901
黑龙江卫视,rtp://239.253.92.120:9001
安徽卫视,rtp://239.254.99.225:5140
河北卫视,rtp://239.253.92.158:8080
河南卫视,rtp://239.20.0.34:9000
湖北卫视,rtp://239.253.92.222:9001
江西卫视,rtp://239.20.0.187:8080
福建卫视,http://live.hunantv.com/hdtv68/index.m3u8
四川卫视,rtp://239.20.0.190:5140
重庆卫视,rtp://239.20.0.254:5140
贵州卫视,http://live.gdtv.cn/hd41/index.m3u8
云南卫视,http://live.cctv.cn/live854/index.m3u8
广西卫视,rtp://239.254.99.120:9001
海南卫视,rtp://239.20.0.104:9901
山西卫视,http://live.cctv.cn/live173/index.m3u8
陕西卫视,rtp://239.20.0.235:9000
甘肃卫视,rtp://239.254.99.137:8080
青海卫视,rtp://239.253.92.37:9001
宁夏卫视,rtp://239.253.92.22:9000
新疆卫视,rtp://239.254.99.192:1234
西藏卫视,rtp://239.254.99.102:9001
内蒙古卫视,rtp://239.20.0.41:9001
吉林卫视,http://live.hunantv.com/hdtv88/index.m3u8
台湾新闻,rtp://239.254.99.28:9901
台湾都市,rtp://239.254.99.142:8080
台湾影视,http://live.cctv.cn/hd37/index.m3u8
台湾生活,rtp://239.253.92.106:9000
台湾经济,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
台湾科教,rtp://239.253.92.36:8080
台湾体育,http://cctv13.live.cctv.cn/hdtv42/index.m3u8
台湾公共,rtp://239.254.99.69:8000
CCTV1 4K,http://live.hunantv.com/hd38/index.m3u8
CCTV4K,http://live.gdtv.cn/cctv3hd/index.m3u8
北京纪实4K,http://live.hunantv.com/hdtv62/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/cctv17hd/index.m3u8
广东4K,http://live.hunantv.com/hdtv19/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/hdtv88/index.m3u8
纯享4K,http://live.hunantv.com/hd50/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/hd13/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/live824/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd27/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hd2/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hdtv22/index.m3u8
五星体育,rtp://239.254.99.249:9001
广东体育,rtp://239.254.99.75:1234
北京体育,rtp://239.254.99.137:8000
劲爆体育,rtp://239.254.99.26:9901
魅力足球,rtp://239.253.92.186:5140
CCTV6电影,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
上海电影,rtp://239.254.99.101:8080
广东电影,rtp://239.253.92.247:1234
峨眉电影,rtp://239.254.99.34:5140
CHC高清电影,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
CHC动作电影,rtp://239.253.92.157:1234
CHC家庭影院,http://cctv1.live.cctv.cn/live239/index.m3u8
都市剧场,rtp://239.20.0.11:1234
CCTV少儿,http://live.gdtv.cn/hd35/index.m3u8
金鹰卡通,rtp://239.253.92.145:9000
嘉佳卡通,http://cctv13.live.cctv.cn/live856/index.m3u8
优漫卡通,rtp://239.20.0.86:9901
炫动卡通,rtp://239.20.0.229:9001
卡酷少儿,rtp://239.20.0.149:9000
CCTV新闻,http://cctv13.live.cctv.cn/hdtv65/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
中国教育1台,http://cctv1.live.cctv.cn/hdtv20/index.m3u8
中国教育2台,rtp://239.254.99.97:8000
凤凰中文,rtp://239.254.99.86:8000
凤凰资讯,rtp://239.254.99.172:8080
CCTV11戏曲,http://live.hunantv.com/hdtv27/index.m3u8
