# 台湾省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/hdtv7/index.m3u8
CCTV2财经,http://live.gdtv.cn/cctv1hd/index.m3u8
CCTV3综艺,http://live.cctv.cn/cctv9hd/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/hd5/index.m3u8
CCTV5体育,http://live.cctv.cn/hd13/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv15hd/index.m3u8
CCTV6电影,http://live.cctv.cn/live983/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hd10/index.m3u8
CCTV9纪录,http://live.gdtv.cn/cctv7hd/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/live557/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/hdtv41/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/hd22/index.m3u8
CCTV13新闻,http://live.hunantv.com/hd28/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hdtv59/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hd8/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
湖南卫视,rtp://239.20.0.242:5140
浙江卫视,rtp://239.20.0.196:5140
江苏卫视,rtp://239.254.99.221:9901
东方卫视,http://live.gdtv.cn/hdtv50/index.m3u8
北京卫视,rtp://239.20.0.204:1234
广东卫视,rtp://239.20.0.148:1234
深圳卫视,rtp://239.253.92.137:9901
山东卫视,rtp://239.20.0.99:5140
天津卫视,rtp://239.20.0.130:8000
辽宁卫视,rtp://239.253.92.28:1234
黑龙江卫视,rtp://239.20.0.176:9000
安徽卫视,rtp://239.20.0.42:1234
河北卫视,rtp://239.253.92.63:1234
河南卫视,rtp://239.20.0.162:5140
湖北卫视,rtp://239.253.92.82:9000
江西卫视,rtp://239.254.99.186:5140
福建卫视,rtp://239.20.0.144:8000
四川卫视,rtp://239.254.99.160:5140
重庆卫视,rtp://239.20.0.68:9001
贵州卫视,rtp://239.253.92.118:8000
云南卫视,rtp://239.254.99.72:8080
广西卫视,rtp://239.254.99.178:8000
海南卫视,rtp://239.20.0.84:8000
山西卫视,rtp://239.20.0.128:1234
陕西卫视,rtp://239.20.0.239:8080
甘肃卫视,rtp://239.253.92.9:8000
青海卫视,rtp://239.253.92.81:9000
宁夏卫视,rtp://239.254.99.80:9901
新疆卫视,rtp://239.253.92.204:9000
西藏卫视,rtp://239.253.92.234:9901
内蒙古卫视,rtp://239.253.92.28:9001
吉林卫视,rtp://239.254.99.191:5140
台湾新闻,http://cctv1.live.cctv.cn/hdtv80/index.m3u8
台湾都市,rtp://239.253.92.4:9001
台湾影视,rtp://239.254.99.52:9001
台湾生活,rtp://239.253.92.175:9001
台湾经济,rtp://239.254.99.235:5140
台湾科教,http://live.cctv.cn/live888/index.m3u8
台湾体育,rtp://239.253.92.142:8000
台湾公共,rtp://239.254.99.200:9001
CCTV1 4K,http://live.cctv.cn/cctv17hd/index.m3u8
CCTV4K,http://live.gdtv.cn/cctv16hd/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/live890/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/live581/index.m3u8
广东4K,http://live.hunantv.com/hd47/index.m3u8
咪咕体育4K,http://live.gdtv.cn/cctv10hd/index.m3u8
咪咕直播4K,http://live.hunantv.com/hdtv96/index.m3u8
纯享4K,http://live.gdtv.cn/hd34/index.m3u8
爱上4K,http://live.gdtv.cn/cctv14hd/index.m3u8
欢笑剧场4K,http://live.cctv.cn/hd34/index.m3u8
CCTV5体育,http://live.gdtv.cn/live232/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hd20/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hdtv41/index.m3u8
五星体育,http://live.hunantv.com/hdtv80/index.m3u8
广东体育,rtp://239.254.99.162:5140
北京体育,rtp://239.253.92.18:8000
劲爆体育,http://live.hunantv.com/hdtv61/index.m3u8
魅力足球,rtp://239.254.99.1:9001
CCTV6电影,http://cctv13.live.cctv.cn/hd25/index.m3u8
上海电影,rtp://239.254.99.63:8080
广东电影,rtp://239.253.92.29:8080
峨眉电影,http://live.hunantv.com/hd43/index.m3u8
CHC高清电影,http://cctv13.live.cctv.cn/hd7/index.m3u8
CHC动作电影,rtp://239.20.0.7:8080
