# 台湾省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hd12/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/live110/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hdtv26/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/live958/index.m3u8
CCTV5体育,http://live.gdtv.cn/hd12/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hdtv9/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/live530/index.m3u8
CCTV7国防军事,http://live.hunantv.com/cctv1hd/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hd41/index.m3u8
CCTV9纪录,http://live.cctv.cn/hd4/index.m3u8
CCTV10科教,http://live.gdtv.cn/cctv1hd/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/hdtv47/index.m3u8
CCTV12社会与法,http://live.hunantv.com/hdtv98/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/hd45/index.m3u8
CCTV14少儿,http://live.hunantv.com/cctv10hd/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/hd39/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
CCTV17农业农村,http://live.hunantv.com/cctv14hd/index.m3u8
湖南卫视,http://live.hunantv.com/hdtv68/index.m3u8
浙江卫视,rtp://239.254.99.35:9001
江苏卫视,rtp://239.254.99.181:9000
东方卫视,http://cctv13.live.cctv.cn/live132/index.m3u8
北京卫视,rtp://239.254.99.169:5140
广东卫视,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
深圳卫视,http://live.gdtv.cn/hdtv46/index.m3u8
山东卫视,rtp://239.254.99.138:1234
天津卫视,http://live.gdtv.cn/hdtv4/index.m3u8
辽宁卫视,http://live.gdtv.cn/hdtv22/index.m3u8
黑龙江卫视,http://cctv1.live.cctv.cn/hd21/index.m3u8
安徽卫视,rtp://239.20.0.173:9000
河北卫视,rtp://239.253.92.44:1234
河南卫视,rtp://239.254.99.201:9000
湖北卫视,rtp://239.253.92.68:9901
江西卫视,http://cctv13.live.cctv.cn/live326/index.m3u8
福建卫视,rtp://239.20.0.102:9901
四川卫视,rtp://239.20.0.162:9000
重庆卫视,rtp://239.253.92.79:9001
贵州卫视,http://live.gdtv.cn/hd26/index.m3u8
云南卫视,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
广西卫视,rtp://239.20.0.108:8000
海南卫视,rtp://239.254.99.148:8080
山西卫视,rtp://239.20.0.228:8000
陕西卫视,http://live.cctv.cn/hdtv61/index.m3u8
甘肃卫视,rtp://239.254.99.10:8000
青海卫视,rtp://239.20.0.45:8000
宁夏卫视,rtp://239.254.99.24:8080
新疆卫视,rtp://239.254.99.223:8000
西藏卫视,rtp://239.253.92.223:9901
内蒙古卫视,rtp://239.20.0.206:1234
吉林卫视,http://live.gdtv.cn/hdtv21/index.m3u8
台湾新闻,rtp://239.20.0.253:9000
台湾都市,rtp://239.253.92.73:9901
台湾影视,rtp://239.254.99.81:5140
台湾生活,rtp://239.20.0.117:8080
台湾经济,rtp://239.254.99.109:1234
台湾科教,http://cctv1.live.cctv.cn/hd10/index.m3u8
台湾体育,http://live.gdtv.cn/cctv8hd/index.m3u8
台湾公共,rtp://239.253.92.33:1234
CCTV1 4K,http://cctv1.live.cctv.cn/hd4/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/live615/index.m3u8
北京纪实4K,http://live.gdtv.cn/hd2/index.m3u8
上海纪实4K,http://live.cctv.cn/live666/index.m3u8
广东4K,http://live.gdtv.cn/cctv6hd/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/hd29/index.m3u8
咪咕直播4K,http://live.gdtv.cn/live373/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hd39/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/hd41/index.m3u8
欢笑剧场4K,http://live.cctv.cn/cctv15hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hdtv88/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/live120/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/live261/index.m3u8
五星体育,rtp://239.253.92.116:9901
广东体育,rtp://239.20.0.180:9000
北京体育,rtp://239.253.92.36:8080
劲爆体育,rtp://239.253.92.153:9001
魅力足球,rtp://239.20.0.135:5140
