# 吉林省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 120
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/hd19/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hdtv97/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/live197/index.m3u8
CCTV4中文国际,http://live.cctv.cn/hdtv15/index.m3u8
CCTV5体育,http://live.gdtv.cn/hd5/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv46/index.m3u8
CCTV6电影,http://live.cctv.cn/live869/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hd45/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/hd23/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/hd49/index.m3u8
CCTV10科教,http://live.hunantv.com/hdtv37/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/cctv14hd/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/hd38/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hd19/index.m3u8
CCTV15音乐,http://live.hunantv.com/cctv3hd/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hdtv46/index.m3u8
CCTV17农业农村,http://live.hunantv.com/hd48/index.m3u8
湖南卫视,rtp://239.22.0.120:1234
浙江卫视,rtp://239.22.0.17:8080
江苏卫视,rtp://239.22.0.227:9001
东方卫视,rtp://239.22.0.37:8080
北京卫视,rtp://239.22.0.20:9000
广东卫视,rtp://239.22.0.170:5140
深圳卫视,rtp://239.45.9.125:9001
山东卫视,rtp://239.253.92.91:5140
天津卫视,rtp://239.22.0.129:1234
辽宁卫视,rtp://239.253.92.235:5140
黑龙江卫视,rtp://239.45.9.226:1234
安徽卫视,rtp://239.45.9.70:9901
河北卫视,rtp://239.45.9.37:5140
河南卫视,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
湖北卫视,rtp://239.45.9.78:9000
江西卫视,rtp://239.45.9.249:9001
福建卫视,rtp://239.253.92.165:1234
四川卫视,rtp://239.253.92.64:9000
重庆卫视,rtp://239.22.0.230:9901
贵州卫视,http://live.hunantv.com/hd30/index.m3u8
云南卫视,rtp://239.22.0.76:5140
广西卫视,rtp://239.45.9.67:1234
海南卫视,rtp://239.22.0.125:8080
山西卫视,rtp://239.253.92.86:9901
陕西卫视,rtp://239.45.9.187:5140
甘肃卫视,http://live.gdtv.cn/hd35/index.m3u8
青海卫视,rtp://239.45.9.67:8000
宁夏卫视,http://cctv13.live.cctv.cn/cctv7hd/index.m3u8
新疆卫视,rtp://239.253.92.102:5140
西藏卫视,rtp://239.22.0.165:5140
内蒙古卫视,rtp://239.22.0.74:8080
吉林卫视,rtp://239.253.92.13:1234
吉林新闻,rtp://239.253.92.120:9901
吉林都市,rtp://239.22.0.80:9901
吉林影视,rtp://239.22.0.149:5140
吉林生活,rtp://239.253.92.25:1234
吉林经济,rtp://239.253.92.156:1234
吉林科教,rtp://239.45.9.128:8080
吉林体育,http://live.hunantv.com/live719/index.m3u8
吉林公共,http://cctv1.live.cctv.cn/live496/index.m3u8
CCTV1 4K,http://live.hunantv.com/live607/index.m3u8
CCTV4K,http://live.cctv.cn/hdtv60/index.m3u8
北京纪实4K,http://live.gdtv.cn/live576/index.m3u8
上海纪实4K,http://live.hunantv.com/hdtv29/index.m3u8
广东4K,http://live.cctv.cn/hd10/index.m3u8
咪咕体育4K,http://live.cctv.cn/live796/index.m3u8
咪咕直播4K,http://live.cctv.cn/hdtv86/index.m3u8
纯享4K,http://live.hunantv.com/hd20/index.m3u8
爱上4K,http://live.cctv.cn/cctv10hd/index.m3u8
欢笑剧场4K,http://live.hunantv.com/hd16/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd27/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/live304/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/cctv3hd/index.m3u8
五星体育,rtp://239.45.9.242:9001
广东体育,rtp://239.45.9.202:5140
北京体育,rtp://239.253.92.74:5140
劲爆体育,rtp://239.22.0.254:8080
魅力足球,rtp://239.45.9.245:9001
CCTV6电影,http://live.cctv.cn/live426/index.m3u8
上海电影,rtp://239.253.92.121:8000
广东电影,rtp://239.45.9.13:5140
峨眉电影,http://live.gdtv.cn/live926/index.m3u8
CHC高清电影,http://live.gdtv.cn/hd13/index.m3u8
CHC动作电影,rtp://239.45.9.145:8000
CHC家庭影院,rtp://239.253.92.32:1234
都市剧场,rtp://239.45.9.84:9001
CCTV少儿,http://live.gdtv.cn/live614/index.m3u8
金鹰卡通,rtp://239.45.9.89:9000
嘉佳卡通,rtp://239.253.92.65:1234
优漫卡通,http://cctv1.live.cctv.cn/hd49/index.m3u8
