# 吉林省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hdtv90/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hdtv6/index.m3u8
CCTV3综艺,http://live.hunantv.com/hd44/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/live375/index.m3u8
CCTV5体育,http://live.cctv.cn/cctv13hd/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/live181/index.m3u8
CCTV6电影,http://live.hunantv.com/cctv15hd/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/hdtv33/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/hd39/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/hd31/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/live860/index.m3u8
CCTV13新闻,http://live.hunantv.com/hd43/index.m3u8
CCTV14少儿,http://live.cctv.cn/cctv16hd/index.m3u8
CCTV15音乐,http://live.gdtv.cn/cctv17hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hdtv61/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/hdtv47/index.m3u8
湖南卫视,rtp://239.253.92.250:1234
浙江卫视,rtp://239.45.9.23:8000
江苏卫视,rtp://239.253.92.126:9000
东方卫视,rtp://239.253.92.192:8000
北京卫视,rtp://239.45.9.225:1234
广东卫视,rtp://239.22.0.144:1234
深圳卫视,rtp://239.45.9.42:5140
山东卫视,rtp://239.253.92.69:9001
天津卫视,rtp://239.45.9.21:8080
辽宁卫视,rtp://239.45.9.108:5140
黑龙江卫视,rtp://239.253.92.155:9000
安徽卫视,rtp://239.45.9.125:9901
河北卫视,rtp://239.253.92.24:9001
河南卫视,http://live.hunantv.com/hd48/index.m3u8
湖北卫视,rtp://239.45.9.238:9901
江西卫视,rtp://239.253.92.67:9000
福建卫视,rtp://239.45.9.3:1234
四川卫视,rtp://239.45.9.208:8080
重庆卫视,rtp://239.45.9.79:8080
贵州卫视,http://live.gdtv.cn/hd48/index.m3u8
云南卫视,rtp://239.253.92.73:9000
广西卫视,rtp://239.45.9.16:9000
海南卫视,rtp://239.45.9.114:9901
山西卫视,rtp://239.45.9.129:5140
陕西卫视,rtp://239.45.9.45:1234
甘肃卫视,http://cctv13.live.cctv.cn/hdtv71/index.m3u8
青海卫视,rtp://239.253.92.71:5140
宁夏卫视,rtp://239.253.92.254:8000
新疆卫视,rtp://239.253.92.154:8000
西藏卫视,rtp://239.253.92.174:9901
内蒙古卫视,rtp://239.253.92.169:9000
吉林卫视,http://live.hunantv.com/hdtv46/index.m3u8
吉林新闻,rtp://239.22.0.61:8080
吉林都市,rtp://239.253.92.86:8000
吉林影视,rtp://239.45.9.119:8000
吉林生活,http://live.cctv.cn/live196/index.m3u8
吉林经济,http://live.hunantv.com/hdtv10/index.m3u8
吉林科教,rtp://239.253.92.76:9000
吉林体育,rtp://239.45.9.51:9001
吉林公共,rtp://239.22.0.226:8080
CCTV1 4K,http://live.cctv.cn/live697/index.m3u8
CCTV4K,http://live.cctv.cn/cctv7hd/index.m3u8
北京纪实4K,http://live.gdtv.cn/hdtv11/index.m3u8
上海纪实4K,http://live.gdtv.cn/live872/index.m3u8
广东4K,http://live.gdtv.cn/hd27/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/hdtv99/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hd25/index.m3u8
纯享4K,http://live.gdtv.cn/live768/index.m3u8
爱上4K,http://live.cctv.cn/cctv9hd/index.m3u8
欢笑剧场4K,http://live.hunantv.com/hd12/index.m3u8
