# 吉林省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/hdtv89/index.m3u8
CCTV2财经,http://live.gdtv.cn/hdtv81/index.m3u8
CCTV3综艺,http://live.gdtv.cn/cctv1hd/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hd41/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hdtv49/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hdtv56/index.m3u8
CCTV6电影,http://live.gdtv.cn/hdtv23/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/live868/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hdtv67/index.m3u8
CCTV9纪录,http://live.gdtv.cn/live686/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/live469/index.m3u8
CCTV11戏曲,http://live.cctv.cn/cctv17hd/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hdtv78/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/live734/index.m3u8
CCTV15音乐,http://live.gdtv.cn/cctv14hd/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/cctv15hd/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/hd37/index.m3u8
湖南卫视,http://live.hunantv.com/hd6/index.m3u8
浙江卫视,rtp://239.45.9.36:9001
江苏卫视,rtp://239.22.0.92:9000
东方卫视,rtp://239.253.92.215:8080
北京卫视,rtp://239.253.92.113:8000
广东卫视,rtp://239.45.9.211:8000
深圳卫视,rtp://239.253.92.244:1234
山东卫视,rtp://239.22.0.217:9000
天津卫视,rtp://239.22.0.171:9001
辽宁卫视,rtp://239.253.92.102:9001
黑龙江卫视,rtp://239.45.9.7:9000
安徽卫视,rtp://239.22.0.136:8080
河北卫视,rtp://239.22.0.193:5140
河南卫视,rtp://239.253.92.7:5140
湖北卫视,rtp://239.22.0.127:8080
江西卫视,rtp://239.253.92.42:9000
福建卫视,http://cctv1.live.cctv.cn/live901/index.m3u8
四川卫视,rtp://239.45.9.232:9901
重庆卫视,rtp://239.45.9.65:9901
贵州卫视,rtp://239.45.9.192:8000
云南卫视,rtp://239.22.0.173:1234
广西卫视,rtp://239.22.0.13:9901
海南卫视,rtp://239.22.0.230:9000
山西卫视,rtp://239.22.0.70:8080
陕西卫视,rtp://239.253.92.14:1234
甘肃卫视,rtp://239.22.0.170:1234
青海卫视,rtp://239.253.92.249:5140
宁夏卫视,http://live.gdtv.cn/hd5/index.m3u8
新疆卫视,rtp://239.45.9.46:5140
西藏卫视,rtp://239.253.92.18:9001
内蒙古卫视,rtp://239.45.9.65:1234
吉林卫视,rtp://239.45.9.60:9901
吉林新闻,http://cctv13.live.cctv.cn/live153/index.m3u8
吉林都市,rtp://239.22.0.98:9901
吉林影视,rtp://239.45.9.101:9001
吉林生活,rtp://239.22.0.151:9000
吉林经济,rtp://239.22.0.38:9901
吉林科教,rtp://239.45.9.34:8080
吉林体育,rtp://239.22.0.84:8080
吉林公共,http://live.cctv.cn/hd5/index.m3u8
CCTV1 4K,http://cctv13.live.cctv.cn/hdtv16/index.m3u8
CCTV4K,http://live.hunantv.com/hd2/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/hdtv43/index.m3u8
广东4K,http://live.gdtv.cn/cctv5hd/index.m3u8
咪咕体育4K,http://live.hunantv.com/live281/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/hdtv67/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hd19/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/hdtv74/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/live855/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/live818/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hdtv59/index.m3u8
五星体育,http://live.gdtv.cn/live828/index.m3u8
广东体育,rtp://239.22.0.96:9000
北京体育,rtp://239.253.92.203:9901
劲爆体育,rtp://239.45.9.113:9001
魅力足球,rtp://239.22.0.67:8000
CCTV6电影,http://live.cctv.cn/hdtv95/index.m3u8
上海电影,rtp://239.45.9.248:8000
广东电影,rtp://239.45.9.198:9001
峨眉电影,rtp://239.45.9.115:9901
CHC高清电影,http://cctv1.live.cctv.cn/hd5/index.m3u8
CHC动作电影,http://live.gdtv.cn/hd46/index.m3u8
CHC家庭影院,rtp://239.22.0.47:9901
都市剧场,rtp://239.45.9.82:9000
CCTV少儿,http://cctv13.live.cctv.cn/live112/index.m3u8
金鹰卡通,rtp://239.45.9.72:5140
嘉佳卡通,rtp://239.22.0.40:8080
优漫卡通,rtp://239.253.92.64:8080
炫动卡通,rtp://239.253.92.47:9001
卡酷少儿,rtp://239.253.92.109:8080
CCTV新闻,http://live.gdtv.cn/hd44/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
中国教育1台,http://cctv13.live.cctv.cn/hdtv29/index.m3u8
中国教育2台,rtp://239.45.9.208:9001
凤凰中文,rtp://239.253.92.191:1234
凤凰资讯,rtp://239.45.9.183:8000
CCTV11戏曲,http://live.cctv.cn/cctv1hd/index.m3u8
梨园频道,rtp://239.45.9.142:9001
文物宝库,rtp://239.253.92.202:9901
国学频道,rtp://239.45.9.48:5140
秦腔频道,rtp://239.22.0.144:5140
陕西秦腔,rtp://239.45.9.44:5140
甘肃秦腔,rtp://239.22.0.105:8080
宁夏秦腔,rtp://239.45.9.32:5140
