# 吉林省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hd6/index.m3u8
CCTV2财经,http://live.gdtv.cn/live600/index.m3u8
CCTV3综艺,http://live.gdtv.cn/hdtv97/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/hdtv80/index.m3u8
CCTV5体育,http://live.gdtv.cn/hdtv68/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hd20/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hd31/index.m3u8
CCTV7国防军事,http://live.hunantv.com/cctv8hd/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/hdtv36/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/live813/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
CCTV13新闻,http://live.gdtv.cn/hdtv82/index.m3u8
CCTV14少儿,http://live.hunantv.com/cctv2hd/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/hdtv2/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hdtv15/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/live603/index.m3u8
湖南卫视,rtp://239.22.0.180:9000
浙江卫视,rtp://239.22.0.7:9000
江苏卫视,rtp://239.22.0.81:9001
东方卫视,rtp://239.253.92.219:9901
北京卫视,rtp://239.253.92.73:9001
广东卫视,http://live.gdtv.cn/cctv6hd/index.m3u8
深圳卫视,http://live.cctv.cn/hd7/index.m3u8
山东卫视,http://cctv13.live.cctv.cn/hdtv56/index.m3u8
天津卫视,rtp://239.45.9.84:9000
辽宁卫视,rtp://239.253.92.125:5140
黑龙江卫视,rtp://239.253.92.170:9000
安徽卫视,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
河北卫视,rtp://239.253.92.168:8000
河南卫视,rtp://239.253.92.33:5140
湖北卫视,rtp://239.45.9.228:1234
江西卫视,rtp://239.253.92.117:9000
福建卫视,rtp://239.253.92.252:9000
四川卫视,http://cctv13.live.cctv.cn/hdtv43/index.m3u8
重庆卫视,rtp://239.22.0.201:8000
贵州卫视,rtp://239.45.9.187:1234
云南卫视,rtp://239.45.9.248:8000
广西卫视,rtp://239.253.92.175:9901
海南卫视,http://live.hunantv.com/hd4/index.m3u8
山西卫视,rtp://239.253.92.2:1234
陕西卫视,rtp://239.22.0.161:8000
甘肃卫视,rtp://239.45.9.190:1234
青海卫视,http://cctv1.live.cctv.cn/live244/index.m3u8
宁夏卫视,rtp://239.22.0.62:9901
新疆卫视,rtp://239.45.9.39:8080
西藏卫视,rtp://239.45.9.179:9000
内蒙古卫视,rtp://239.45.9.130:9001
吉林卫视,rtp://239.45.9.78:8000
吉林新闻,rtp://239.22.0.82:9000
吉林都市,rtp://239.45.9.101:9000
吉林影视,rtp://239.45.9.165:8080
吉林生活,rtp://239.253.92.168:9000
吉林经济,rtp://239.253.92.248:9000
吉林科教,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
吉林体育,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
吉林公共,rtp://239.45.9.87:1234
CCTV1 4K,http://live.hunantv.com/cctv3hd/index.m3u8
CCTV4K,http://live.hunantv.com/live180/index.m3u8
北京纪实4K,http://cctv13.live.cctv.cn/live522/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/live932/index.m3u8
广东4K,http://live.hunantv.com/hdtv20/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/hd6/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/hdtv67/index.m3u8
纯享4K,http://live.gdtv.cn/cctv15hd/index.m3u8
