# 四川省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 131
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/cctv16hd/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hd45/index.m3u8
CCTV3综艺,http://live.gdtv.cn/hd46/index.m3u8
CCTV4中文国际,http://live.cctv.cn/cctv14hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv17hd/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv79/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/live399/index.m3u8
CCTV7国防军事,http://live.cctv.cn/hdtv36/index.m3u8
CCTV8电视剧,http://live.gdtv.cn/live678/index.m3u8
CCTV9纪录,http://live.gdtv.cn/cctv17hd/index.m3u8
CCTV10科教,http://live.hunantv.com/live825/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/live993/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/hd3/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/hd5/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/hdtv49/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hdtv4/index.m3u8
CCTV17农业农村,http://live.cctv.cn/cctv1hd/index.m3u8
湖南卫视,rtp://239.253.92.239:9000
浙江卫视,rtp://239.253.92.92:8080
江苏卫视,rtp://239.253.92.56:9000
东方卫视,rtp://239.77.0.206:9001
北京卫视,http://live.cctv.cn/hdtv81/index.m3u8
广东卫视,rtp://239.253.92.73:9000
深圳卫视,rtp://239.253.92.71:9000
山东卫视,rtp://239.253.92.100:9001
天津卫视,rtp://239.20.0.222:1234
辽宁卫视,rtp://239.20.0.151:1234
黑龙江卫视,rtp://239.253.92.199:9000
安徽卫视,http://live.gdtv.cn/cctv6hd/index.m3u8
河北卫视,rtp://239.20.0.139:9000
河南卫视,rtp://239.253.92.201:9901
湖北卫视,rtp://239.253.92.231:9000
江西卫视,rtp://239.253.92.67:5140
福建卫视,rtp://239.77.0.170:1234
