# 四川省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hd43/index.m3u8
CCTV2财经,http://live.cctv.cn/hd24/index.m3u8
CCTV3综艺,http://live.gdtv.cn/hdtv62/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/live824/index.m3u8
CCTV5体育,http://live.cctv.cn/live745/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hdtv81/index.m3u8
CCTV6电影,http://live.gdtv.cn/hd42/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/live552/index.m3u8
CCTV8电视剧,http://live.cctv.cn/live771/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/live452/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/live293/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/hdtv31/index.m3u8
CCTV12社会与法,http://live.cctv.cn/live574/index.m3u8
CCTV13新闻,http://live.hunantv.com/hd48/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/live904/index.m3u8
CCTV15音乐,http://live.cctv.cn/cctv9hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hdtv84/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/live268/index.m3u8
湖南卫视,rtp://239.77.0.76:5140
浙江卫视,http://live.cctv.cn/cctv4hd/index.m3u8
江苏卫视,rtp://239.20.0.133:1234
东方卫视,rtp://239.20.0.109:9000
北京卫视,rtp://239.20.0.139:8080
广东卫视,rtp://239.253.92.130:1234
深圳卫视,rtp://239.77.0.129:9901
山东卫视,http://cctv1.live.cctv.cn/hdtv48/index.m3u8
天津卫视,rtp://239.253.92.162:9901
辽宁卫视,rtp://239.20.0.146:8000
黑龙江卫视,rtp://239.77.0.104:5140
安徽卫视,rtp://239.20.0.96:9000
河北卫视,rtp://239.253.92.233:8000
河南卫视,rtp://239.253.92.182:8080
湖北卫视,rtp://239.20.0.197:9001
江西卫视,rtp://239.20.0.212:9000
福建卫视,rtp://239.253.92.5:5140
四川卫视,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
重庆卫视,rtp://239.20.0.123:9001
贵州卫视,rtp://239.20.0.189:8000
云南卫视,rtp://239.77.0.104:8000
广西卫视,rtp://239.253.92.175:1234
海南卫视,rtp://239.77.0.154:8080
山西卫视,http://cctv1.live.cctv.cn/live886/index.m3u8
陕西卫视,http://live.hunantv.com/cctv10hd/index.m3u8
甘肃卫视,rtp://239.253.92.210:8000
青海卫视,http://cctv13.live.cctv.cn/hdtv4/index.m3u8
宁夏卫视,http://live.cctv.cn/hd43/index.m3u8
新疆卫视,http://cctv13.live.cctv.cn/hd8/index.m3u8
西藏卫视,rtp://239.253.92.134:8080
内蒙古卫视,rtp://239.253.92.202:9001
吉林卫视,rtp://239.77.0.254:8000
四川新闻,rtp://239.20.0.61:9001
四川都市,http://live.cctv.cn/hd45/index.m3u8
四川影视,rtp://239.77.0.203:8000
四川生活,rtp://239.253.92.172:5140
四川经济,http://live.gdtv.cn/hd7/index.m3u8
四川科教,rtp://239.253.92.31:5140
四川体育,rtp://239.253.92.2:8000
四川公共,http://cctv13.live.cctv.cn/hdtv38/index.m3u8
四川卫视,rtp://239.77.0.71:5140
