# 四川省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hdtv14/index.m3u8
CCTV2财经,http://live.gdtv.cn/live373/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hd6/index.m3u8
CCTV4中文国际,http://live.hunantv.com/cctv11hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd12/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/hdtv18/index.m3u8
CCTV6电影,http://live.hunantv.com/hd18/index.m3u8
CCTV7国防军事,http://live.hunantv.com/cctv16hd/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/live896/index.m3u8
CCTV9纪录,http://live.hunantv.com/live954/index.m3u8
CCTV10科教,http://live.hunantv.com/cctv5hd/index.m3u8
CCTV11戏曲,http://live.hunantv.com/hdtv11/index.m3u8
CCTV12社会与法,http://live.hunantv.com/live859/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/hdtv67/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hdtv57/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd11/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hdtv54/index.m3u8
湖南卫视,rtp://239.253.92.176:8080
浙江卫视,rtp://239.77.0.133:9000
江苏卫视,http://live.gdtv.cn/hdtv8/index.m3u8
东方卫视,http://cctv13.live.cctv.cn/live881/index.m3u8
北京卫视,rtp://239.77.0.30:1234
广东卫视,rtp://239.77.0.161:8000
深圳卫视,rtp://239.20.0.165:9000
山东卫视,rtp://239.253.92.105:9001
天津卫视,http://live.cctv.cn/hdtv20/index.m3u8
辽宁卫视,rtp://239.20.0.129:1234
黑龙江卫视,rtp://239.20.0.67:8000
安徽卫视,http://live.hunantv.com/hd35/index.m3u8
河北卫视,http://live.gdtv.cn/live831/index.m3u8
河南卫视,rtp://239.253.92.254:8080
湖北卫视,rtp://239.20.0.17:8080
江西卫视,http://live.gdtv.cn/hd19/index.m3u8
福建卫视,http://live.cctv.cn/hd3/index.m3u8
四川卫视,rtp://239.77.0.152:8080
重庆卫视,rtp://239.253.92.17:1234
贵州卫视,rtp://239.253.92.80:5140
云南卫视,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
广西卫视,rtp://239.20.0.164:9901
海南卫视,http://live.hunantv.com/hd40/index.m3u8
山西卫视,rtp://239.253.92.159:9001
陕西卫视,rtp://239.20.0.19:8080
甘肃卫视,rtp://239.20.0.128:8000
青海卫视,rtp://239.20.0.36:9901
宁夏卫视,rtp://239.253.92.66:9001
新疆卫视,rtp://239.20.0.191:8080
西藏卫视,rtp://239.253.92.174:5140
内蒙古卫视,rtp://239.253.92.72:9000
吉林卫视,http://cctv1.live.cctv.cn/hdtv2/index.m3u8
四川新闻,http://live.hunantv.com/hd40/index.m3u8
四川都市,rtp://239.253.92.67:9001
四川影视,rtp://239.20.0.206:1234
四川生活,rtp://239.20.0.67:1234
四川经济,rtp://239.77.0.83:9000
四川科教,http://live.cctv.cn/live169/index.m3u8
四川体育,rtp://239.20.0.45:9901
四川公共,rtp://239.20.0.75:8080
四川卫视,rtp://239.253.92.40:9000
四川新闻,rtp://239.20.0.77:8000
四川经济,rtp://239.77.0.42:5140
四川影视,rtp://239.77.0.99:5140
四川文化,rtp://239.77.0.61:8080
四川公共,rtp://239.20.0.83:8080
康巴卫视,rtp://239.20.0.191:8000
CCTV1 4K,http://live.cctv.cn/live684/index.m3u8
CCTV4K,http://live.gdtv.cn/hdtv14/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/hdtv49/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
广东4K,http://live.hunantv.com/hdtv33/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/hdtv84/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hdtv7/index.m3u8
纯享4K,http://live.hunantv.com/hdtv30/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/hdtv7/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
CCTV5体育,http://live.gdtv.cn/cctv4hd/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hdtv73/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hdtv49/index.m3u8
五星体育,rtp://239.77.0.165:9000
广东体育,rtp://239.77.0.70:1234
北京体育,rtp://239.77.0.69:8080
劲爆体育,rtp://239.20.0.253:1234
魅力足球,http://cctv13.live.cctv.cn/live687/index.m3u8
CCTV6电影,http://live.cctv.cn/live239/index.m3u8
上海电影,rtp://239.20.0.49:9001
广东电影,rtp://239.253.92.198:1234
峨眉电影,rtp://239.253.92.40:9001
CHC高清电影,http://live.gdtv.cn/cctv16hd/index.m3u8
CHC动作电影,http://live.hunantv.com/hdtv72/index.m3u8
CHC家庭影院,rtp://239.20.0.136:9001
都市剧场,rtp://239.20.0.20:1234
CCTV少儿,http://live.hunantv.com/hdtv59/index.m3u8
金鹰卡通,rtp://239.77.0.46:9000
嘉佳卡通,rtp://239.20.0.222:9901
优漫卡通,rtp://239.77.0.98:9000
炫动卡通,rtp://239.20.0.59:9901
卡酷少儿,http://live.hunantv.com/cctv10hd/index.m3u8
CCTV新闻,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/live453/index.m3u8
中国教育1台,rtp://239.253.92.119:9901
中国教育2台,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
凤凰中文,rtp://239.253.92.126:1234
凤凰资讯,rtp://239.20.0.132:9001
CCTV11戏曲,http://cctv13.live.cctv.cn/hd21/index.m3u8
梨园频道,rtp://239.20.0.58:8080
文物宝库,rtp://239.20.0.1:1234
国学频道,rtp://239.20.0.121:9000
秦腔频道,rtp://239.20.0.203:1234
陕西秦腔,rtp://239.253.92.197:9000
甘肃秦腔,rtp://239.253.92.45:5140
宁夏秦腔,http://cctv13.live.cctv.cn/live381/index.m3u8
四川川剧,rtp://239.77.0.234:9000
成都川剧,rtp://239.77.0.202:5140
重庆川剧,http://live.cctv.cn/cctv13hd/index.m3u8
自贡川剧,rtp://239.20.0.157:8080
