# 四川省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/cctv7hd/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hd34/index.m3u8
CCTV3综艺,http://live.hunantv.com/live382/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hdtv91/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/cctv16hd/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/live193/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/live590/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hdtv20/index.m3u8
CCTV9纪录,http://live.cctv.cn/hdtv50/index.m3u8
CCTV10科教,http://live.gdtv.cn/live586/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hdtv75/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hdtv40/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/hdtv81/index.m3u8
CCTV14少儿,http://live.hunantv.com/hdtv39/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/live118/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hdtv87/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/hd46/index.m3u8
湖南卫视,rtp://239.77.0.59:9000
浙江卫视,rtp://239.77.0.239:9901
江苏卫视,rtp://239.253.92.226:8000
东方卫视,http://live.hunantv.com/cctv15hd/index.m3u8
北京卫视,rtp://239.253.92.107:5140
广东卫视,rtp://239.77.0.9:9901
深圳卫视,rtp://239.77.0.56:9001
山东卫视,rtp://239.77.0.211:1234
天津卫视,rtp://239.77.0.30:8000
辽宁卫视,http://cctv1.live.cctv.cn/hdtv94/index.m3u8
黑龙江卫视,rtp://239.20.0.60:9001
安徽卫视,rtp://239.77.0.171:8080
河北卫视,rtp://239.77.0.70:8080
河南卫视,rtp://239.253.92.120:5140
湖北卫视,http://live.cctv.cn/hdtv42/index.m3u8
江西卫视,rtp://239.253.92.2:9901
福建卫视,rtp://239.253.92.128:9901
四川卫视,rtp://239.77.0.86:9901
重庆卫视,rtp://239.253.92.124:9001
贵州卫视,rtp://239.253.92.5:5140
云南卫视,rtp://239.20.0.190:8000
广西卫视,rtp://239.20.0.243:9000
海南卫视,rtp://239.20.0.176:5140
山西卫视,rtp://239.20.0.36:9901
陕西卫视,rtp://239.20.0.198:9000
甘肃卫视,rtp://239.77.0.158:5140
青海卫视,rtp://239.77.0.80:9000
宁夏卫视,rtp://239.77.0.185:5140
新疆卫视,rtp://239.20.0.216:9001
西藏卫视,rtp://239.253.92.173:8000
内蒙古卫视,rtp://239.253.92.194:9901
吉林卫视,rtp://239.20.0.113:8000
四川新闻,http://live.cctv.cn/hd25/index.m3u8
四川都市,rtp://239.77.0.231:8000
四川影视,rtp://239.253.92.110:9001
四川生活,rtp://239.253.92.72:1234
四川经济,rtp://239.253.92.178:1234
四川科教,rtp://239.20.0.140:8080
四川体育,rtp://239.20.0.32:1234
四川公共,rtp://239.20.0.40:5140
四川卫视,http://live.gdtv.cn/hdtv84/index.m3u8
四川新闻,rtp://239.77.0.93:5140
四川经济,rtp://239.20.0.254:5140
四川影视,rtp://239.253.92.15:9000
四川文化,http://cctv1.live.cctv.cn/cctv1hd/index.m3u8
四川公共,rtp://239.253.92.224:9000
康巴卫视,rtp://239.253.92.229:8000
CCTV1 4K,http://live.hunantv.com/hdtv33/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/hdtv65/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/live694/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/live162/index.m3u8
广东4K,http://cctv1.live.cctv.cn/hdtv26/index.m3u8
咪咕体育4K,http://live.gdtv.cn/live919/index.m3u8
咪咕直播4K,http://live.cctv.cn/hd27/index.m3u8
纯享4K,http://live.hunantv.com/live383/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/live103/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/hdtv32/index.m3u8
CCTV5体育,http://live.cctv.cn/hdtv88/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hdtv17/index.m3u8
五星体育,rtp://239.20.0.215:5140
广东体育,http://live.hunantv.com/cctv7hd/index.m3u8
北京体育,rtp://239.253.92.142:9901
劲爆体育,rtp://239.253.92.12:5140
魅力足球,rtp://239.77.0.208:8000
CCTV6电影,http://live.cctv.cn/cctv14hd/index.m3u8
上海电影,rtp://239.253.92.185:1234
广东电影,rtp://239.20.0.196:9901
峨眉电影,rtp://239.77.0.49:9901
CHC高清电影,http://live.hunantv.com/cctv11hd/index.m3u8
CHC动作电影,rtp://239.253.92.6:1234
CHC家庭影院,rtp://239.77.0.65:9901
都市剧场,http://cctv1.live.cctv.cn/live993/index.m3u8
CCTV少儿,http://live.hunantv.com/hdtv86/index.m3u8
金鹰卡通,rtp://239.20.0.67:8000
嘉佳卡通,http://live.cctv.cn/live857/index.m3u8
优漫卡通,rtp://239.20.0.175:1234
炫动卡通,rtp://239.77.0.93:9000
卡酷少儿,rtp://239.253.92.205:9901
CCTV新闻,http://live.hunantv.com/hd49/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/hdtv79/index.m3u8
中国教育1台,rtp://239.20.0.5:8000
中国教育2台,rtp://239.20.0.145:8080
凤凰中文,rtp://239.77.0.246:1234
凤凰资讯,rtp://239.253.92.202:8080
CCTV11戏曲,http://live.gdtv.cn/live673/index.m3u8
梨园频道,rtp://239.20.0.135:5140
文物宝库,rtp://239.253.92.174:9901
国学频道,rtp://239.20.0.39:9000
秦腔频道,rtp://239.253.92.11:9001
陕西秦腔,rtp://239.253.92.53:9000
甘肃秦腔,http://live.gdtv.cn/hd33/index.m3u8
宁夏秦腔,rtp://239.253.92.142:8080
四川川剧,rtp://239.77.0.96:9001
成都川剧,rtp://239.253.92.232:9000
重庆川剧,http://cctv1.live.cctv.cn/hdtv33/index.m3u8
自贡川剧,rtp://239.253.92.33:9000
