# 天津市 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 120
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hd5/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hd45/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/live260/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
CCTV5体育,http://live.hunantv.com/hdtv12/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/live268/index.m3u8
CCTV6电影,http://live.cctv.cn/hd9/index.m3u8
CCTV7国防军事,http://live.cctv.cn/cctv11hd/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
CCTV9纪录,http://live.hunantv.com/hdtv35/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/hdtv13/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/live969/index.m3u8
CCTV14少儿,http://live.cctv.cn/hdtv64/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/live457/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/live841/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hdtv33/index.m3u8
湖南卫视,rtp://239.254.97.234:8080
浙江卫视,rtp://239.49.1.71:9901
江苏卫视,rtp://239.254.97.190:5140
东方卫视,rtp://225.1.2.238:9001
北京卫视,rtp://239.49.1.101:1234
广东卫视,rtp://239.49.1.108:9001
深圳卫视,rtp://239.254.97.128:1234
山东卫视,http://live.hunantv.com/hdtv96/index.m3u8
天津卫视,rtp://239.254.97.121:5140
辽宁卫视,rtp://239.254.97.178:9000
黑龙江卫视,rtp://239.11.0.73:9901
安徽卫视,http://cctv13.live.cctv.cn/live997/index.m3u8
河北卫视,http://live.cctv.cn/hdtv94/index.m3u8
河南卫视,rtp://225.1.2.198:5140
湖北卫视,rtp://225.1.2.188:9000
江西卫视,rtp://225.1.2.73:5140
福建卫视,rtp://239.254.97.191:8000
四川卫视,rtp://239.11.0.227:5140
重庆卫视,rtp://225.1.2.138:9000
贵州卫视,http://live.cctv.cn/hd44/index.m3u8
云南卫视,http://cctv13.live.cctv.cn/hdtv3/index.m3u8
广西卫视,rtp://239.254.97.178:9901
海南卫视,rtp://239.254.97.105:8000
山西卫视,rtp://225.1.2.97:9901
陕西卫视,rtp://225.1.2.122:9901
甘肃卫视,rtp://239.11.0.191:9000
青海卫视,rtp://239.49.1.157:9000
宁夏卫视,http://live.gdtv.cn/cctv5hd/index.m3u8
新疆卫视,rtp://239.254.97.223:9901
西藏卫视,rtp://239.11.0.157:5140
内蒙古卫视,rtp://239.254.97.48:9901
吉林卫视,rtp://239.254.97.176:8000
天津新闻,rtp://239.49.1.170:9001
天津都市,http://live.cctv.cn/hd31/index.m3u8
天津影视,rtp://239.11.0.96:5140
天津生活,rtp://239.49.1.153:8000
天津经济,http://live.hunantv.com/cctv7hd/index.m3u8
天津科教,rtp://239.254.97.110:9000
天津体育,rtp://239.254.97.85:8000
天津公共,http://cctv1.live.cctv.cn/hd36/index.m3u8
CCTV1 4K,http://live.gdtv.cn/hd48/index.m3u8
CCTV4K,http://live.cctv.cn/cctv6hd/index.m3u8
北京纪实4K,http://live.gdtv.cn/hdtv52/index.m3u8
上海纪实4K,http://live.cctv.cn/live992/index.m3u8
广东4K,http://live.hunantv.com/hdtv19/index.m3u8
咪咕体育4K,http://live.cctv.cn/cctv15hd/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hdtv11/index.m3u8
纯享4K,http://live.gdtv.cn/hdtv97/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/live340/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hd47/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hdtv10/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/live125/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/live943/index.m3u8
五星体育,rtp://225.1.2.190:8080
广东体育,rtp://225.1.2.74:8000
北京体育,rtp://239.254.97.26:9001
劲爆体育,http://live.hunantv.com/hd49/index.m3u8
魅力足球,rtp://239.254.97.140:8080
CCTV6电影,http://live.gdtv.cn/cctv7hd/index.m3u8
上海电影,rtp://225.1.2.23:9001
广东电影,rtp://239.11.0.199:8000
峨眉电影,http://cctv13.live.cctv.cn/hd31/index.m3u8
CHC高清电影,http://live.cctv.cn/live630/index.m3u8
CHC动作电影,rtp://239.11.0.86:8080
CHC家庭影院,rtp://225.1.2.8:9000
都市剧场,rtp://239.11.0.253:8080
CCTV少儿,http://live.hunantv.com/hdtv44/index.m3u8
金鹰卡通,rtp://239.11.0.11:8000
嘉佳卡通,rtp://239.11.0.234:5140
优漫卡通,rtp://225.1.2.45:8080
炫动卡通,rtp://239.49.1.72:1234
卡酷少儿,rtp://239.49.1.197:8000
CCTV新闻,http://cctv13.live.cctv.cn/live873/index.m3u8
CCTV13,http://live.cctv.cn/hdtv33/index.m3u8
中国教育1台,rtp://225.1.2.130:8080
中国教育2台,rtp://239.11.0.53:8000
