# 天津市 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live961/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hdtv68/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/hd4/index.m3u8
CCTV4中文国际,http://live.cctv.cn/live691/index.m3u8
CCTV5体育,http://live.cctv.cn/live998/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/live847/index.m3u8
CCTV6电影,http://live.hunantv.com/hdtv40/index.m3u8
CCTV7国防军事,http://live.cctv.cn/hdtv23/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hdtv5/index.m3u8
CCTV9纪录,http://live.gdtv.cn/live843/index.m3u8
CCTV10科教,http://live.hunantv.com/cctv3hd/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/cctv16hd/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hd34/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/cctv1hd/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hdtv78/index.m3u8
CCTV15音乐,http://live.hunantv.com/hd21/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/cctv2hd/index.m3u8
CCTV17农业农村,http://live.hunantv.com/hdtv16/index.m3u8
湖南卫视,rtp://239.49.1.233:9001
浙江卫视,rtp://239.254.97.52:8000
江苏卫视,rtp://239.11.0.205:8080
东方卫视,rtp://239.254.97.24:9001
北京卫视,http://live.cctv.cn/live932/index.m3u8
广东卫视,rtp://239.49.1.232:5140
深圳卫视,rtp://225.1.2.243:5140
山东卫视,rtp://239.49.1.111:1234
天津卫视,rtp://239.11.0.164:8080
辽宁卫视,rtp://239.49.1.35:9901
黑龙江卫视,rtp://225.1.2.145:8000
安徽卫视,http://live.gdtv.cn/cctv4hd/index.m3u8
河北卫视,rtp://239.11.0.221:1234
河南卫视,rtp://239.254.97.56:8000
湖北卫视,http://cctv13.live.cctv.cn/hd10/index.m3u8
江西卫视,rtp://239.11.0.131:9000
福建卫视,rtp://239.11.0.222:5140
四川卫视,rtp://239.11.0.77:1234
重庆卫视,rtp://239.254.97.117:8000
贵州卫视,rtp://239.49.1.153:8000
云南卫视,rtp://225.1.2.248:5140
广西卫视,rtp://225.1.2.204:8080
海南卫视,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
山西卫视,rtp://239.11.0.9:5140
陕西卫视,rtp://239.254.97.205:9901
甘肃卫视,rtp://239.49.1.194:9901
青海卫视,rtp://225.1.2.156:1234
宁夏卫视,rtp://239.11.0.220:9901
新疆卫视,rtp://225.1.2.197:8000
西藏卫视,rtp://239.254.97.47:8080
内蒙古卫视,rtp://239.254.97.204:8080
吉林卫视,rtp://239.254.97.136:8080
天津新闻,rtp://225.1.2.231:9901
天津都市,rtp://239.11.0.168:9901
天津影视,rtp://239.49.1.151:5140
天津生活,rtp://239.254.97.93:9001
天津经济,rtp://239.49.1.89:8000
天津科教,rtp://225.1.2.219:5140
天津体育,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
天津公共,rtp://239.49.1.254:8000
CCTV1 4K,http://live.cctv.cn/live265/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/live809/index.m3u8
北京纪实4K,http://live.cctv.cn/live929/index.m3u8
上海纪实4K,http://live.cctv.cn/cctv16hd/index.m3u8
广东4K,http://live.hunantv.com/cctv17hd/index.m3u8
咪咕体育4K,http://live.hunantv.com/hd3/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hdtv75/index.m3u8
纯享4K,http://live.cctv.cn/live775/index.m3u8
爱上4K,http://live.hunantv.com/live110/index.m3u8
欢笑剧场4K,http://live.hunantv.com/hdtv78/index.m3u8
CCTV5体育,http://live.cctv.cn/hd27/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/cctv5hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv1hd/index.m3u8
五星体育,rtp://239.254.97.143:1234
广东体育,http://live.cctv.cn/cctv16hd/index.m3u8
北京体育,rtp://225.1.2.101:9000
劲爆体育,rtp://239.11.0.72:5140
魅力足球,rtp://225.1.2.190:8080
CCTV6电影,http://live.hunantv.com/hdtv91/index.m3u8
上海电影,rtp://239.11.0.189:9001
广东电影,rtp://239.254.97.106:8080
峨眉电影,rtp://239.254.97.34:9001
CHC高清电影,http://live.hunantv.com/hd18/index.m3u8
CHC动作电影,rtp://239.11.0.83:9000
CHC家庭影院,http://live.gdtv.cn/hdtv2/index.m3u8
都市剧场,rtp://239.11.0.134:9001
CCTV少儿,http://live.hunantv.com/cctv9hd/index.m3u8
金鹰卡通,rtp://239.11.0.241:9000
嘉佳卡通,http://live.cctv.cn/hd2/index.m3u8
优漫卡通,http://live.gdtv.cn/hdtv57/index.m3u8
炫动卡通,rtp://239.254.97.48:9001
卡酷少儿,rtp://239.49.1.144:9000
CCTV新闻,http://live.gdtv.cn/hd34/index.m3u8
CCTV13,http://cctv1.live.cctv.cn/hdtv65/index.m3u8
中国教育1台,rtp://225.1.2.67:5140
中国教育2台,rtp://239.11.0.36:1234
凤凰中文,http://cctv1.live.cctv.cn/hdtv32/index.m3u8
凤凰资讯,http://live.hunantv.com/hdtv54/index.m3u8
CCTV11戏曲,http://live.hunantv.com/cctv6hd/index.m3u8
梨园频道,rtp://239.49.1.175:9901
文物宝库,rtp://225.1.2.151:8000
国学频道,rtp://239.49.1.232:1234
秦腔频道,http://live.cctv.cn/cctv5hd/index.m3u8
陕西秦腔,rtp://239.254.97.191:9901
甘肃秦腔,rtp://239.254.97.160:1234
宁夏秦腔,http://cctv13.live.cctv.cn/live581/index.m3u8
