# 天津市 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hdtv92/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/cctv13hd/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hdtv94/index.m3u8
CCTV4中文国际,http://live.hunantv.com/cctv9hd/index.m3u8
CCTV5体育,http://live.hunantv.com/live891/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hdtv47/index.m3u8
CCTV6电影,http://live.cctv.cn/hdtv95/index.m3u8
CCTV7国防军事,http://live.hunantv.com/cctv14hd/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hdtv43/index.m3u8
CCTV9纪录,http://live.hunantv.com/cctv3hd/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/live768/index.m3u8
CCTV11戏曲,http://live.hunantv.com/live539/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/hdtv76/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/cctv14hd/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hd27/index.m3u8
CCTV15音乐,http://live.hunantv.com/live828/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/cctv11hd/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hdtv13/index.m3u8
湖南卫视,rtp://239.254.97.204:8080
浙江卫视,rtp://239.49.1.200:5140
江苏卫视,rtp://239.49.1.147:5140
东方卫视,rtp://239.11.0.103:8080
北京卫视,rtp://225.1.2.92:9901
广东卫视,rtp://225.1.2.78:9000
深圳卫视,rtp://239.11.0.165:9000
山东卫视,rtp://239.11.0.138:1234
天津卫视,rtp://239.254.97.77:5140
辽宁卫视,rtp://239.49.1.93:8000
黑龙江卫视,rtp://225.1.2.224:9901
安徽卫视,rtp://225.1.2.10:8080
河北卫视,rtp://239.49.1.60:8000
河南卫视,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
湖北卫视,rtp://239.49.1.22:9000
江西卫视,rtp://239.11.0.59:9001
福建卫视,rtp://225.1.2.73:9901
四川卫视,http://live.hunantv.com/cctv9hd/index.m3u8
重庆卫视,http://cctv1.live.cctv.cn/hdtv32/index.m3u8
贵州卫视,rtp://239.254.97.228:9901
云南卫视,rtp://225.1.2.68:9001
广西卫视,rtp://239.49.1.83:8000
海南卫视,rtp://239.11.0.3:9901
山西卫视,rtp://239.254.97.186:9001
陕西卫视,rtp://239.254.97.72:8000
甘肃卫视,rtp://239.254.97.33:9000
青海卫视,rtp://225.1.2.212:9901
宁夏卫视,rtp://239.254.97.190:8080
新疆卫视,rtp://225.1.2.164:9000
西藏卫视,rtp://225.1.2.158:9000
内蒙古卫视,rtp://239.11.0.45:8000
吉林卫视,rtp://239.49.1.28:8000
天津新闻,rtp://225.1.2.212:5140
天津都市,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
天津影视,rtp://239.49.1.21:8080
天津生活,rtp://239.11.0.85:5140
天津经济,rtp://225.1.2.215:9001
天津科教,rtp://239.11.0.53:1234
天津体育,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
天津公共,rtp://239.49.1.227:8000
CCTV1 4K,http://live.cctv.cn/live201/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/cctv7hd/index.m3u8
北京纪实4K,http://live.gdtv.cn/hdtv92/index.m3u8
上海纪实4K,http://live.cctv.cn/live135/index.m3u8
广东4K,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
咪咕体育4K,http://live.cctv.cn/hdtv66/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/hdtv95/index.m3u8
爱上4K,http://live.cctv.cn/live991/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hdtv67/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/cctv17hd/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hd12/index.m3u8
五星体育,rtp://239.49.1.180:9901
广东体育,http://live.gdtv.cn/cctv1hd/index.m3u8
北京体育,rtp://225.1.2.30:5140
劲爆体育,rtp://239.11.0.65:8000
魅力足球,rtp://225.1.2.79:1234
CCTV6电影,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
上海电影,rtp://225.1.2.12:9001
广东电影,rtp://239.11.0.199:8080
峨眉电影,rtp://225.1.2.95:8000
CHC高清电影,http://live.cctv.cn/cctv7hd/index.m3u8
CHC动作电影,rtp://239.254.97.102:5140
CHC家庭影院,rtp://239.11.0.204:9000
都市剧场,rtp://239.11.0.84:9901
CCTV少儿,http://live.hunantv.com/cctv7hd/index.m3u8
金鹰卡通,rtp://239.49.1.252:1234
嘉佳卡通,rtp://239.11.0.202:8000
优漫卡通,rtp://239.254.97.250:1234
炫动卡通,rtp://239.11.0.29:9001
卡酷少儿,rtp://239.254.97.180:9001
CCTV新闻,http://live.cctv.cn/cctv4hd/index.m3u8
CCTV13,http://live.cctv.cn/hdtv5/index.m3u8
中国教育1台,http://cctv13.live.cctv.cn/cctv16hd/index.m3u8
中国教育2台,rtp://225.1.2.47:8080
凤凰中文,http://live.gdtv.cn/cctv15hd/index.m3u8
凤凰资讯,http://cctv13.live.cctv.cn/hd37/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hdtv5/index.m3u8
梨园频道,rtp://225.1.2.64:8000
文物宝库,http://live.cctv.cn/hdtv99/index.m3u8
国学频道,rtp://225.1.2.90:5140
秦腔频道,http://live.cctv.cn/hd2/index.m3u8
陕西秦腔,http://live.cctv.cn/hd30/index.m3u8
甘肃秦腔,rtp://239.11.0.52:8080
宁夏秦腔,rtp://239.11.0.227:8080
