# 天津市 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/cctv7hd/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hd21/index.m3u8
CCTV3综艺,http://live.gdtv.cn/hdtv2/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hdtv72/index.m3u8
CCTV5体育,http://live.gdtv.cn/cctv13hd/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hd31/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/live381/index.m3u8
CCTV9纪录,http://live.cctv.cn/hdtv20/index.m3u8
CCTV10科教,http://live.cctv.cn/hd34/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hdtv2/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/live585/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/hd18/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
CCTV15音乐,http://live.hunantv.com/hd34/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hdtv21/index.m3u8
CCTV17农业农村,http://live.hunantv.com/cctv17hd/index.m3u8
湖南卫视,rtp://239.11.0.183:9901
浙江卫视,rtp://239.254.97.46:1234
江苏卫视,rtp://239.11.0.134:8000
东方卫视,rtp://225.1.2.142:8080
北京卫视,rtp://225.1.2.82:1234
广东卫视,rtp://225.1.2.73:5140
深圳卫视,rtp://239.49.1.79:8080
山东卫视,rtp://225.1.2.5:9000
天津卫视,http://live.gdtv.cn/live222/index.m3u8
辽宁卫视,rtp://239.49.1.133:9000
黑龙江卫视,rtp://225.1.2.64:9000
安徽卫视,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
河北卫视,rtp://239.254.97.136:5140
河南卫视,rtp://225.1.2.244:8000
湖北卫视,rtp://239.254.97.145:9001
江西卫视,rtp://225.1.2.117:8000
福建卫视,rtp://239.49.1.165:9001
四川卫视,http://live.gdtv.cn/hd4/index.m3u8
重庆卫视,http://live.hunantv.com/hd13/index.m3u8
贵州卫视,rtp://239.254.97.79:1234
云南卫视,http://cctv1.live.cctv.cn/hd17/index.m3u8
广西卫视,http://live.hunantv.com/live731/index.m3u8
海南卫视,rtp://239.11.0.2:9000
山西卫视,rtp://239.11.0.239:1234
陕西卫视,rtp://225.1.2.36:9901
甘肃卫视,rtp://239.11.0.250:1234
青海卫视,rtp://225.1.2.213:5140
宁夏卫视,rtp://239.49.1.242:9901
新疆卫视,rtp://239.11.0.122:9901
