# 宁夏回族自治区 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 126
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live653/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/live736/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/live256/index.m3u8
CCTV4中文国际,http://live.cctv.cn/hd46/index.m3u8
CCTV5体育,http://live.gdtv.cn/live343/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/cctv14hd/index.m3u8
CCTV6电影,http://live.cctv.cn/hd10/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hdtv4/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/hdtv72/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/hdtv86/index.m3u8
CCTV10科教,http://live.cctv.cn/hd21/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/live569/index.m3u8
CCTV13新闻,http://live.hunantv.com/live309/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hd20/index.m3u8
CCTV15音乐,http://live.cctv.cn/cctv15hd/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/live436/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/cctv2hd/index.m3u8
湖南卫视,rtp://239.254.97.122:9000
浙江卫视,rtp://225.1.4.100:9901
江苏卫视,rtp://239.254.97.135:1234
东方卫视,rtp://225.1.4.34:1234
北京卫视,rtp://239.252.220.125:8000
广东卫视,rtp://239.252.220.102:1234
深圳卫视,rtp://225.1.4.114:5140
山东卫视,rtp://239.254.97.254:8080
天津卫视,rtp://239.254.97.7:5140
辽宁卫视,rtp://225.1.4.204:9001
黑龙江卫视,rtp://225.1.4.92:8080
安徽卫视,http://live.gdtv.cn/hdtv17/index.m3u8
河北卫视,rtp://239.254.97.62:5140
河南卫视,rtp://239.252.220.95:8000
湖北卫视,rtp://225.1.4.158:8000
江西卫视,rtp://239.252.220.29:8000
福建卫视,http://cctv1.live.cctv.cn/live914/index.m3u8
四川卫视,rtp://239.254.97.152:8000
重庆卫视,rtp://239.252.220.213:9901
贵州卫视,rtp://239.254.97.169:9001
云南卫视,rtp://239.252.220.145:1234
广西卫视,rtp://225.1.4.109:1234
海南卫视,rtp://239.252.220.228:9001
山西卫视,rtp://239.252.220.8:9901
陕西卫视,rtp://225.1.4.100:8000
甘肃卫视,rtp://239.252.220.116:8080
青海卫视,rtp://239.252.220.232:5140
宁夏卫视,http://live.cctv.cn/cctv3hd/index.m3u8
新疆卫视,rtp://239.254.97.63:1234
西藏卫视,rtp://239.254.97.130:9001
内蒙古卫视,rtp://239.252.220.246:1234
吉林卫视,rtp://239.252.220.57:8080
宁夏新闻,rtp://239.254.97.216:5140
宁夏都市,rtp://225.1.4.171:1234
宁夏影视,rtp://239.252.220.154:1234
宁夏生活,rtp://239.252.220.235:5140
宁夏经济,http://live.gdtv.cn/cctv4hd/index.m3u8
宁夏科教,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
宁夏体育,rtp://239.254.97.84:1234
宁夏公共,rtp://225.1.4.191:9001
CCTV1 4K,http://live.hunantv.com/live429/index.m3u8
CCTV4K,http://live.cctv.cn/hd9/index.m3u8
北京纪实4K,http://live.cctv.cn/hd30/index.m3u8
上海纪实4K,http://live.cctv.cn/hdtv63/index.m3u8
广东4K,http://live.cctv.cn/hdtv17/index.m3u8
咪咕体育4K,http://live.gdtv.cn/live860/index.m3u8
咪咕直播4K,http://live.cctv.cn/hdtv11/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hd41/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/hd10/index.m3u8
欢笑剧场4K,http://live.cctv.cn/live220/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hd37/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/cctv5hd/index.m3u8
五星体育,http://live.gdtv.cn/live735/index.m3u8
广东体育,rtp://239.252.220.137:9901
北京体育,http://live.cctv.cn/cctv17hd/index.m3u8
劲爆体育,rtp://239.254.97.198:9901
魅力足球,rtp://239.254.97.111:8080
CCTV6电影,http://live.hunantv.com/hd36/index.m3u8
上海电影,http://cctv13.live.cctv.cn/live784/index.m3u8
广东电影,rtp://239.252.220.59:8000
峨眉电影,rtp://239.254.97.221:9001
CHC高清电影,http://cctv13.live.cctv.cn/hd4/index.m3u8
CHC动作电影,rtp://239.254.97.36:8000
CHC家庭影院,rtp://239.254.97.224:5140
都市剧场,http://cctv13.live.cctv.cn/hdtv60/index.m3u8
CCTV少儿,http://live.hunantv.com/hdtv37/index.m3u8
金鹰卡通,rtp://225.1.4.92:8080
嘉佳卡通,rtp://239.252.220.247:5140
优漫卡通,rtp://239.254.97.219:9001
炫动卡通,rtp://225.1.4.24:8000
卡酷少儿,http://cctv1.live.cctv.cn/live600/index.m3u8
CCTV新闻,http://live.gdtv.cn/live519/index.m3u8
CCTV13,http://live.hunantv.com/hd21/index.m3u8
中国教育1台,rtp://225.1.4.53:9000
中国教育2台,http://live.gdtv.cn/cctv6hd/index.m3u8
凤凰中文,http://live.gdtv.cn/live876/index.m3u8
凤凰资讯,http://live.hunantv.com/cctv6hd/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/hd41/index.m3u8
梨园频道,http://live.cctv.cn/hd37/index.m3u8
文物宝库,rtp://239.254.97.33:9901
国学频道,rtp://225.1.4.177:8000
秦腔频道,rtp://225.1.4.123:5140
陕西秦腔,rtp://239.254.97.228:9000
甘肃秦腔,rtp://239.252.220.75:9901
宁夏秦腔,rtp://239.252.220.206:8000
宁夏秦腔,rtp://225.1.4.212:8080
银川秦腔,rtp://225.1.4.121:1234
石嘴山秦腔,rtp://225.1.4.214:5140
吴忠秦腔,rtp://239.252.220.225:9000
固原秦腔,rtp://225.1.4.224:1234
中卫秦腔,rtp://239.252.220.109:5140
中国广电4K,http://cctv13.live.cctv.cn/hdtv58/index.m3u8
广电精品,rtp://239.254.97.207:5140
广电影视,rtp://239.252.220.171:9901
广电纪实,rtp://225.1.4.208:8000
广电体育,rtp://239.252.220.11:8000
广电新闻,rtp://225.1.4.179:9000
广电综艺,http://cctv13.live.cctv.cn/hd19/index.m3u8
广电少儿,http://live.gdtv.cn/hdtv12/index.m3u8
广电音乐,rtp://239.252.220.110:1234
广电戏曲,rtp://225.1.4.4:9000
广电科教,rtp://239.252.220.189:9901
广电购物,rtp://239.252.220.141:9000
IPTV经典电影,rtp://239.254.97.9:9000
IPTV热播剧场,rtp://239.254.97.87:8000
IPTV魅力时尚,rtp://239.254.97.158:8080
