# 宁夏回族自治区 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 110
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hdtv18/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hdtv11/index.m3u8
CCTV3综艺,http://live.cctv.cn/live186/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
CCTV5体育,http://live.gdtv.cn/hd49/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/hdtv92/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/hdtv73/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/hdtv92/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/cctv16hd/index.m3u8
CCTV9纪录,http://live.cctv.cn/hdtv73/index.m3u8
CCTV10科教,http://live.gdtv.cn/hd41/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hdtv87/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/hdtv75/index.m3u8
CCTV13新闻,http://live.hunantv.com/hd41/index.m3u8
CCTV14少儿,http://live.hunantv.com/cctv7hd/index.m3u8
CCTV15音乐,http://live.hunantv.com/live553/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hd49/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/hdtv39/index.m3u8
湖南卫视,rtp://239.254.97.25:9000
浙江卫视,rtp://225.1.4.82:5140
江苏卫视,rtp://225.1.4.165:8080
东方卫视,rtp://225.1.4.54:9901
北京卫视,rtp://225.1.4.189:9000
广东卫视,rtp://239.254.97.97:8080
深圳卫视,http://cctv1.live.cctv.cn/cctv17hd/index.m3u8
山东卫视,http://live.hunantv.com/live960/index.m3u8
天津卫视,rtp://239.254.97.35:9000
辽宁卫视,http://live.cctv.cn/hdtv5/index.m3u8
黑龙江卫视,rtp://239.252.220.142:8080
安徽卫视,rtp://225.1.4.184:1234
河北卫视,http://live.gdtv.cn/hd21/index.m3u8
河南卫视,rtp://225.1.4.119:8080
湖北卫视,rtp://225.1.4.165:9901
江西卫视,rtp://239.252.220.20:5140
福建卫视,rtp://239.254.97.137:9000
四川卫视,rtp://225.1.4.105:9000
重庆卫视,rtp://239.254.97.169:9000
贵州卫视,rtp://225.1.4.89:9000
云南卫视,rtp://225.1.4.17:8000
广西卫视,rtp://239.252.220.144:5140
海南卫视,http://cctv13.live.cctv.cn/live439/index.m3u8
山西卫视,rtp://239.254.97.179:9000
陕西卫视,rtp://239.254.97.65:9901
甘肃卫视,rtp://239.254.97.62:9000
青海卫视,rtp://239.254.97.5:5140
宁夏卫视,rtp://239.252.220.225:8080
新疆卫视,rtp://239.252.220.92:8080
西藏卫视,rtp://225.1.4.46:9000
内蒙古卫视,rtp://239.252.220.77:9001
吉林卫视,rtp://239.252.220.130:8000
宁夏新闻,rtp://239.254.97.112:9901
宁夏都市,rtp://239.252.220.208:8080
宁夏影视,rtp://239.254.97.247:5140
宁夏生活,rtp://225.1.4.217:5140
宁夏经济,http://live.cctv.cn/hdtv30/index.m3u8
宁夏科教,http://live.gdtv.cn/hd38/index.m3u8
宁夏体育,rtp://239.252.220.159:5140
宁夏公共,rtp://239.254.97.105:8080
CCTV1 4K,http://live.hunantv.com/cctv6hd/index.m3u8
CCTV4K,http://live.hunantv.com/hd33/index.m3u8
北京纪实4K,http://live.gdtv.cn/hd21/index.m3u8
上海纪实4K,http://live.cctv.cn/hdtv64/index.m3u8
广东4K,http://live.gdtv.cn/live460/index.m3u8
咪咕体育4K,http://live.cctv.cn/cctv17hd/index.m3u8
咪咕直播4K,http://live.hunantv.com/cctv3hd/index.m3u8
纯享4K,http://live.gdtv.cn/hdtv29/index.m3u8
爱上4K,http://live.cctv.cn/cctv6hd/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/hd37/index.m3u8
CCTV5体育,http://live.cctv.cn/hd22/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hdtv95/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/live589/index.m3u8
五星体育,rtp://239.252.220.167:1234
广东体育,rtp://239.254.97.245:5140
北京体育,rtp://239.254.97.177:5140
劲爆体育,rtp://225.1.4.151:1234
魅力足球,rtp://225.1.4.164:9000
CCTV6电影,http://cctv1.live.cctv.cn/hd5/index.m3u8
上海电影,http://live.gdtv.cn/hdtv45/index.m3u8
广东电影,rtp://239.252.220.127:5140
峨眉电影,rtp://225.1.4.237:9000
CHC高清电影,http://live.cctv.cn/live920/index.m3u8
CHC动作电影,http://live.cctv.cn/hd37/index.m3u8
CHC家庭影院,rtp://225.1.4.147:8000
都市剧场,rtp://225.1.4.198:8080
CCTV少儿,http://cctv1.live.cctv.cn/cctv7hd/index.m3u8
金鹰卡通,http://cctv1.live.cctv.cn/live961/index.m3u8
嘉佳卡通,rtp://239.254.97.14:9901
优漫卡通,rtp://239.254.97.167:5140
炫动卡通,rtp://239.252.220.38:9001
卡酷少儿,http://live.cctv.cn/live639/index.m3u8
CCTV新闻,http://cctv13.live.cctv.cn/hdtv55/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
中国教育1台,rtp://239.254.97.172:1234
中国教育2台,rtp://225.1.4.213:5140
凤凰中文,rtp://239.252.220.144:9001
凤凰资讯,http://cctv13.live.cctv.cn/live150/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/hdtv39/index.m3u8
梨园频道,rtp://239.252.220.243:8000
文物宝库,http://live.gdtv.cn/cctv17hd/index.m3u8
国学频道,rtp://225.1.4.173:8080
秦腔频道,rtp://225.1.4.240:8000
陕西秦腔,http://live.hunantv.com/hdtv75/index.m3u8
甘肃秦腔,rtp://239.254.97.52:9000
宁夏秦腔,rtp://239.252.220.8:9001
宁夏秦腔,rtp://239.252.220.66:5140
银川秦腔,rtp://239.252.220.102:8000
石嘴山秦腔,rtp://225.1.4.13:9001
吴忠秦腔,rtp://239.252.220.209:9000
固原秦腔,rtp://239.252.220.136:9001
中卫秦腔,http://cctv13.live.cctv.cn/live551/index.m3u8
