# 宁夏回族自治区 秦腔专场直播源
# 🎭 弘扬秦腔文化，传承西北艺术
# 生成时间: 2025-06-21 14:02:34
# 频道数量: 79 个
# 覆盖城市: 银川, 石嘴山, 吴忠, 固原, 中卫
# 格式: 频道名,直播地址
# 说明: 秦腔是西北地区最具代表性的地方戏曲
陕西秦腔,rtp://239.49.9.20:4120
甘肃秦腔,rtp://239.49.8.236:8000
宁夏秦腔,http://stream.xiqu.tv/live711/playlist.m3u8
青海秦腔,rtp://239.93.9.68:8000
新疆秦腔,rtp://239.50.8.200:8080
西北秦腔,rtp://239.61.9.172:8080
秦腔名家,rtp://239.93.8.174:8080
秦腔经典,rtp://239.49.9.40:9001
秦腔大全,rtp://239.93.8.186:9000
秦腔精品,rtp://239.49.8.191:8080
西安秦腔台,rtp://239.50.8.216:8000
宝鸡秦腔台,http://xiqu.nxtv.com.cn/live192/playlist.m3u8
咸阳秦腔台,rtp://239.61.9.61:8080
渭南秦腔台,http://xiqu.nxtv.com.cn/xiqu34/playlist.m3u8
兰州秦腔台,rtp://239.49.8.41:9000
天水秦腔台,rtp://239.61.9.237:8000
平凉秦腔台,rtp://239.93.8.110:5140
庆阳秦腔台,rtp://239.93.9.171:9000
银川秦腔台,http://xiqu.nxtv.com.cn/live318/playlist.m3u8
石嘴山秦腔台,rtp://239.93.8.93:9001
吴忠秦腔台,rtp://239.93.9.124:5140
固原秦腔台,rtp://239.93.8.228:8000
西宁秦腔台,rtp://239.49.9.177:4120
海东秦腔台,http://xiqu.nxtv.com.cn/opera30/playlist.m3u8
乌鲁木齐秦腔台,rtp://239.50.8.171:8080
伊犁秦腔台,rtp://239.93.9.103:5140
秦腔名段,rtp://239.61.9.209:8000
秦腔全本,http://xiqu.nxtv.com.cn/opera18/playlist.m3u8
秦腔教学,rtp://239.50.8.33:9000
秦腔赏析,rtp://239.50.8.72:4120
秦腔历史,rtp://239.61.8.137:9001
秦腔文化,http://live.qinqiang.cn/opera8/playlist.m3u8
秦腔传承,http://qinqiang.sxbc.cn/xiqu33/playlist.m3u8
秦腔创新,rtp://239.50.9.133:8000
秦腔名角,rtp://239.50.8.151:8080
秦腔流派,rtp://239.50.8.245:9001
秦腔伴奏,rtp://239.93.8.42:9001
秦腔器乐,rtp://239.50.9.36:9001
现代秦腔,rtp://239.49.8.140:9000
秦腔新编,http://xiqu.nxtv.com.cn/opera16/playlist.m3u8
秦腔青年,rtp://239.93.9.100:4120
秦腔少儿,rtp://239.49.8.88:5140
秦腔比赛,rtp://239.93.9.225:9001
秦腔节庆,rtp://239.93.9.72:5140
秦腔展演,rtp://239.61.9.200:5140
秦腔巡演,rtp://239.61.9.23:4120
西北戏曲,rtp://239.61.9.178:9001
陕北说书,rtp://239.49.8.71:9000
陕北民歌,http://xiqu.nxtv.com.cn/qinqiang19/playlist.m3u8
花儿民歌,rtp://239.93.9.156:4120
信天游,http://live.qinqiang.cn/opera17/playlist.m3u8
秦川小调,rtp://239.50.8.87:9000
关中民歌,http://live.qinqiang.cn/qinqiang18/playlist.m3u8
陇原花儿,rtp://239.50.9.185:8000
三滴血,rtp://239.49.8.13:9001
火焰驹,rtp://239.49.8.184:8080
铡美案,rtp://239.93.8.233:5140
下河东,rtp://239.93.8.175:5140
春秋笔,http://live.qinqiang.cn/opera13/playlist.m3u8
辕门斩子,http://opera.xjbs.com.cn/qinqiang2/playlist.m3u8
斩黄袍,http://live.qinqiang.cn/live846/playlist.m3u8
杨门女将,rtp://239.49.9.202:8000
穆桂英挂帅,rtp://239.50.8.34:8080
梁山伯与祝英台,rtp://239.49.8.85:8000
窦娥冤,http://live.qinqiang.cn/qinqiang68/playlist.m3u8
赵氏孤儿,rtp://239.93.8.189:5140
长坂坡,rtp://239.93.9.39:9001
空城计,rtp://239.50.9.132:4120
借东风,rtp://239.49.8.129:9001
血泪仇,rtp://239.49.8.157:9000
梁秋燕,http://stream.xiqu.tv/opera2/playlist.m3u8
红灯记,http://live.qinqiang.cn/qinqiang88/playlist.m3u8
沙家浜,rtp://239.61.8.229:8000
智取威虎山,http://live.qinqiang.cn/xiqu32/playlist.m3u8
银川秦腔台,rtp://239.61.8.125:8000
石嘴山秦腔台,rtp://239.61.8.246:5140
吴忠秦腔台,rtp://239.93.9.198:8080
固原秦腔台,rtp://239.93.9.83:5140
中卫秦腔台,rtp://239.49.9.240:9000
