# 宁夏回族自治区 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 110
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live460/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hdtv7/index.m3u8
CCTV3综艺,http://live.gdtv.cn/cctv13hd/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/cctv17hd/index.m3u8
CCTV5体育,http://live.gdtv.cn/cctv13hd/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hdtv68/index.m3u8
CCTV6电影,http://live.cctv.cn/cctv14hd/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/live769/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hd19/index.m3u8
CCTV9纪录,http://live.cctv.cn/hdtv76/index.m3u8
CCTV10科教,http://live.cctv.cn/hd20/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hd49/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/live430/index.m3u8
CCTV13新闻,http://live.gdtv.cn/hdtv87/index.m3u8
CCTV14少儿,http://live.hunantv.com/cctv11hd/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/hdtv2/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/cctv13hd/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/cctv15hd/index.m3u8
湖南卫视,http://cctv1.live.cctv.cn/hdtv39/index.m3u8
浙江卫视,rtp://225.1.4.249:9901
江苏卫视,rtp://239.254.97.139:8080
东方卫视,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
北京卫视,rtp://239.254.97.173:8000
广东卫视,rtp://239.254.97.215:5140
深圳卫视,rtp://239.254.97.20:8080
山东卫视,rtp://239.252.220.166:9001
天津卫视,rtp://239.254.97.111:9901
辽宁卫视,rtp://239.254.97.64:8000
黑龙江卫视,rtp://225.1.4.231:8080
安徽卫视,http://live.cctv.cn/hdtv63/index.m3u8
河北卫视,http://live.hunantv.com/hdtv79/index.m3u8
河南卫视,rtp://239.254.97.163:9901
湖北卫视,rtp://239.254.97.208:9901
江西卫视,http://cctv13.live.cctv.cn/live400/index.m3u8
福建卫视,rtp://239.254.97.83:8000
四川卫视,rtp://239.254.97.136:5140
重庆卫视,rtp://239.254.97.83:9001
贵州卫视,http://cctv13.live.cctv.cn/live635/index.m3u8
云南卫视,rtp://239.252.220.211:5140
广西卫视,rtp://239.254.97.35:9901
海南卫视,rtp://225.1.4.190:8000
山西卫视,rtp://239.254.97.120:9901
陕西卫视,rtp://239.254.97.239:9901
甘肃卫视,rtp://239.252.220.252:9001
青海卫视,rtp://225.1.4.226:9901
宁夏卫视,rtp://239.252.220.104:9901
新疆卫视,rtp://239.254.97.173:9001
西藏卫视,rtp://225.1.4.196:5140
内蒙古卫视,rtp://239.252.220.41:9001
吉林卫视,rtp://225.1.4.183:1234
宁夏新闻,http://live.gdtv.cn/hdtv44/index.m3u8
