# 宁夏回族自治区 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 110
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live678/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hdtv59/index.m3u8
CCTV3综艺,http://live.hunantv.com/live355/index.m3u8
CCTV4中文国际,http://live.cctv.cn/live948/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd32/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/live346/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/hdtv59/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hd27/index.m3u8
CCTV9纪录,http://live.gdtv.cn/hdtv59/index.m3u8
CCTV10科教,http://live.hunantv.com/hd6/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/hdtv82/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hd23/index.m3u8
CCTV13新闻,http://live.hunantv.com/cctv11hd/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hdtv60/index.m3u8
CCTV15音乐,http://live.hunantv.com/cctv5hd/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/cctv10hd/index.m3u8
CCTV17农业农村,http://live.hunantv.com/live254/index.m3u8
湖南卫视,rtp://225.1.4.187:8080
浙江卫视,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
江苏卫视,http://live.hunantv.com/live484/index.m3u8
东方卫视,rtp://239.252.220.178:9901
北京卫视,rtp://239.252.220.157:5140
广东卫视,http://cctv13.live.cctv.cn/hdtv70/index.m3u8
深圳卫视,rtp://239.252.220.146:9001
山东卫视,http://cctv13.live.cctv.cn/live506/index.m3u8
天津卫视,rtp://239.252.220.10:8000
辽宁卫视,rtp://239.252.220.16:9000
黑龙江卫视,rtp://239.254.97.90:5140
安徽卫视,http://cctv13.live.cctv.cn/live546/index.m3u8
河北卫视,rtp://225.1.4.147:9901
河南卫视,rtp://225.1.4.122:8000
湖北卫视,rtp://239.252.220.190:8080
江西卫视,rtp://239.252.220.217:8000
福建卫视,http://cctv13.live.cctv.cn/hdtv86/index.m3u8
四川卫视,rtp://225.1.4.85:8000
重庆卫视,rtp://239.254.97.232:1234
贵州卫视,rtp://239.254.97.158:1234
云南卫视,rtp://225.1.4.214:8080
广西卫视,rtp://239.252.220.242:9000
海南卫视,rtp://239.252.220.72:5140
山西卫视,rtp://239.252.220.71:9901
陕西卫视,rtp://239.252.220.39:8080
甘肃卫视,rtp://239.252.220.57:9001
青海卫视,http://live.cctv.cn/hd33/index.m3u8
宁夏卫视,rtp://239.252.220.53:1234
新疆卫视,rtp://225.1.4.241:5140
西藏卫视,http://live.hunantv.com/live242/index.m3u8
内蒙古卫视,rtp://239.254.97.223:5140
吉林卫视,http://live.cctv.cn/live547/index.m3u8
宁夏新闻,http://cctv1.live.cctv.cn/hdtv37/index.m3u8
宁夏都市,http://live.gdtv.cn/cctv15hd/index.m3u8
宁夏影视,rtp://225.1.4.78:9001
宁夏生活,rtp://239.252.220.83:5140
宁夏经济,http://live.gdtv.cn/hd27/index.m3u8
宁夏科教,rtp://239.252.220.43:1234
宁夏体育,rtp://239.252.220.227:9901
宁夏公共,rtp://225.1.4.177:5140
CCTV1 4K,http://live.cctv.cn/cctv16hd/index.m3u8
CCTV4K,http://live.hunantv.com/hdtv36/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/hdtv75/index.m3u8
广东4K,http://cctv13.live.cctv.cn/hd50/index.m3u8
咪咕体育4K,http://live.hunantv.com/live247/index.m3u8
咪咕直播4K,http://live.hunantv.com/cctv9hd/index.m3u8
纯享4K,http://live.gdtv.cn/hd17/index.m3u8
爱上4K,http://live.gdtv.cn/live166/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hd43/index.m3u8
CCTV5体育,http://live.hunantv.com/live302/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hdtv80/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hd4/index.m3u8
五星体育,http://live.hunantv.com/hd30/index.m3u8
广东体育,rtp://239.254.97.216:8000
北京体育,rtp://225.1.4.47:5140
劲爆体育,rtp://239.252.220.214:8000
魅力足球,rtp://239.254.97.233:8080
CCTV6电影,http://live.hunantv.com/cctv6hd/index.m3u8
上海电影,rtp://239.252.220.173:9901
广东电影,rtp://239.254.97.151:9000
峨眉电影,rtp://225.1.4.116:9901
CHC高清电影,http://live.hunantv.com/cctv8hd/index.m3u8
CHC动作电影,rtp://239.254.97.95:8000
CHC家庭影院,rtp://239.254.97.50:9901
都市剧场,rtp://239.252.220.85:8000
CCTV少儿,http://cctv1.live.cctv.cn/live407/index.m3u8
金鹰卡通,http://live.gdtv.cn/live998/index.m3u8
嘉佳卡通,rtp://239.254.97.9:9000
优漫卡通,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
炫动卡通,rtp://239.254.97.236:9000
卡酷少儿,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
CCTV新闻,http://live.gdtv.cn/live648/index.m3u8
CCTV13,http://live.hunantv.com/cctv12hd/index.m3u8
中国教育1台,rtp://239.252.220.34:8080
中国教育2台,rtp://239.254.97.163:8080
凤凰中文,rtp://239.254.97.107:5140
凤凰资讯,http://live.gdtv.cn/live242/index.m3u8
CCTV11戏曲,http://live.cctv.cn/cctv15hd/index.m3u8
梨园频道,rtp://239.252.220.196:9001
文物宝库,rtp://225.1.4.253:8000
国学频道,rtp://239.252.220.13:9001
秦腔频道,rtp://239.254.97.31:5140
陕西秦腔,rtp://239.252.220.20:9001
甘肃秦腔,rtp://239.252.220.17:5140
宁夏秦腔,rtp://239.254.97.229:9901
宁夏秦腔,rtp://225.1.4.147:9901
银川秦腔,rtp://239.254.97.235:5140
石嘴山秦腔,rtp://239.254.97.140:8000
吴忠秦腔,rtp://239.254.97.52:9001
固原秦腔,rtp://225.1.4.231:8080
中卫秦腔,http://live.hunantv.com/cctv12hd/index.m3u8
