# 安徽省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 124
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/hd18/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hdtv68/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/hdtv84/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/cctv15hd/index.m3u8
CCTV5体育,http://live.cctv.cn/cctv14hd/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
CCTV6电影,http://live.gdtv.cn/live624/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hd50/index.m3u8
CCTV8电视剧,http://live.hunantv.com/cctv1hd/index.m3u8
CCTV9纪录,http://live.gdtv.cn/live726/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/cctv3hd/index.m3u8
CCTV12社会与法,http://live.hunantv.com/cctv14hd/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hdtv71/index.m3u8
CCTV15音乐,http://live.hunantv.com/cctv4hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hdtv80/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/live632/index.m3u8
湖南卫视,http://cctv13.live.cctv.cn/cctv16hd/index.m3u8
浙江卫视,rtp://225.1.4.170:1234
江苏卫视,rtp://239.77.1.252:8000
东方卫视,rtp://239.252.220.252:8000
北京卫视,http://live.gdtv.cn/hdtv80/index.m3u8
广东卫视,http://live.cctv.cn/live810/index.m3u8
深圳卫视,rtp://239.77.1.254:9901
山东卫视,rtp://239.252.220.218:8000
天津卫视,rtp://239.252.220.195:8080
辽宁卫视,http://live.hunantv.com/hd44/index.m3u8
黑龙江卫视,rtp://225.1.4.95:1234
安徽卫视,rtp://239.77.1.105:1234
河北卫视,http://live.cctv.cn/hd42/index.m3u8
河南卫视,rtp://239.77.1.59:1234
湖北卫视,rtp://239.252.220.204:8080
江西卫视,rtp://239.252.220.114:9901
福建卫视,rtp://239.77.1.40:9000
四川卫视,rtp://239.252.220.209:8000
重庆卫视,rtp://239.252.220.22:5140
贵州卫视,rtp://225.1.4.155:9901
云南卫视,rtp://239.77.1.248:9000
广西卫视,rtp://239.77.1.53:9001
海南卫视,rtp://239.252.220.135:1234
山西卫视,rtp://225.1.4.130:9000
陕西卫视,rtp://225.1.4.75:8080
甘肃卫视,rtp://239.252.220.201:8080
青海卫视,http://live.gdtv.cn/hd12/index.m3u8
宁夏卫视,http://live.gdtv.cn/hd31/index.m3u8
新疆卫视,rtp://239.252.220.83:8000
西藏卫视,rtp://239.77.1.99:1234
内蒙古卫视,rtp://239.77.1.74:9001
吉林卫视,rtp://239.77.1.64:8080
安徽新闻,rtp://225.1.4.159:9000
安徽都市,rtp://239.77.1.177:8000
安徽影视,rtp://225.1.4.177:9000
安徽生活,rtp://239.252.220.130:9001
安徽经济,http://cctv13.live.cctv.cn/hdtv1/index.m3u8
安徽科教,rtp://239.77.1.157:8000
安徽体育,rtp://239.77.1.158:9000
安徽公共,http://live.hunantv.com/cctv13hd/index.m3u8
CCTV1 4K,http://cctv1.live.cctv.cn/live575/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/hd28/index.m3u8
北京纪实4K,http://live.gdtv.cn/cctv13hd/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/hd15/index.m3u8
广东4K,http://live.cctv.cn/cctv7hd/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/live320/index.m3u8
咪咕直播4K,http://live.cctv.cn/hd30/index.m3u8
纯享4K,http://live.gdtv.cn/cctv16hd/index.m3u8
爱上4K,http://live.cctv.cn/cctv3hd/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/hd23/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hd39/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/live454/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd11/index.m3u8
五星体育,rtp://239.252.220.28:9001
广东体育,http://live.cctv.cn/hd18/index.m3u8
北京体育,rtp://239.252.220.12:5140
劲爆体育,rtp://225.1.4.140:1234
魅力足球,rtp://225.1.4.46:9901
CCTV6电影,http://live.gdtv.cn/live103/index.m3u8
上海电影,rtp://239.77.1.174:5140
广东电影,rtp://239.77.1.107:9001
峨眉电影,rtp://239.77.1.142:9901
CHC高清电影,http://live.hunantv.com/cctv1hd/index.m3u8
CHC动作电影,http://cctv13.live.cctv.cn/live776/index.m3u8
CHC家庭影院,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
都市剧场,rtp://239.252.220.138:8000
CCTV少儿,http://live.cctv.cn/live648/index.m3u8
金鹰卡通,rtp://239.252.220.194:9001
