# 安徽省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 108
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/live974/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
CCTV3综艺,http://live.hunantv.com/cctv3hd/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/live323/index.m3u8
CCTV5体育,http://live.hunantv.com/hd21/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/live246/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/hdtv97/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hd16/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/live908/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
CCTV10科教,http://live.cctv.cn/live146/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/hd41/index.m3u8
CCTV13新闻,http://live.hunantv.com/hdtv44/index.m3u8
CCTV14少儿,http://live.hunantv.com/live291/index.m3u8
CCTV15音乐,http://live.hunantv.com/cctv8hd/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/live271/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/hdtv49/index.m3u8
湖南卫视,rtp://239.77.1.93:9000
浙江卫视,rtp://225.1.4.96:5140
江苏卫视,rtp://239.252.220.240:9901
东方卫视,rtp://225.1.4.58:9901
北京卫视,rtp://225.1.4.91:8000
广东卫视,http://cctv13.live.cctv.cn/cctv11hd/index.m3u8
深圳卫视,rtp://239.77.1.168:8000
山东卫视,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
天津卫视,http://cctv1.live.cctv.cn/hd33/index.m3u8
辽宁卫视,rtp://239.252.220.129:9901
黑龙江卫视,rtp://239.252.220.83:9000
安徽卫视,rtp://239.252.220.38:8080
河北卫视,rtp://225.1.4.101:9901
河南卫视,rtp://239.77.1.37:8080
湖北卫视,rtp://239.252.220.92:9001
江西卫视,rtp://225.1.4.144:5140
福建卫视,http://live.gdtv.cn/hd24/index.m3u8
四川卫视,rtp://239.77.1.45:9001
重庆卫视,rtp://225.1.4.195:8080
贵州卫视,rtp://239.77.1.155:8000
云南卫视,rtp://225.1.4.54:8000
广西卫视,rtp://239.77.1.192:8000
海南卫视,rtp://239.77.1.105:9901
山西卫视,rtp://239.252.220.122:5140
陕西卫视,http://live.gdtv.cn/cctv12hd/index.m3u8
甘肃卫视,rtp://239.77.1.86:9000
青海卫视,rtp://239.252.220.86:8080
宁夏卫视,http://live.gdtv.cn/hdtv21/index.m3u8
新疆卫视,rtp://239.252.220.25:9901
西藏卫视,rtp://239.77.1.173:8000
内蒙古卫视,http://live.gdtv.cn/hd11/index.m3u8
吉林卫视,rtp://239.252.220.43:5140
安徽新闻,http://cctv13.live.cctv.cn/live536/index.m3u8
安徽都市,http://live.gdtv.cn/cctv13hd/index.m3u8
安徽影视,rtp://239.252.220.163:8080
安徽生活,rtp://225.1.4.218:8080
安徽经济,rtp://239.77.1.180:9001
安徽科教,http://live.cctv.cn/hd27/index.m3u8
安徽体育,rtp://239.252.220.234:9001
安徽公共,http://live.gdtv.cn/cctv17hd/index.m3u8
CCTV1 4K,http://live.hunantv.com/hd20/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/live263/index.m3u8
北京纪实4K,http://live.hunantv.com/live646/index.m3u8
上海纪实4K,http://live.cctv.cn/cctv4hd/index.m3u8
广东4K,http://live.hunantv.com/hd48/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/cctv17hd/index.m3u8
咪咕直播4K,http://live.gdtv.cn/hdtv58/index.m3u8
纯享4K,http://live.cctv.cn/cctv13hd/index.m3u8
爱上4K,http://live.gdtv.cn/hdtv43/index.m3u8
欢笑剧场4K,http://live.cctv.cn/hdtv86/index.m3u8
CCTV5体育,http://live.gdtv.cn/hdtv84/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hdtv3/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/cctv8hd/index.m3u8
五星体育,rtp://225.1.4.73:9901
广东体育,rtp://225.1.4.215:8000
北京体育,rtp://225.1.4.58:5140
