# 安徽省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 108
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/live293/index.m3u8
CCTV2财经,http://live.gdtv.cn/live210/index.m3u8
CCTV3综艺,http://live.hunantv.com/cctv4hd/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/hd50/index.m3u8
CCTV5体育,http://live.hunantv.com/live340/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/live973/index.m3u8
CCTV6电影,http://live.cctv.cn/hdtv69/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hd2/index.m3u8
CCTV9纪录,http://live.gdtv.cn/cctv9hd/index.m3u8
CCTV10科教,http://live.hunantv.com/hdtv41/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/hd17/index.m3u8
CCTV12社会与法,http://live.hunantv.com/hdtv75/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/live342/index.m3u8
CCTV15音乐,http://live.gdtv.cn/live359/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/live791/index.m3u8
CCTV17农业农村,http://live.cctv.cn/cctv6hd/index.m3u8
湖南卫视,rtp://239.77.1.10:9001
浙江卫视,rtp://225.1.4.5:9901
江苏卫视,rtp://239.252.220.91:1234
东方卫视,rtp://225.1.4.250:8000
北京卫视,rtp://239.77.1.201:8080
广东卫视,rtp://239.252.220.137:5140
深圳卫视,rtp://239.77.1.19:5140
山东卫视,rtp://239.77.1.244:9901
天津卫视,rtp://225.1.4.48:8000
辽宁卫视,rtp://225.1.4.37:9901
黑龙江卫视,rtp://239.77.1.245:8080
安徽卫视,rtp://239.252.220.241:5140
河北卫视,rtp://239.252.220.242:1234
河南卫视,http://cctv1.live.cctv.cn/hd11/index.m3u8
湖北卫视,rtp://239.77.1.251:8080
江西卫视,rtp://239.77.1.50:1234
福建卫视,http://live.hunantv.com/hdtv22/index.m3u8
四川卫视,rtp://239.252.220.201:8080
重庆卫视,rtp://239.77.1.182:9001
贵州卫视,rtp://239.252.220.254:9001
云南卫视,rtp://239.252.220.106:5140
广西卫视,rtp://239.77.1.118:5140
海南卫视,rtp://239.252.220.69:9001
山西卫视,rtp://225.1.4.237:1234
陕西卫视,rtp://239.77.1.192:1234
甘肃卫视,http://live.cctv.cn/hd17/index.m3u8
青海卫视,http://live.gdtv.cn/cctv12hd/index.m3u8
宁夏卫视,rtp://225.1.4.197:5140
新疆卫视,rtp://225.1.4.220:9901
西藏卫视,rtp://239.77.1.228:8080
内蒙古卫视,http://live.hunantv.com/hdtv29/index.m3u8
吉林卫视,rtp://239.77.1.224:9901
安徽新闻,http://live.cctv.cn/cctv1hd/index.m3u8
安徽都市,rtp://239.77.1.126:1234
安徽影视,rtp://239.252.220.216:9000
安徽生活,rtp://239.77.1.170:1234
安徽经济,http://cctv13.live.cctv.cn/hd31/index.m3u8
安徽科教,http://cctv1.live.cctv.cn/hdtv57/index.m3u8
安徽体育,rtp://225.1.4.40:9000
安徽公共,http://live.gdtv.cn/cctv5hd/index.m3u8
CCTV1 4K,http://cctv1.live.cctv.cn/cctv13hd/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/hd9/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/hdtv9/index.m3u8
上海纪实4K,http://live.gdtv.cn/hd27/index.m3u8
广东4K,http://live.gdtv.cn/live443/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/hd29/index.m3u8
咪咕直播4K,http://live.gdtv.cn/live533/index.m3u8
纯享4K,http://live.hunantv.com/hdtv68/index.m3u8
爱上4K,http://live.cctv.cn/cctv2hd/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hdtv81/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hdtv85/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hdtv28/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv16hd/index.m3u8
五星体育,rtp://239.77.1.66:9901
广东体育,rtp://239.252.220.207:8000
北京体育,rtp://225.1.4.204:8080
劲爆体育,rtp://239.252.220.13:9001
魅力足球,rtp://225.1.4.48:8080
CCTV6电影,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
上海电影,rtp://239.77.1.60:9001
广东电影,rtp://239.252.220.44:9000
峨眉电影,rtp://239.252.220.90:9901
CHC高清电影,http://live.cctv.cn/hdtv5/index.m3u8
