# 安徽省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 108
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hd19/index.m3u8
CCTV2财经,http://live.gdtv.cn/live286/index.m3u8
CCTV3综艺,http://live.cctv.cn/hd50/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/cctv7hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd45/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv28/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hdtv87/index.m3u8
CCTV7国防军事,http://live.cctv.cn/live502/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hdtv7/index.m3u8
CCTV9纪录,http://live.hunantv.com/hd14/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/hdtv73/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/hd45/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/cctv11hd/index.m3u8
CCTV13新闻,http://live.hunantv.com/hdtv28/index.m3u8
CCTV14少儿,http://live.gdtv.cn/hd32/index.m3u8
CCTV15音乐,http://live.hunantv.com/cctv10hd/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv5hd/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/cctv10hd/index.m3u8
湖南卫视,http://live.hunantv.com/cctv2hd/index.m3u8
浙江卫视,rtp://225.1.4.247:5140
江苏卫视,rtp://239.252.220.54:9000
东方卫视,rtp://225.1.4.93:1234
北京卫视,rtp://239.77.1.185:8080
广东卫视,rtp://239.252.220.164:9001
深圳卫视,rtp://239.77.1.37:1234
山东卫视,rtp://239.252.220.59:9901
天津卫视,rtp://239.77.1.248:9901
辽宁卫视,http://cctv1.live.cctv.cn/live160/index.m3u8
黑龙江卫视,rtp://239.252.220.22:1234
安徽卫视,rtp://239.252.220.171:9001
河北卫视,rtp://225.1.4.99:9000
河南卫视,rtp://239.252.220.232:8080
湖北卫视,rtp://225.1.4.147:1234
江西卫视,rtp://239.77.1.160:9901
福建卫视,rtp://239.252.220.228:9000
四川卫视,rtp://239.77.1.233:9000
重庆卫视,rtp://225.1.4.177:9001
贵州卫视,rtp://225.1.4.18:9001
云南卫视,rtp://239.252.220.108:8000
广西卫视,rtp://225.1.4.30:9000
海南卫视,rtp://239.77.1.36:9000
山西卫视,rtp://225.1.4.209:9001
陕西卫视,rtp://225.1.4.197:9000
甘肃卫视,rtp://239.77.1.12:5140
青海卫视,rtp://239.252.220.69:1234
宁夏卫视,rtp://239.77.1.58:9000
新疆卫视,rtp://225.1.4.27:5140
西藏卫视,http://live.cctv.cn/hdtv81/index.m3u8
内蒙古卫视,rtp://225.1.4.54:1234
吉林卫视,rtp://225.1.4.205:1234
安徽新闻,rtp://225.1.4.98:1234
安徽都市,http://live.hunantv.com/hdtv18/index.m3u8
安徽影视,rtp://239.77.1.64:8000
安徽生活,rtp://225.1.4.217:9001
安徽经济,rtp://239.77.1.1:8080
安徽科教,rtp://239.77.1.235:9901
安徽体育,rtp://239.252.220.103:8000
安徽公共,rtp://225.1.4.192:1234
CCTV1 4K,http://live.gdtv.cn/hdtv61/index.m3u8
CCTV4K,http://live.cctv.cn/live562/index.m3u8
北京纪实4K,http://live.cctv.cn/cctv9hd/index.m3u8
上海纪实4K,http://live.gdtv.cn/cctv15hd/index.m3u8
