# 山东省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 131
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/hd23/index.m3u8
CCTV2财经,http://live.hunantv.com/hdtv29/index.m3u8
CCTV3综艺,http://live.hunantv.com/live941/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hdtv2/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/live193/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
CCTV6电影,http://live.hunantv.com/hd26/index.m3u8
CCTV7国防军事,http://live.cctv.cn/live608/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/live193/index.m3u8
CCTV9纪录,http://live.hunantv.com/hd10/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/live193/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/live173/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/hd1/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
CCTV15音乐,http://live.gdtv.cn/live744/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/live361/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hdtv50/index.m3u8
湖南卫视,rtp://239.253.93.236:8000
浙江卫视,rtp://239.21.0.108:8080
江苏卫视,rtp://239.21.0.22:5140
东方卫视,rtp://239.21.0.98:9901
北京卫视,rtp://239.21.0.74:8080
广东卫视,rtp://239.45.3.21:8000
深圳卫视,rtp://239.45.3.34:8080
山东卫视,rtp://239.21.0.194:9000
天津卫视,rtp://239.253.93.240:9000
辽宁卫视,rtp://239.21.0.132:5140
黑龙江卫视,rtp://239.45.3.47:8080
安徽卫视,http://live.gdtv.cn/live435/index.m3u8
河北卫视,rtp://239.45.3.210:8080
河南卫视,http://cctv1.live.cctv.cn/hdtv62/index.m3u8
湖北卫视,http://live.hunantv.com/cctv4hd/index.m3u8
江西卫视,rtp://239.45.3.107:9001
福建卫视,rtp://239.253.93.133:9000
四川卫视,http://cctv1.live.cctv.cn/live540/index.m3u8
重庆卫视,rtp://239.45.3.53:9901
贵州卫视,rtp://239.21.0.45:1234
云南卫视,http://live.hunantv.com/cctv14hd/index.m3u8
广西卫视,rtp://239.253.93.6:9000
海南卫视,rtp://239.21.0.90:9000
山西卫视,rtp://239.21.0.46:5140
陕西卫视,rtp://239.253.93.232:8080
甘肃卫视,rtp://239.253.93.193:1234
青海卫视,rtp://239.21.0.78:8080
宁夏卫视,rtp://239.253.93.59:1234
新疆卫视,rtp://239.45.3.248:9000
西藏卫视,rtp://239.253.93.1:1234
内蒙古卫视,rtp://239.45.3.143:9901
吉林卫视,rtp://239.21.0.235:9001
山东新闻,rtp://239.253.93.232:1234
山东都市,rtp://239.45.3.49:9901
山东影视,rtp://239.253.93.60:9000
山东生活,rtp://239.21.0.94:8000
山东经济,rtp://239.253.93.220:8000
山东科教,rtp://239.21.0.162:9001
山东体育,http://live.gdtv.cn/live274/index.m3u8
山东公共,rtp://239.253.93.65:5140
山东卫视,rtp://239.21.0.5:9000
齐鲁频道,rtp://239.253.93.209:9901
山东体育,rtp://239.45.3.17:8080
山东农科,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
山东生活,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
山东综艺,rtp://239.253.93.74:8080
山东新闻,rtp://239.45.3.183:9901
CCTV1 4K,http://live.gdtv.cn/live653/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/live120/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/hd39/index.m3u8
上海纪实4K,http://live.gdtv.cn/hdtv89/index.m3u8
广东4K,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
咪咕体育4K,http://live.cctv.cn/hd25/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/live635/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hd18/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/live652/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hdtv89/index.m3u8
CCTV5体育,http://live.gdtv.cn/hdtv9/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/live319/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/cctv11hd/index.m3u8
五星体育,rtp://239.45.3.183:9001
广东体育,rtp://239.45.3.35:5140
北京体育,rtp://239.21.0.54:5140
劲爆体育,rtp://239.21.0.233:8080
魅力足球,rtp://239.45.3.131:8080
CCTV6电影,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
上海电影,http://cctv13.live.cctv.cn/hdtv43/index.m3u8
广东电影,http://cctv1.live.cctv.cn/live741/index.m3u8
峨眉电影,rtp://239.45.3.37:5140
CHC高清电影,http://live.hunantv.com/cctv8hd/index.m3u8
CHC动作电影,rtp://239.253.93.203:1234
CHC家庭影院,rtp://239.253.93.5:9001
都市剧场,rtp://239.253.93.196:9001
CCTV少儿,http://cctv13.live.cctv.cn/cctv16hd/index.m3u8
金鹰卡通,http://live.cctv.cn/cctv6hd/index.m3u8
嘉佳卡通,http://live.gdtv.cn/hdtv99/index.m3u8
优漫卡通,http://cctv13.live.cctv.cn/hd34/index.m3u8
炫动卡通,rtp://239.21.0.206:9901
卡酷少儿,rtp://239.253.93.169:9001
CCTV新闻,http://live.hunantv.com/cctv9hd/index.m3u8
CCTV13,http://live.hunantv.com/cctv13hd/index.m3u8
中国教育1台,rtp://239.45.3.58:5140
中国教育2台,rtp://239.21.0.162:1234
凤凰中文,rtp://239.45.3.19:9001
凤凰资讯,rtp://239.45.3.240:8000
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv17hd/index.m3u8
梨园频道,rtp://239.253.93.111:5140
文物宝库,rtp://239.21.0.26:9001
国学频道,rtp://239.253.93.249:9000
秦腔频道,rtp://239.253.93.111:1234
陕西秦腔,rtp://239.21.0.108:9901
甘肃秦腔,rtp://239.21.0.137:1234
宁夏秦腔,http://live.hunantv.com/hd17/index.m3u8
山东吕剧,http://cctv1.live.cctv.cn/hd46/index.m3u8
济南吕剧,rtp://239.253.93.221:1234
青岛吕剧,rtp://239.45.3.80:9901
烟台吕剧,rtp://239.45.3.99:9001
中国广电4K,http://live.gdtv.cn/hdtv25/index.m3u8
广电精品,rtp://239.21.0.94:5140
广电影视,rtp://239.45.3.186:9901
广电纪实,rtp://239.45.3.209:5140
广电体育,rtp://239.45.3.42:5140
广电新闻,rtp://239.253.93.184:9901
广电综艺,rtp://239.253.93.42:9001
广电少儿,http://live.hunantv.com/live287/index.m3u8
广电音乐,rtp://239.253.93.228:9901
广电戏曲,rtp://239.253.93.23:9001
广电科教,rtp://239.45.3.121:5140
广电购物,rtp://239.45.3.177:9001
IPTV经典电影,rtp://239.253.93.29:9901
IPTV热播剧场,http://live.hunantv.com/hd12/index.m3u8
IPTV魅力时尚,rtp://239.21.0.30:5140
IPTV收视指南,rtp://239.253.93.184:9001
