# 山东省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/cctv4hd/index.m3u8
CCTV2财经,http://live.gdtv.cn/cctv10hd/index.m3u8
CCTV3综艺,http://live.gdtv.cn/cctv17hd/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/hd13/index.m3u8
CCTV5体育,http://live.cctv.cn/hd16/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/hdtv26/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hdtv86/index.m3u8
CCTV8电视剧,http://live.hunantv.com/cctv6hd/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/hdtv9/index.m3u8
CCTV10科教,http://live.gdtv.cn/cctv14hd/index.m3u8
CCTV11戏曲,http://live.cctv.cn/cctv15hd/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/hdtv37/index.m3u8
CCTV13新闻,http://live.hunantv.com/hd24/index.m3u8
CCTV14少儿,http://live.hunantv.com/hdtv2/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hdtv28/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/hd24/index.m3u8
湖南卫视,rtp://239.253.93.97:9901
浙江卫视,rtp://239.253.93.85:8000
江苏卫视,rtp://239.21.0.175:8080
东方卫视,rtp://239.45.3.90:9000
北京卫视,rtp://239.21.0.119:9001
广东卫视,rtp://239.253.93.58:9000
深圳卫视,http://live.cctv.cn/live712/index.m3u8
山东卫视,rtp://239.21.0.88:8000
天津卫视,rtp://239.45.3.138:5140
辽宁卫视,http://live.cctv.cn/cctv17hd/index.m3u8
黑龙江卫视,rtp://239.45.3.196:8000
安徽卫视,rtp://239.21.0.203:9901
河北卫视,rtp://239.45.3.120:1234
河南卫视,http://live.hunantv.com/live955/index.m3u8
湖北卫视,rtp://239.253.93.169:9001
江西卫视,http://live.gdtv.cn/hd29/index.m3u8
福建卫视,http://live.gdtv.cn/cctv11hd/index.m3u8
四川卫视,http://live.hunantv.com/cctv16hd/index.m3u8
重庆卫视,rtp://239.21.0.175:9901
贵州卫视,rtp://239.21.0.198:9000
云南卫视,http://cctv1.live.cctv.cn/hd12/index.m3u8
广西卫视,http://live.cctv.cn/hd22/index.m3u8
海南卫视,rtp://239.21.0.9:5140
山西卫视,rtp://239.21.0.173:9001
陕西卫视,rtp://239.253.93.176:5140
甘肃卫视,rtp://239.253.93.184:8080
青海卫视,rtp://239.45.3.251:8080
宁夏卫视,rtp://239.21.0.214:9001
新疆卫视,http://live.gdtv.cn/live990/index.m3u8
西藏卫视,http://live.cctv.cn/live411/index.m3u8
内蒙古卫视,rtp://239.45.3.22:1234
吉林卫视,rtp://239.21.0.166:5140
山东新闻,rtp://239.253.93.146:9901
山东都市,rtp://239.21.0.68:8080
山东影视,rtp://239.21.0.196:5140
山东生活,rtp://239.21.0.80:9901
山东经济,rtp://239.45.3.45:1234
山东科教,rtp://239.21.0.140:5140
山东体育,rtp://239.21.0.23:8000
山东公共,rtp://239.45.3.15:9001
山东卫视,rtp://239.253.93.8:1234
齐鲁频道,rtp://239.21.0.4:8000
山东体育,rtp://239.253.93.61:1234
山东农科,rtp://239.21.0.176:9001
山东生活,rtp://239.21.0.71:8080
山东综艺,rtp://239.21.0.247:5140
山东新闻,http://live.cctv.cn/live773/index.m3u8
CCTV1 4K,http://live.cctv.cn/cctv13hd/index.m3u8
CCTV4K,http://live.gdtv.cn/cctv10hd/index.m3u8
北京纪实4K,http://cctv13.live.cctv.cn/hd19/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/hd7/index.m3u8
广东4K,http://live.gdtv.cn/hd35/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/hd40/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/live842/index.m3u8
纯享4K,http://live.gdtv.cn/cctv14hd/index.m3u8
爱上4K,http://live.hunantv.com/live763/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/hd42/index.m3u8
CCTV5体育,http://live.gdtv.cn/live176/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv25/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/cctv15hd/index.m3u8
五星体育,rtp://239.21.0.224:8080
广东体育,rtp://239.21.0.50:8000
北京体育,rtp://239.45.3.190:8000
劲爆体育,rtp://239.253.93.8:9000
魅力足球,rtp://239.21.0.1:9901
CCTV6电影,http://live.cctv.cn/live307/index.m3u8
上海电影,http://live.cctv.cn/cctv6hd/index.m3u8
广东电影,http://cctv13.live.cctv.cn/live164/index.m3u8
峨眉电影,rtp://239.21.0.70:9000
CHC高清电影,http://live.cctv.cn/hdtv32/index.m3u8
CHC动作电影,http://live.gdtv.cn/live599/index.m3u8
CHC家庭影院,rtp://239.45.3.73:8080
都市剧场,rtp://239.253.93.113:1234
CCTV少儿,http://live.hunantv.com/hdtv57/index.m3u8
金鹰卡通,rtp://239.21.0.185:5140
嘉佳卡通,rtp://239.45.3.33:9000
优漫卡通,rtp://239.21.0.196:9001
炫动卡通,rtp://239.45.3.84:8080
卡酷少儿,rtp://239.253.93.211:9901
CCTV新闻,http://cctv1.live.cctv.cn/live504/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
中国教育1台,rtp://239.45.3.172:1234
中国教育2台,rtp://239.45.3.159:9901
凤凰中文,rtp://239.45.3.42:9901
凤凰资讯,rtp://239.253.93.108:9901
CCTV11戏曲,http://cctv1.live.cctv.cn/live809/index.m3u8
梨园频道,http://live.gdtv.cn/hd27/index.m3u8
文物宝库,rtp://239.45.3.252:8000
国学频道,rtp://239.21.0.137:1234
秦腔频道,rtp://239.45.3.246:8080
陕西秦腔,rtp://239.45.3.185:1234
甘肃秦腔,rtp://239.21.0.79:9001
宁夏秦腔,rtp://239.21.0.123:9901
山东吕剧,rtp://239.21.0.220:8080
济南吕剧,rtp://239.21.0.109:8080
青岛吕剧,rtp://239.45.3.205:5140
烟台吕剧,http://cctv1.live.cctv.cn/hd14/index.m3u8
