# 山东省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hd37/index.m3u8
CCTV2财经,http://live.gdtv.cn/cctv8hd/index.m3u8
CCTV3综艺,http://live.gdtv.cn/live215/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/cctv6hd/index.m3u8
CCTV5体育,http://live.hunantv.com/hdtv19/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/live763/index.m3u8
CCTV6电影,http://live.gdtv.cn/hdtv43/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/hd44/index.m3u8
CCTV8电视剧,http://live.cctv.cn/cctv12hd/index.m3u8
CCTV9纪录,http://live.cctv.cn/hdtv31/index.m3u8
CCTV10科教,http://live.cctv.cn/hd1/index.m3u8
CCTV11戏曲,http://live.hunantv.com/cctv12hd/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/cctv13hd/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/live827/index.m3u8
CCTV14少儿,http://live.hunantv.com/hd12/index.m3u8
CCTV15音乐,http://live.cctv.cn/live366/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hdtv95/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/hd14/index.m3u8
湖南卫视,rtp://239.253.93.240:1234
浙江卫视,http://live.hunantv.com/live636/index.m3u8
江苏卫视,rtp://239.45.3.164:8000
东方卫视,rtp://239.45.3.18:1234
北京卫视,rtp://239.45.3.157:9001
广东卫视,http://cctv1.live.cctv.cn/hd43/index.m3u8
深圳卫视,rtp://239.21.0.230:1234
山东卫视,rtp://239.45.3.52:5140
天津卫视,rtp://239.21.0.195:9901
辽宁卫视,rtp://239.21.0.233:8000
黑龙江卫视,http://cctv1.live.cctv.cn/hdtv9/index.m3u8
安徽卫视,rtp://239.21.0.240:9001
河北卫视,rtp://239.21.0.176:9000
河南卫视,rtp://239.45.3.4:8000
湖北卫视,rtp://239.45.3.143:9901
江西卫视,rtp://239.45.3.89:9001
福建卫视,http://live.gdtv.cn/live958/index.m3u8
四川卫视,rtp://239.45.3.216:5140
重庆卫视,rtp://239.21.0.135:9001
贵州卫视,rtp://239.45.3.137:9901
云南卫视,rtp://239.45.3.201:9901
广西卫视,http://cctv1.live.cctv.cn/hd50/index.m3u8
海南卫视,rtp://239.21.0.77:9001
山西卫视,rtp://239.21.0.55:5140
陕西卫视,rtp://239.21.0.217:1234
甘肃卫视,rtp://239.21.0.209:8000
青海卫视,rtp://239.253.93.119:8080
宁夏卫视,rtp://239.21.0.214:8080
新疆卫视,rtp://239.21.0.19:9001
西藏卫视,rtp://239.253.93.3:9001
内蒙古卫视,http://live.hunantv.com/hdtv90/index.m3u8
吉林卫视,http://live.gdtv.cn/live199/index.m3u8
山东新闻,http://cctv13.live.cctv.cn/hd20/index.m3u8
山东都市,rtp://239.253.93.97:8000
山东影视,rtp://239.253.93.94:9901
山东生活,rtp://239.45.3.73:8080
山东经济,rtp://239.45.3.7:9001
山东科教,rtp://239.21.0.64:9000
山东体育,rtp://239.45.3.5:5140
山东公共,rtp://239.45.3.68:1234
山东卫视,rtp://239.253.93.81:8080
齐鲁频道,http://live.gdtv.cn/hdtv15/index.m3u8
山东体育,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
山东农科,rtp://239.21.0.16:9000
山东生活,rtp://239.21.0.156:9001
山东综艺,rtp://239.253.93.90:9000
山东新闻,rtp://239.253.93.86:8000
CCTV1 4K,http://cctv1.live.cctv.cn/live933/index.m3u8
CCTV4K,http://live.hunantv.com/live908/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/hdtv99/index.m3u8
上海纪实4K,http://live.hunantv.com/live575/index.m3u8
广东4K,http://live.cctv.cn/hdtv4/index.m3u8
咪咕体育4K,http://live.gdtv.cn/hd31/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hd21/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/cctv17hd/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
CCTV5体育,http://live.hunantv.com/cctv8hd/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv9hd/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hd18/index.m3u8
五星体育,rtp://239.45.3.213:5140
广东体育,rtp://239.21.0.18:8000
北京体育,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
劲爆体育,rtp://239.21.0.71:5140
魅力足球,http://live.hunantv.com/hdtv51/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/hd26/index.m3u8
上海电影,http://live.cctv.cn/hd2/index.m3u8
广东电影,rtp://239.45.3.240:1234
峨眉电影,rtp://239.253.93.235:9901
CHC高清电影,http://live.hunantv.com/live122/index.m3u8
CHC动作电影,rtp://239.45.3.251:9001
CHC家庭影院,rtp://239.45.3.60:8080
都市剧场,http://cctv13.live.cctv.cn/hdtv97/index.m3u8
CCTV少儿,http://live.cctv.cn/hdtv57/index.m3u8
金鹰卡通,rtp://239.45.3.108:1234
嘉佳卡通,rtp://239.253.93.26:9901
优漫卡通,rtp://239.253.93.75:9000
