# 山东省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live490/index.m3u8
CCTV2财经,http://live.cctv.cn/live595/index.m3u8
CCTV3综艺,http://live.hunantv.com/live976/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/hd42/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hdtv87/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv1hd/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/hdtv28/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hd11/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/hdtv93/index.m3u8
CCTV9纪录,http://live.cctv.cn/hdtv38/index.m3u8
CCTV10科教,http://live.gdtv.cn/hd26/index.m3u8
CCTV11戏曲,http://live.hunantv.com/cctv3hd/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/hdtv77/index.m3u8
CCTV13新闻,http://live.cctv.cn/live616/index.m3u8
CCTV14少儿,http://live.hunantv.com/cctv13hd/index.m3u8
CCTV15音乐,http://live.hunantv.com/cctv3hd/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/live551/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/hdtv14/index.m3u8
湖南卫视,rtp://239.253.93.95:1234
浙江卫视,rtp://239.253.93.24:9001
江苏卫视,rtp://239.21.0.37:8080
东方卫视,rtp://239.21.0.163:9000
北京卫视,rtp://239.21.0.60:8000
广东卫视,rtp://239.21.0.19:9901
深圳卫视,rtp://239.21.0.144:9001
山东卫视,http://live.hunantv.com/hdtv31/index.m3u8
天津卫视,rtp://239.45.3.130:8080
辽宁卫视,rtp://239.253.93.191:5140
黑龙江卫视,http://live.hunantv.com/hdtv89/index.m3u8
安徽卫视,rtp://239.45.3.34:9000
河北卫视,http://live.hunantv.com/hdtv3/index.m3u8
河南卫视,rtp://239.21.0.100:9000
湖北卫视,rtp://239.45.3.198:1234
江西卫视,rtp://239.21.0.209:9000
福建卫视,rtp://239.21.0.12:9901
四川卫视,rtp://239.21.0.115:9901
重庆卫视,rtp://239.253.93.17:8000
贵州卫视,rtp://239.45.3.163:8080
云南卫视,rtp://239.45.3.9:8000
广西卫视,rtp://239.21.0.104:9000
海南卫视,rtp://239.21.0.231:1234
山西卫视,rtp://239.253.93.56:8000
陕西卫视,rtp://239.21.0.223:8080
甘肃卫视,rtp://239.21.0.1:5140
青海卫视,rtp://239.253.93.78:5140
宁夏卫视,rtp://239.21.0.34:5140
新疆卫视,rtp://239.21.0.205:9001
西藏卫视,rtp://239.45.3.179:9901
内蒙古卫视,rtp://239.21.0.207:9001
吉林卫视,rtp://239.45.3.97:5140
山东新闻,rtp://239.21.0.188:8080
山东都市,rtp://239.45.3.114:5140
山东影视,rtp://239.21.0.56:9001
山东生活,rtp://239.253.93.30:8080
山东经济,http://cctv1.live.cctv.cn/live920/index.m3u8
山东科教,rtp://239.253.93.17:9901
山东体育,rtp://239.45.3.169:8000
山东公共,rtp://239.45.3.236:9901
山东卫视,http://cctv13.live.cctv.cn/cctv9hd/index.m3u8
齐鲁频道,rtp://239.253.93.24:8080
山东体育,rtp://239.253.93.124:9000
山东农科,http://cctv13.live.cctv.cn/hd24/index.m3u8
山东生活,http://live.cctv.cn/live866/index.m3u8
山东综艺,rtp://239.21.0.165:5140
