# 山西省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 125
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hdtv8/index.m3u8
CCTV2财经,http://live.cctv.cn/cctv1hd/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hd5/index.m3u8
CCTV4中文国际,http://live.hunantv.com/live761/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/live826/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/cctv12hd/index.m3u8
CCTV6电影,http://live.hunantv.com/live392/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/live228/index.m3u8
CCTV8电视剧,http://live.hunantv.com/hdtv28/index.m3u8
CCTV9纪录,http://live.cctv.cn/cctv15hd/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/hd30/index.m3u8
CCTV13新闻,http://live.gdtv.cn/hd20/index.m3u8
CCTV14少儿,http://live.hunantv.com/live181/index.m3u8
CCTV15音乐,http://live.hunantv.com/live112/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/live278/index.m3u8
湖南卫视,rtp://225.1.8.159:9901
浙江卫视,rtp://239.50.1.168:9000
江苏卫视,rtp://239.45.1.85:5140
东方卫视,rtp://225.1.8.27:9000
北京卫视,http://live.cctv.cn/cctv8hd/index.m3u8
广东卫视,rtp://225.1.8.78:9000
深圳卫视,rtp://239.50.1.93:8000
山东卫视,rtp://239.112.206.146:1234
天津卫视,rtp://239.50.1.86:1234
辽宁卫视,rtp://239.50.1.66:9001
黑龙江卫视,rtp://239.112.206.157:9001
安徽卫视,rtp://239.112.206.181:5140
河北卫视,rtp://239.50.1.91:9901
河南卫视,rtp://225.1.8.28:9000
湖北卫视,rtp://239.112.206.247:9901
江西卫视,rtp://239.50.1.209:8080
福建卫视,rtp://225.1.8.67:9000
四川卫视,rtp://239.112.206.86:9000
重庆卫视,rtp://225.1.8.214:8000
贵州卫视,rtp://239.112.206.204:8080
云南卫视,rtp://239.112.206.168:9001
广西卫视,rtp://239.112.206.117:9001
海南卫视,rtp://225.1.8.37:9000
山西卫视,rtp://239.112.206.121:9901
陕西卫视,rtp://239.45.1.165:9901
甘肃卫视,http://cctv13.live.cctv.cn/hdtv84/index.m3u8
青海卫视,rtp://225.1.8.95:9901
宁夏卫视,http://live.cctv.cn/live153/index.m3u8
新疆卫视,rtp://225.1.8.111:8080
西藏卫视,rtp://239.112.206.192:1234
内蒙古卫视,rtp://239.45.1.15:9901
吉林卫视,rtp://239.50.1.150:5140
山西新闻,http://live.cctv.cn/cctv13hd/index.m3u8
山西都市,rtp://239.112.206.220:9901
山西影视,rtp://239.45.1.224:9901
山西生活,rtp://225.1.8.57:5140
山西经济,rtp://225.1.8.106:8000
山西科教,http://live.cctv.cn/hdtv30/index.m3u8
山西体育,rtp://239.45.1.19:8080
山西公共,rtp://239.50.1.122:9001
CCTV1 4K,http://cctv13.live.cctv.cn/hd39/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
北京纪实4K,http://live.gdtv.cn/live527/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/hdtv88/index.m3u8
广东4K,http://cctv1.live.cctv.cn/hd49/index.m3u8
