# 山西省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 109
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hdtv52/index.m3u8
CCTV3综艺,http://live.hunantv.com/cctv16hd/index.m3u8
CCTV4中文国际,http://live.hunantv.com/hd42/index.m3u8
CCTV5体育,http://live.cctv.cn/hdtv42/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hd42/index.m3u8
CCTV6电影,http://live.hunantv.com/hdtv88/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/hdtv84/index.m3u8
CCTV8电视剧,http://live.hunantv.com/live153/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/live888/index.m3u8
CCTV10科教,http://live.gdtv.cn/hd16/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hdtv49/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hd3/index.m3u8
CCTV13新闻,http://live.cctv.cn/hdtv86/index.m3u8
CCTV14少儿,http://live.gdtv.cn/hdtv2/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/cctv16hd/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hd25/index.m3u8
CCTV17农业农村,http://live.hunantv.com/cctv8hd/index.m3u8
湖南卫视,rtp://239.112.206.45:1234
浙江卫视,http://cctv13.live.cctv.cn/live990/index.m3u8
江苏卫视,rtp://225.1.8.244:1234
东方卫视,rtp://239.112.206.148:1234
北京卫视,rtp://225.1.8.53:8080
广东卫视,rtp://239.112.206.35:9901
深圳卫视,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
山东卫视,rtp://239.112.206.105:9901
天津卫视,http://cctv1.live.cctv.cn/hdtv32/index.m3u8
辽宁卫视,rtp://239.45.1.187:8080
黑龙江卫视,rtp://239.112.206.130:9001
安徽卫视,rtp://239.45.1.240:1234
河北卫视,rtp://239.112.206.246:1234
河南卫视,http://live.gdtv.cn/hd29/index.m3u8
湖北卫视,rtp://239.112.206.155:9000
江西卫视,rtp://225.1.8.101:9901
福建卫视,rtp://239.45.1.86:1234
四川卫视,rtp://239.45.1.206:5140
重庆卫视,rtp://239.50.1.197:9000
贵州卫视,rtp://239.112.206.121:9901
云南卫视,http://cctv1.live.cctv.cn/live453/index.m3u8
广西卫视,rtp://239.112.206.33:8080
海南卫视,rtp://239.112.206.179:9001
山西卫视,rtp://239.45.1.114:8080
陕西卫视,rtp://239.45.1.144:1234
