# 山西省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 109
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hdtv12/index.m3u8
CCTV2财经,http://live.cctv.cn/cctv8hd/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/hd35/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/hd16/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hdtv35/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hd18/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hdtv75/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hdtv62/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
CCTV9纪录,http://live.hunantv.com/live286/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/hdtv75/index.m3u8
CCTV13新闻,http://live.hunantv.com/cctv11hd/index.m3u8
CCTV14少儿,http://live.gdtv.cn/hd17/index.m3u8
CCTV15音乐,http://live.cctv.cn/live212/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/cctv6hd/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hdtv62/index.m3u8
湖南卫视,http://cctv13.live.cctv.cn/hdtv90/index.m3u8
浙江卫视,http://cctv1.live.cctv.cn/live451/index.m3u8
江苏卫视,rtp://225.1.8.235:9000
东方卫视,rtp://239.45.1.184:8000
北京卫视,http://live.cctv.cn/live395/index.m3u8
广东卫视,rtp://239.45.1.50:9000
深圳卫视,rtp://239.112.206.164:9000
山东卫视,rtp://225.1.8.123:1234
天津卫视,rtp://225.1.8.66:8000
辽宁卫视,http://cctv1.live.cctv.cn/live756/index.m3u8
黑龙江卫视,http://cctv1.live.cctv.cn/live834/index.m3u8
安徽卫视,http://live.cctv.cn/cctv10hd/index.m3u8
河北卫视,rtp://225.1.8.87:9001
河南卫视,rtp://225.1.8.146:8000
湖北卫视,rtp://225.1.8.107:9901
江西卫视,http://live.gdtv.cn/live416/index.m3u8
福建卫视,rtp://239.45.1.222:8000
四川卫视,rtp://239.50.1.96:8080
重庆卫视,rtp://239.45.1.169:9901
贵州卫视,rtp://225.1.8.74:9001
云南卫视,rtp://239.50.1.218:9001
广西卫视,rtp://225.1.8.205:9901
海南卫视,rtp://239.45.1.12:9001
山西卫视,rtp://239.45.1.190:9000
陕西卫视,rtp://225.1.8.248:5140
甘肃卫视,rtp://239.112.206.158:8080
青海卫视,rtp://225.1.8.164:8000
宁夏卫视,rtp://225.1.8.157:8000
新疆卫视,rtp://239.50.1.78:8000
西藏卫视,rtp://239.50.1.43:9001
内蒙古卫视,rtp://225.1.8.227:8000
吉林卫视,http://cctv13.live.cctv.cn/live358/index.m3u8
山西新闻,rtp://239.50.1.131:1234
山西都市,rtp://239.45.1.147:8080
山西影视,rtp://225.1.8.78:9001
山西生活,http://cctv1.live.cctv.cn/cctv16hd/index.m3u8
山西经济,rtp://239.112.206.163:9000
