# 山西省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 109
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hdtv34/index.m3u8
CCTV3综艺,http://live.gdtv.cn/live478/index.m3u8
CCTV4中文国际,http://live.hunantv.com/hdtv56/index.m3u8
CCTV5体育,http://live.cctv.cn/live223/index.m3u8
CCTV5+体育赛事,http://live.gdtv.cn/cctv8hd/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/live243/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/hdtv45/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/hdtv9/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/live329/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hd44/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hd2/index.m3u8
CCTV13新闻,http://live.cctv.cn/hdtv48/index.m3u8
CCTV14少儿,http://live.hunantv.com/hd39/index.m3u8
CCTV15音乐,http://cctv13.live.cctv.cn/hdtv7/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hdtv87/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/cctv7hd/index.m3u8
湖南卫视,http://live.gdtv.cn/hd29/index.m3u8
浙江卫视,rtp://239.50.1.12:1234
江苏卫视,rtp://239.112.206.3:1234
东方卫视,rtp://225.1.8.95:8000
北京卫视,rtp://225.1.8.46:9001
广东卫视,rtp://239.112.206.159:5140
深圳卫视,rtp://239.112.206.126:8000
山东卫视,rtp://225.1.8.201:9000
天津卫视,rtp://239.112.206.183:8080
辽宁卫视,rtp://225.1.8.71:9901
黑龙江卫视,rtp://225.1.8.231:8080
安徽卫视,rtp://225.1.8.219:8080
河北卫视,rtp://239.45.1.156:5140
河南卫视,rtp://225.1.8.230:9001
湖北卫视,rtp://239.45.1.127:8080
江西卫视,rtp://225.1.8.154:9000
福建卫视,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
