# 广东省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 131
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/hdtv3/index.m3u8
CCTV2财经,http://live.gdtv.cn/hdtv25/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hdtv53/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/cctv16hd/index.m3u8
CCTV5体育,http://live.hunantv.com/live874/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/hdtv43/index.m3u8
CCTV7国防军事,http://live.gdtv.cn/hdtv56/index.m3u8
CCTV8电视剧,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
CCTV9纪录,http://live.hunantv.com/live252/index.m3u8
CCTV10科教,http://live.gdtv.cn/hdtv63/index.m3u8
CCTV11戏曲,http://live.cctv.cn/cctv3hd/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/hdtv33/index.m3u8
CCTV13新闻,http://live.gdtv.cn/hdtv21/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hdtv40/index.m3u8
CCTV15音乐,http://live.cctv.cn/hdtv3/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/cctv5hd/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hd24/index.m3u8
湖南卫视,http://live.cctv.cn/hd31/index.m3u8
浙江卫视,rtp://239.112.207.17:9901
江苏卫视,rtp://239.112.207.69:1234
东方卫视,rtp://225.1.1.98:9000
北京卫视,rtp://225.1.1.164:9001
广东卫视,rtp://239.254.98.178:8000
深圳卫视,rtp://239.254.98.67:8000
山东卫视,rtp://225.1.1.30:8000
天津卫视,http://live.gdtv.cn/hdtv76/index.m3u8
辽宁卫视,rtp://239.254.98.54:9001
黑龙江卫视,rtp://239.112.207.154:8080
安徽卫视,rtp://239.254.98.67:9001
河北卫视,rtp://225.1.1.168:9901
河南卫视,http://live.gdtv.cn/cctv1hd/index.m3u8
湖北卫视,rtp://239.254.98.113:9000
江西卫视,http://cctv13.live.cctv.cn/hdtv61/index.m3u8
福建卫视,rtp://239.112.207.225:8080
四川卫视,rtp://239.112.207.76:9001
重庆卫视,rtp://239.112.207.38:9000
贵州卫视,http://live.gdtv.cn/live455/index.m3u8
云南卫视,rtp://225.1.1.6:5140
广西卫视,rtp://239.112.207.212:9000
海南卫视,rtp://239.254.98.27:9001
山西卫视,rtp://225.1.1.114:9000
陕西卫视,rtp://225.1.1.120:8080
甘肃卫视,rtp://239.254.98.137:9000
青海卫视,rtp://225.1.1.170:9000
宁夏卫视,rtp://239.112.207.82:8000
新疆卫视,rtp://239.112.207.155:5140
西藏卫视,rtp://239.112.207.130:8080
内蒙古卫视,rtp://239.112.207.94:9000
吉林卫视,rtp://239.254.98.119:9001
广东新闻,rtp://239.254.98.118:9000
广东都市,rtp://225.1.1.70:1234
广东影视,http://cctv1.live.cctv.cn/hd50/index.m3u8
广东生活,rtp://239.254.98.250:8080
广东经济,http://live.hunantv.com/live710/index.m3u8
广东科教,rtp://225.1.1.226:9000
广东体育,rtp://239.112.207.22:9001
广东公共,rtp://225.1.1.149:9000
广东卫视,rtp://225.1.1.41:9001
广东新闻,rtp://239.254.98.237:9001
广东公共,rtp://239.254.98.159:9901
广东体育,http://cctv13.live.cctv.cn/live917/index.m3u8
南方卫视,rtp://239.112.207.222:9000
深圳卫视,rtp://239.112.207.100:1234
珠江频道,rtp://225.1.1.114:9000
CCTV1 4K,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
CCTV4K,http://live.cctv.cn/hdtv8/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/hd33/index.m3u8
上海纪实4K,http://live.hunantv.com/cctv10hd/index.m3u8
广东4K,http://live.gdtv.cn/live816/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/hd22/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hdtv57/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/live681/index.m3u8
爱上4K,http://live.hunantv.com/hd49/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/hdtv80/index.m3u8
CCTV5体育,http://live.gdtv.cn/hdtv62/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/cctv13hd/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd15/index.m3u8
五星体育,rtp://239.254.98.12:9001
广东体育,http://cctv13.live.cctv.cn/hd29/index.m3u8
北京体育,rtp://239.254.98.126:5140
劲爆体育,http://live.gdtv.cn/live349/index.m3u8
魅力足球,rtp://239.254.98.138:8080
CCTV6电影,http://live.cctv.cn/hdtv86/index.m3u8
上海电影,rtp://239.112.207.130:9001
广东电影,rtp://239.254.98.249:8080
峨眉电影,http://live.hunantv.com/hd44/index.m3u8
CHC高清电影,http://live.cctv.cn/cctv6hd/index.m3u8
CHC动作电影,rtp://239.112.207.64:5140
CHC家庭影院,rtp://239.112.207.73:8080
都市剧场,rtp://239.254.98.167:8080
CCTV少儿,http://live.gdtv.cn/hd39/index.m3u8
金鹰卡通,rtp://225.1.1.8:8080
嘉佳卡通,rtp://225.1.1.251:9901
优漫卡通,rtp://225.1.1.55:9001
炫动卡通,rtp://225.1.1.151:8000
卡酷少儿,rtp://239.254.98.141:9001
CCTV新闻,http://live.cctv.cn/hdtv27/index.m3u8
CCTV13,http://live.gdtv.cn/hd22/index.m3u8
中国教育1台,rtp://239.254.98.131:9901
中国教育2台,rtp://239.112.207.46:8000
凤凰中文,rtp://239.254.98.197:9001
凤凰资讯,http://cctv1.live.cctv.cn/hdtv55/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/cctv1hd/index.m3u8
梨园频道,rtp://239.254.98.147:8000
文物宝库,rtp://239.112.207.112:9901
国学频道,rtp://239.254.98.29:9001
秦腔频道,rtp://225.1.1.192:9901
陕西秦腔,rtp://239.112.207.235:1234
甘肃秦腔,rtp://239.112.207.187:8000
宁夏秦腔,http://live.hunantv.com/hd6/index.m3u8
广东粤剧,rtp://239.112.207.50:9901
广州粤剧,rtp://225.1.1.127:8080
深圳粤剧,rtp://225.1.1.142:9000
佛山粤剧,rtp://239.254.98.163:5140
中国广电4K,http://live.hunantv.com/cctv5hd/index.m3u8
广电精品,http://live.cctv.cn/cctv13hd/index.m3u8
广电影视,rtp://239.254.98.92:9001
广电纪实,rtp://239.254.98.2:9000
广电体育,rtp://225.1.1.12:9000
广电新闻,rtp://239.254.98.173:8000
广电综艺,rtp://239.112.207.245:8080
广电少儿,http://cctv1.live.cctv.cn/live223/index.m3u8
广电音乐,rtp://239.254.98.220:9901
广电戏曲,rtp://225.1.1.79:8000
广电科教,rtp://239.112.207.15:8000
广电购物,http://cctv1.live.cctv.cn/hd8/index.m3u8
IPTV经典电影,rtp://239.112.207.125:8000
IPTV热播剧场,http://cctv13.live.cctv.cn/live576/index.m3u8
IPTV魅力时尚,rtp://239.254.98.197:9000
IPTV收视指南,rtp://239.254.98.40:8080
