# 广东省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/hd22/index.m3u8
CCTV2财经,http://cctv1.live.cctv.cn/hdtv97/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hdtv61/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/hdtv90/index.m3u8
CCTV5体育,http://live.gdtv.cn/hdtv80/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/hd21/index.m3u8
CCTV6电影,http://live.gdtv.cn/cctv12hd/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hdtv80/index.m3u8
CCTV8电视剧,http://live.hunantv.com/hd20/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/live639/index.m3u8
CCTV10科教,http://live.cctv.cn/live200/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/hdtv33/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/cctv7hd/index.m3u8
CCTV13新闻,http://live.cctv.cn/hd28/index.m3u8
CCTV14少儿,http://live.gdtv.cn/live626/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hd20/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/live158/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/hdtv65/index.m3u8
湖南卫视,http://live.gdtv.cn/hdtv16/index.m3u8
浙江卫视,rtp://239.254.98.43:5140
江苏卫视,rtp://239.112.207.231:5140
东方卫视,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
北京卫视,rtp://239.254.98.176:8000
广东卫视,rtp://239.112.207.224:9001
深圳卫视,rtp://239.254.98.30:8000
山东卫视,rtp://225.1.1.105:9000
天津卫视,rtp://239.112.207.180:1234
辽宁卫视,http://cctv13.live.cctv.cn/cctv7hd/index.m3u8
黑龙江卫视,http://cctv1.live.cctv.cn/hdtv71/index.m3u8
安徽卫视,rtp://239.112.207.215:9000
河北卫视,rtp://239.112.207.13:9001
河南卫视,http://live.cctv.cn/hdtv73/index.m3u8
湖北卫视,rtp://239.254.98.226:9901
江西卫视,rtp://239.254.98.55:8080
福建卫视,http://live.hunantv.com/live319/index.m3u8
四川卫视,rtp://239.254.98.146:9001
重庆卫视,http://cctv1.live.cctv.cn/hdtv68/index.m3u8
贵州卫视,rtp://239.254.98.1:8000
云南卫视,http://live.hunantv.com/hd4/index.m3u8
广西卫视,rtp://239.112.207.89:9901
海南卫视,rtp://239.112.207.64:8080
山西卫视,rtp://239.112.207.174:8000
陕西卫视,rtp://239.254.98.128:1234
甘肃卫视,rtp://239.112.207.179:9000
青海卫视,http://cctv1.live.cctv.cn/hd30/index.m3u8
宁夏卫视,rtp://239.112.207.51:9001
新疆卫视,rtp://239.254.98.179:8000
西藏卫视,rtp://225.1.1.68:9000
内蒙古卫视,http://live.hunantv.com/hdtv29/index.m3u8
吉林卫视,rtp://225.1.1.188:9001
广东新闻,rtp://239.112.207.98:9001
广东都市,rtp://239.254.98.108:1234
广东影视,http://live.gdtv.cn/hdtv17/index.m3u8
广东生活,rtp://225.1.1.192:9901
广东经济,rtp://225.1.1.189:9001
广东科教,rtp://225.1.1.171:9000
广东体育,rtp://225.1.1.230:5140
广东公共,rtp://239.112.207.226:9901
广东卫视,http://cctv1.live.cctv.cn/hdtv96/index.m3u8
广东新闻,rtp://225.1.1.148:1234
广东公共,rtp://239.254.98.37:1234
广东体育,rtp://239.254.98.223:8080
南方卫视,rtp://239.112.207.174:5140
深圳卫视,rtp://239.254.98.221:8080
珠江频道,rtp://225.1.1.132:9901
CCTV1 4K,http://live.hunantv.com/hd34/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/hdtv7/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/hd22/index.m3u8
上海纪实4K,http://live.hunantv.com/hdtv18/index.m3u8
广东4K,http://cctv13.live.cctv.cn/hd19/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/live850/index.m3u8
纯享4K,http://live.gdtv.cn/hd27/index.m3u8
爱上4K,http://live.gdtv.cn/cctv10hd/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/live482/index.m3u8
CCTV5体育,http://live.hunantv.com/live331/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv64/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hdtv26/index.m3u8
五星体育,http://live.gdtv.cn/hd4/index.m3u8
广东体育,rtp://239.254.98.141:1234
北京体育,rtp://225.1.1.248:9001
劲爆体育,rtp://239.112.207.115:8080
魅力足球,rtp://225.1.1.33:9901
CCTV6电影,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
上海电影,rtp://225.1.1.203:5140
广东电影,rtp://239.112.207.125:9000
峨眉电影,rtp://239.112.207.53:8000
CHC高清电影,http://cctv1.live.cctv.cn/hdtv81/index.m3u8
CHC动作电影,rtp://225.1.1.97:9000
CHC家庭影院,rtp://225.1.1.128:8000
都市剧场,rtp://239.112.207.145:9901
CCTV少儿,http://cctv1.live.cctv.cn/live747/index.m3u8
金鹰卡通,rtp://239.112.207.27:9001
嘉佳卡通,rtp://225.1.1.24:8000
优漫卡通,rtp://225.1.1.79:9901
炫动卡通,rtp://225.1.1.246:9901
卡酷少儿,rtp://239.254.98.46:1234
CCTV新闻,http://cctv13.live.cctv.cn/hdtv80/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/live568/index.m3u8
中国教育1台,rtp://239.254.98.104:1234
中国教育2台,rtp://239.112.207.104:8000
凤凰中文,rtp://239.254.98.3:1234
凤凰资讯,rtp://225.1.1.240:9901
CCTV11戏曲,http://live.gdtv.cn/live970/index.m3u8
梨园频道,rtp://239.254.98.229:8080
文物宝库,rtp://239.112.207.92:9000
国学频道,rtp://239.112.207.108:5140
秦腔频道,rtp://239.254.98.189:8000
陕西秦腔,rtp://225.1.1.164:1234
甘肃秦腔,http://live.hunantv.com/hd37/index.m3u8
宁夏秦腔,rtp://225.1.1.249:5140
广东粤剧,rtp://239.254.98.196:9001
广州粤剧,rtp://225.1.1.11:5140
深圳粤剧,rtp://239.254.98.87:9001
佛山粤剧,rtp://225.1.1.153:1234
