# 广东省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/live215/index.m3u8
CCTV2财经,http://live.cctv.cn/hd22/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/live874/index.m3u8
CCTV4中文国际,http://live.hunantv.com/live804/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/hd13/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/live696/index.m3u8
CCTV7国防军事,http://live.hunantv.com/hd8/index.m3u8
CCTV8电视剧,http://live.hunantv.com/cctv5hd/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/hd41/index.m3u8
CCTV10科教,http://live.hunantv.com/cctv11hd/index.m3u8
CCTV11戏曲,http://live.cctv.cn/cctv4hd/index.m3u8
CCTV12社会与法,http://cctv1.live.cctv.cn/live897/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/hd19/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hdtv21/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/hd6/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
CCTV17农业农村,http://live.hunantv.com/cctv11hd/index.m3u8
湖南卫视,rtp://239.254.98.201:9001
浙江卫视,http://cctv1.live.cctv.cn/cctv1hd/index.m3u8
江苏卫视,rtp://225.1.1.230:1234
东方卫视,rtp://225.1.1.197:8080
北京卫视,http://live.gdtv.cn/cctv16hd/index.m3u8
广东卫视,http://live.cctv.cn/hdtv1/index.m3u8
深圳卫视,rtp://239.112.207.247:9001
山东卫视,http://cctv13.live.cctv.cn/hdtv14/index.m3u8
天津卫视,rtp://225.1.1.114:5140
辽宁卫视,rtp://225.1.1.215:8080
黑龙江卫视,rtp://225.1.1.62:1234
安徽卫视,rtp://225.1.1.58:9000
河北卫视,http://cctv1.live.cctv.cn/cctv13hd/index.m3u8
河南卫视,http://cctv13.live.cctv.cn/hdtv8/index.m3u8
湖北卫视,rtp://225.1.1.243:8000
江西卫视,rtp://225.1.1.2:5140
福建卫视,http://live.cctv.cn/hdtv29/index.m3u8
四川卫视,http://live.gdtv.cn/hdtv76/index.m3u8
重庆卫视,rtp://225.1.1.135:9000
贵州卫视,rtp://239.112.207.23:5140
云南卫视,http://live.hunantv.com/hd18/index.m3u8
广西卫视,rtp://239.254.98.150:9901
海南卫视,rtp://225.1.1.60:1234
山西卫视,rtp://239.112.207.137:8080
陕西卫视,rtp://239.254.98.51:9001
甘肃卫视,rtp://225.1.1.252:9000
青海卫视,rtp://225.1.1.88:9001
宁夏卫视,rtp://225.1.1.98:5140
新疆卫视,rtp://239.112.207.220:5140
西藏卫视,rtp://239.254.98.209:1234
内蒙古卫视,http://live.gdtv.cn/hdtv36/index.m3u8
吉林卫视,rtp://239.112.207.91:9901
广东新闻,rtp://225.1.1.135:8080
广东都市,rtp://239.112.207.228:5140
广东影视,rtp://239.254.98.102:8000
广东生活,rtp://239.254.98.40:8000
广东经济,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
广东科教,rtp://239.254.98.104:1234
广东体育,http://live.hunantv.com/hdtv49/index.m3u8
广东公共,rtp://225.1.1.188:9001
广东卫视,http://live.hunantv.com/hd8/index.m3u8
广东新闻,rtp://239.112.207.207:5140
广东公共,rtp://239.112.207.103:8080
广东体育,rtp://225.1.1.204:1234
南方卫视,rtp://239.112.207.67:9001
深圳卫视,rtp://239.254.98.223:8080
珠江频道,http://live.hunantv.com/hdtv36/index.m3u8
CCTV1 4K,http://cctv1.live.cctv.cn/live788/index.m3u8
CCTV4K,http://cctv13.live.cctv.cn/hdtv46/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/hdtv15/index.m3u8
广东4K,http://live.cctv.cn/live884/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/live106/index.m3u8
咪咕直播4K,http://live.gdtv.cn/hdtv45/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
爱上4K,http://live.cctv.cn/live193/index.m3u8
欢笑剧场4K,http://live.hunantv.com/hdtv45/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd24/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/hd48/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
五星体育,rtp://239.254.98.58:5140
广东体育,rtp://239.112.207.193:9001
北京体育,rtp://239.254.98.120:9901
劲爆体育,rtp://225.1.1.5:9001
魅力足球,rtp://239.112.207.253:9901
CCTV6电影,http://cctv1.live.cctv.cn/hdtv96/index.m3u8
上海电影,http://live.gdtv.cn/live219/index.m3u8
广东电影,rtp://239.112.207.7:9001
峨眉电影,rtp://239.112.207.53:9001
CHC高清电影,http://live.cctv.cn/hdtv98/index.m3u8
CHC动作电影,rtp://225.1.1.249:9001
CHC家庭影院,rtp://239.254.98.106:8080
都市剧场,rtp://225.1.1.165:9901
CCTV少儿,http://live.cctv.cn/hdtv79/index.m3u8
金鹰卡通,rtp://225.1.1.228:9901
嘉佳卡通,rtp://239.254.98.29:5140
优漫卡通,rtp://239.112.207.30:9000
炫动卡通,rtp://239.112.207.246:9000
卡酷少儿,http://live.gdtv.cn/hd14/index.m3u8
CCTV新闻,http://live.gdtv.cn/hdtv53/index.m3u8
CCTV13,http://live.cctv.cn/hd35/index.m3u8
中国教育1台,rtp://239.112.207.58:9901
中国教育2台,rtp://239.254.98.197:9001
凤凰中文,rtp://225.1.1.70:5140
凤凰资讯,rtp://239.112.207.77:9000
CCTV11戏曲,http://live.gdtv.cn/cctv12hd/index.m3u8
梨园频道,http://live.hunantv.com/hdtv73/index.m3u8
文物宝库,http://cctv13.live.cctv.cn/hdtv18/index.m3u8
国学频道,rtp://239.254.98.167:9901
秦腔频道,rtp://225.1.1.133:8000
陕西秦腔,rtp://225.1.1.162:9001
甘肃秦腔,rtp://225.1.1.247:1234
宁夏秦腔,rtp://225.1.1.122:9901
广东粤剧,http://live.hunantv.com/hdtv80/index.m3u8
广州粤剧,rtp://239.112.207.225:9901
深圳粤剧,rtp://225.1.1.210:8080
佛山粤剧,rtp://239.254.98.172:9901
