# 广东省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/hdtv55/index.m3u8
CCTV2财经,http://live.gdtv.cn/hdtv84/index.m3u8
CCTV3综艺,http://live.gdtv.cn/cctv3hd/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/hdtv24/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/cctv8hd/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/live867/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/live246/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hd10/index.m3u8
CCTV8电视剧,http://live.hunantv.com/hdtv46/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/live559/index.m3u8
CCTV10科教,http://live.hunantv.com/hd50/index.m3u8
CCTV11戏曲,http://live.gdtv.cn/hd43/index.m3u8
CCTV12社会与法,http://live.gdtv.cn/live761/index.m3u8
CCTV13新闻,http://live.gdtv.cn/cctv8hd/index.m3u8
CCTV14少儿,http://live.cctv.cn/hd47/index.m3u8
CCTV15音乐,http://live.hunantv.com/hd23/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/live644/index.m3u8
CCTV17农业农村,http://live.gdtv.cn/hd12/index.m3u8
湖南卫视,rtp://239.112.207.208:9901
浙江卫视,rtp://239.112.207.238:9001
江苏卫视,rtp://239.254.98.100:8080
东方卫视,rtp://239.112.207.243:9901
北京卫视,rtp://239.254.98.101:5140
广东卫视,rtp://225.1.1.79:9001
深圳卫视,rtp://225.1.1.200:9901
山东卫视,http://live.gdtv.cn/cctv11hd/index.m3u8
天津卫视,rtp://239.254.98.152:9000
辽宁卫视,rtp://225.1.1.203:8000
黑龙江卫视,rtp://239.254.98.232:9000
安徽卫视,rtp://239.112.207.104:9001
河北卫视,rtp://239.112.207.108:8000
河南卫视,http://live.gdtv.cn/hd20/index.m3u8
湖北卫视,rtp://225.1.1.84:9000
江西卫视,rtp://239.112.207.139:1234
福建卫视,rtp://225.1.1.58:8000
四川卫视,rtp://239.112.207.161:8080
重庆卫视,rtp://239.112.207.83:9000
贵州卫视,rtp://225.1.1.130:1234
云南卫视,rtp://239.254.98.251:8000
广西卫视,rtp://239.254.98.240:9000
海南卫视,rtp://239.254.98.202:9001
山西卫视,rtp://239.112.207.199:8000
陕西卫视,rtp://239.112.207.153:5140
甘肃卫视,rtp://239.254.98.26:5140
青海卫视,rtp://239.112.207.13:8000
宁夏卫视,http://live.hunantv.com/live569/index.m3u8
新疆卫视,rtp://239.254.98.81:8000
西藏卫视,rtp://239.254.98.68:9000
内蒙古卫视,http://live.hunantv.com/cctv14hd/index.m3u8
吉林卫视,rtp://239.112.207.4:9000
广东新闻,rtp://225.1.1.229:8000
广东都市,http://live.cctv.cn/cctv9hd/index.m3u8
广东影视,rtp://239.112.207.33:8000
广东生活,rtp://225.1.1.129:8000
广东经济,rtp://239.254.98.144:9901
广东科教,rtp://239.254.98.237:8000
广东体育,rtp://225.1.1.160:8080
广东公共,rtp://239.112.207.49:9001
广东卫视,rtp://239.254.98.220:8080
广东新闻,rtp://225.1.1.178:8080
广东公共,rtp://225.1.1.12:1234
广东体育,rtp://225.1.1.10:5140
南方卫视,rtp://225.1.1.35:9001
深圳卫视,rtp://239.254.98.182:9901
珠江频道,rtp://225.1.1.172:9001
CCTV1 4K,http://live.cctv.cn/live289/index.m3u8
CCTV4K,http://live.gdtv.cn/cctv7hd/index.m3u8
北京纪实4K,http://cctv1.live.cctv.cn/hd27/index.m3u8
上海纪实4K,http://live.hunantv.com/live591/index.m3u8
广东4K,http://live.cctv.cn/live542/index.m3u8
咪咕体育4K,http://live.gdtv.cn/live193/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/hd18/index.m3u8
纯享4K,http://live.hunantv.com/hdtv5/index.m3u8
爱上4K,http://live.gdtv.cn/live680/index.m3u8
欢笑剧场4K,http://live.cctv.cn/cctv7hd/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/cctv13hd/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv59/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hd48/index.m3u8
五星体育,rtp://239.112.207.197:9001
广东体育,http://live.hunantv.com/hd9/index.m3u8
北京体育,rtp://239.112.207.5:9901
劲爆体育,http://live.hunantv.com/hd30/index.m3u8
魅力足球,rtp://239.112.207.24:1234
CCTV6电影,http://live.hunantv.com/live554/index.m3u8
上海电影,rtp://225.1.1.234:5140
广东电影,rtp://239.254.98.109:8000
峨眉电影,rtp://239.254.98.216:8000
CHC高清电影,http://live.gdtv.cn/live588/index.m3u8
CHC动作电影,rtp://239.254.98.253:5140
CHC家庭影院,http://live.cctv.cn/hdtv35/index.m3u8
都市剧场,http://live.gdtv.cn/hd19/index.m3u8
CCTV少儿,http://live.cctv.cn/hdtv15/index.m3u8
金鹰卡通,rtp://239.254.98.228:9001
嘉佳卡通,rtp://239.112.207.242:9000
优漫卡通,rtp://225.1.1.61:8080
炫动卡通,rtp://225.1.1.231:8080
卡酷少儿,rtp://225.1.1.9:9901
CCTV新闻,http://live.cctv.cn/hdtv74/index.m3u8
CCTV13,http://live.cctv.cn/cctv1hd/index.m3u8
中国教育1台,rtp://239.112.207.167:8000
中国教育2台,rtp://239.112.207.107:9000
凤凰中文,rtp://239.112.207.111:8080
凤凰资讯,rtp://239.254.98.231:8080
CCTV11戏曲,http://cctv1.live.cctv.cn/hdtv79/index.m3u8
梨园频道,http://cctv1.live.cctv.cn/hdtv83/index.m3u8
文物宝库,rtp://239.112.207.61:9001
国学频道,rtp://225.1.1.83:5140
秦腔频道,rtp://239.254.98.1:9001
陕西秦腔,rtp://239.112.207.195:9001
甘肃秦腔,rtp://239.112.207.181:1234
宁夏秦腔,rtp://239.254.98.42:1234
广东粤剧,rtp://239.254.98.52:8080
广州粤剧,rtp://239.254.98.37:9001
深圳粤剧,rtp://239.112.207.195:1234
佛山粤剧,rtp://225.1.1.58:8080
