# 广西壮族自治区 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 104
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/cctv10hd/index.m3u8
CCTV2财经,http://live.hunantv.com/hd39/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/live539/index.m3u8
CCTV4中文国际,http://live.hunantv.com/hd38/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd1/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv26/index.m3u8
CCTV6电影,http://live.cctv.cn/cctv16hd/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/live455/index.m3u8
CCTV8电视剧,http://live.cctv.cn/cctv9hd/index.m3u8
CCTV9纪录,http://live.hunantv.com/hd28/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/live857/index.m3u8
CCTV11戏曲,http://live.cctv.cn/cctv5hd/index.m3u8
CCTV12社会与法,http://live.hunantv.com/live933/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/cctv13hd/index.m3u8
CCTV14少儿,http://live.cctv.cn/live735/index.m3u8
CCTV15音乐,http://live.hunantv.com/hd4/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hd11/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/cctv2hd/index.m3u8
湖南卫视,rtp://239.252.219.153:5140
浙江卫视,http://cctv1.live.cctv.cn/hdtv39/index.m3u8
江苏卫视,rtp://225.1.2.106:9001
东方卫视,rtp://239.252.219.230:8000
北京卫视,rtp://225.1.2.149:8000
广东卫视,rtp://239.254.99.42:8080
深圳卫视,http://cctv1.live.cctv.cn/hdtv89/index.m3u8
山东卫视,rtp://225.1.2.28:5140
天津卫视,rtp://239.254.99.249:5140
辽宁卫视,rtp://225.1.2.219:5140
黑龙江卫视,rtp://239.252.219.184:1234
安徽卫视,rtp://225.1.2.207:9000
河北卫视,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
河南卫视,rtp://239.254.99.219:8000
湖北卫视,rtp://225.1.2.187:8000
江西卫视,rtp://225.1.2.57:1234
福建卫视,rtp://239.252.219.205:8000
四川卫视,rtp://239.252.219.147:1234
重庆卫视,rtp://239.252.219.244:8080
贵州卫视,http://live.cctv.cn/live661/index.m3u8
云南卫视,rtp://239.254.99.124:8080
广西卫视,rtp://239.254.99.31:8080
海南卫视,rtp://239.254.99.249:8000
山西卫视,rtp://239.254.99.208:8080
陕西卫视,rtp://225.1.2.52:8080
甘肃卫视,rtp://225.1.2.20:8000
青海卫视,rtp://239.252.219.176:5140
宁夏卫视,rtp://225.1.2.149:8000
新疆卫视,rtp://225.1.2.114:9001
西藏卫视,http://cctv1.live.cctv.cn/hdtv92/index.m3u8
内蒙古卫视,rtp://239.254.99.181:5140
吉林卫视,rtp://239.254.99.240:9000
广西新闻,rtp://225.1.2.187:9901
广西都市,rtp://239.252.219.212:8000
广西影视,rtp://225.1.2.57:9001
广西生活,http://live.gdtv.cn/hdtv54/index.m3u8
广西经济,rtp://239.254.99.82:8000
广西科教,rtp://239.252.219.4:8000
广西体育,rtp://225.1.2.203:9001
广西公共,rtp://225.1.2.142:9001
CCTV1 4K,http://cctv13.live.cctv.cn/hdtv82/index.m3u8
CCTV4K,http://live.cctv.cn/cctv6hd/index.m3u8
北京纪实4K,http://live.gdtv.cn/cctv13hd/index.m3u8
上海纪实4K,http://live.gdtv.cn/cctv3hd/index.m3u8
广东4K,http://live.cctv.cn/hd4/index.m3u8
咪咕体育4K,http://live.hunantv.com/live556/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/hdtv63/index.m3u8
纯享4K,http://cctv1.live.cctv.cn/live943/index.m3u8
爱上4K,http://live.gdtv.cn/hd24/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/hd41/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/live960/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/live588/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/hdtv56/index.m3u8
五星体育,http://live.hunantv.com/hd48/index.m3u8
广东体育,rtp://239.252.219.61:5140
北京体育,http://live.gdtv.cn/cctv6hd/index.m3u8
劲爆体育,rtp://239.252.219.217:9000
魅力足球,rtp://225.1.2.38:8000
CCTV6电影,http://live.cctv.cn/hdtv50/index.m3u8
上海电影,rtp://239.252.219.231:5140
广东电影,http://live.hunantv.com/hdtv16/index.m3u8
峨眉电影,rtp://239.254.99.69:9001
CHC高清电影,http://cctv13.live.cctv.cn/hd27/index.m3u8
CHC动作电影,rtp://225.1.2.188:5140
CHC家庭影院,rtp://239.252.219.203:9001
都市剧场,http://live.hunantv.com/live607/index.m3u8
CCTV少儿,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
金鹰卡通,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
嘉佳卡通,rtp://225.1.2.225:8080
优漫卡通,http://live.cctv.cn/hd29/index.m3u8
炫动卡通,rtp://239.254.99.19:9901
卡酷少儿,http://live.cctv.cn/hdtv6/index.m3u8
