# 新疆维吾尔自治区 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 123
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/cctv4hd/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hd33/index.m3u8
CCTV3综艺,http://live.cctv.cn/live475/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/hd32/index.m3u8
CCTV5体育,http://live.hunantv.com/cctv5hd/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv54/index.m3u8
CCTV6电影,http://live.hunantv.com/cctv6hd/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hdtv52/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hdtv36/index.m3u8
CCTV9纪录,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
CCTV10科教,http://live.hunantv.com/cctv4hd/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/live411/index.m3u8
CCTV12社会与法,http://live.hunantv.com/live905/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/live592/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hd20/index.m3u8
CCTV15音乐,http://live.hunantv.com/hdtv64/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hd24/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/live983/index.m3u8
湖南卫视,rtp://225.1.8.101:9000
浙江卫视,rtp://225.1.8.142:9001
江苏卫视,rtp://239.254.98.132:5140
东方卫视,rtp://225.1.8.97:9001
北京卫视,rtp://239.253.43.223:8000
广东卫视,rtp://239.253.43.88:8000
深圳卫视,rtp://239.254.98.69:8080
山东卫视,rtp://239.254.98.118:9000
天津卫视,rtp://239.254.98.82:5140
辽宁卫视,rtp://239.253.43.14:8080
黑龙江卫视,rtp://239.253.43.168:9000
安徽卫视,rtp://239.253.43.137:5140
河北卫视,rtp://239.253.43.1:8000
河南卫视,rtp://239.254.98.83:1234
湖北卫视,rtp://239.253.43.43:5140
江西卫视,rtp://225.1.8.184:9901
福建卫视,rtp://225.1.8.102:9000
四川卫视,http://live.cctv.cn/hd28/index.m3u8
重庆卫视,rtp://239.254.98.246:9901
贵州卫视,rtp://239.254.98.117:8000
云南卫视,rtp://239.254.98.224:1234
广西卫视,rtp://225.1.8.192:5140
海南卫视,rtp://225.1.8.119:1234
山西卫视,rtp://239.253.43.154:9901
陕西卫视,rtp://225.1.8.79:9901
甘肃卫视,rtp://239.253.43.26:8080
青海卫视,rtp://225.1.8.93:8080
宁夏卫视,http://cctv1.live.cctv.cn/hd17/index.m3u8
新疆卫视,rtp://225.1.8.216:8080
西藏卫视,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
内蒙古卫视,rtp://239.254.98.163:8080
吉林卫视,rtp://239.253.43.232:9000
新疆新闻,rtp://239.253.43.87:9001
新疆都市,rtp://239.253.43.32:8080
新疆影视,rtp://225.1.8.79:8000
新疆生活,rtp://239.254.98.99:8000
新疆经济,http://live.gdtv.cn/cctv15hd/index.m3u8
新疆科教,http://cctv1.live.cctv.cn/hd20/index.m3u8
新疆体育,rtp://239.254.98.42:8080
新疆公共,rtp://239.254.98.63:9001
CCTV1 4K,http://cctv1.live.cctv.cn/cctv13hd/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/cctv5hd/index.m3u8
北京纪实4K,http://live.hunantv.com/cctv9hd/index.m3u8
上海纪实4K,http://live.hunantv.com/live825/index.m3u8
广东4K,http://live.cctv.cn/live940/index.m3u8
咪咕体育4K,http://live.gdtv.cn/hd19/index.m3u8
咪咕直播4K,http://live.hunantv.com/cctv3hd/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/hd4/index.m3u8
爱上4K,http://live.cctv.cn/hdtv57/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/hdtv10/index.m3u8
CCTV5体育,http://live.hunantv.com/live487/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hd15/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/live656/index.m3u8
五星体育,rtp://239.253.43.229:8000
广东体育,rtp://225.1.8.224:9901
北京体育,http://live.hunantv.com/hd35/index.m3u8
劲爆体育,rtp://239.253.43.16:5140
魅力足球,http://live.cctv.cn/cctv15hd/index.m3u8
CCTV6电影,http://live.hunantv.com/hdtv77/index.m3u8
上海电影,rtp://225.1.8.206:8000
广东电影,http://cctv13.live.cctv.cn/live386/index.m3u8
峨眉电影,http://live.hunantv.com/live356/index.m3u8
CHC高清电影,http://live.cctv.cn/hdtv35/index.m3u8
CHC动作电影,rtp://239.254.98.244:9000
CHC家庭影院,http://live.hunantv.com/cctv13hd/index.m3u8
都市剧场,rtp://239.254.98.209:9901
CCTV少儿,http://live.hunantv.com/hdtv44/index.m3u8
金鹰卡通,rtp://225.1.8.18:9000
嘉佳卡通,rtp://239.254.98.164:5140
优漫卡通,http://live.cctv.cn/hdtv55/index.m3u8
炫动卡通,rtp://239.254.98.42:9901
卡酷少儿,rtp://239.254.98.135:9901
CCTV新闻,http://cctv13.live.cctv.cn/hd25/index.m3u8
CCTV13,http://live.cctv.cn/hd1/index.m3u8
中国教育1台,http://live.hunantv.com/hd21/index.m3u8
中国教育2台,http://live.cctv.cn/live558/index.m3u8
凤凰中文,rtp://239.254.98.191:8000
凤凰资讯,rtp://239.253.43.25:8080
CCTV11戏曲,http://live.hunantv.com/live973/index.m3u8
梨园频道,http://live.gdtv.cn/hdtv63/index.m3u8
文物宝库,rtp://239.254.98.160:8000
国学频道,rtp://239.253.43.174:1234
秦腔频道,rtp://239.253.43.15:8080
陕西秦腔,rtp://225.1.8.149:8000
甘肃秦腔,rtp://225.1.8.162:9000
宁夏秦腔,rtp://239.254.98.89:1234
新疆秦腔,http://live.hunantv.com/hd37/index.m3u8
乌鲁木齐秦腔,rtp://239.254.98.111:9901
伊犁秦腔,rtp://239.254.98.226:9000
中国广电4K,http://live.gdtv.cn/hd6/index.m3u8
广电精品,rtp://239.254.98.59:9901
广电影视,rtp://239.254.98.196:9901
广电纪实,rtp://239.253.43.113:9901
广电体育,http://live.cctv.cn/hdtv41/index.m3u8
广电新闻,rtp://225.1.8.154:8000
广电综艺,rtp://239.254.98.90:9001
广电少儿,rtp://225.1.8.192:8000
广电音乐,rtp://239.253.43.147:9901
广电戏曲,rtp://225.1.8.50:8080
广电科教,rtp://239.253.43.219:9000
广电购物,rtp://225.1.8.17:1234
IPTV经典电影,rtp://239.254.98.135:9001
IPTV热播剧场,rtp://239.253.43.15:8080
IPTV魅力时尚,http://live.hunantv.com/cctv5hd/index.m3u8
IPTV收视指南,rtp://239.254.98.25:9001
