# 新疆维吾尔自治区 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 107
# 格式: 频道名,直播地址
CCTV1综合,http://live.cctv.cn/live911/index.m3u8
CCTV2财经,http://live.gdtv.cn/cctv2hd/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
CCTV5体育,http://live.gdtv.cn/live427/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/cctv1hd/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/live311/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/hdtv61/index.m3u8
CCTV10科教,http://live.cctv.cn/hd11/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/hdtv70/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/cctv14hd/index.m3u8
CCTV13新闻,http://cctv1.live.cctv.cn/hdtv19/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hdtv24/index.m3u8
CCTV15音乐,http://live.hunantv.com/cctv2hd/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/live715/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/hd27/index.m3u8
湖南卫视,rtp://239.253.43.183:8000
浙江卫视,rtp://239.254.98.237:9001
江苏卫视,rtp://225.1.8.111:9001
东方卫视,rtp://239.253.43.245:1234
北京卫视,rtp://239.254.98.121:8000
广东卫视,rtp://225.1.8.179:9001
深圳卫视,rtp://225.1.8.7:1234
山东卫视,rtp://239.254.98.202:9000
天津卫视,http://live.gdtv.cn/live903/index.m3u8
辽宁卫视,rtp://225.1.8.103:9001
黑龙江卫视,rtp://239.254.98.68:9000
安徽卫视,rtp://225.1.8.248:9901
河北卫视,rtp://239.253.43.202:9901
河南卫视,rtp://239.254.98.240:9901
湖北卫视,rtp://239.254.98.187:1234
江西卫视,rtp://225.1.8.162:9001
福建卫视,rtp://225.1.8.177:9000
四川卫视,http://live.gdtv.cn/live646/index.m3u8
重庆卫视,rtp://239.254.98.32:9001
贵州卫视,rtp://239.253.43.241:9000
云南卫视,rtp://239.254.98.213:8000
广西卫视,http://cctv13.live.cctv.cn/hdtv73/index.m3u8
海南卫视,rtp://239.253.43.180:9001
山西卫视,rtp://239.253.43.20:8000
陕西卫视,rtp://239.254.98.24:9901
甘肃卫视,http://live.cctv.cn/live594/index.m3u8
青海卫视,rtp://239.253.43.78:9001
宁夏卫视,http://live.cctv.cn/hdtv18/index.m3u8
新疆卫视,http://live.gdtv.cn/hdtv88/index.m3u8
西藏卫视,rtp://239.253.43.203:8000
内蒙古卫视,rtp://239.254.98.225:9001
吉林卫视,rtp://225.1.8.164:5140
新疆新闻,rtp://225.1.8.213:9001
新疆都市,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
新疆影视,rtp://239.254.98.35:9901
新疆生活,rtp://239.253.43.75:9001
新疆经济,rtp://225.1.8.199:9001
新疆科教,rtp://239.254.98.134:8080
新疆体育,rtp://225.1.8.144:5140
新疆公共,rtp://239.253.43.19:8000
CCTV1 4K,http://live.cctv.cn/hd1/index.m3u8
CCTV4K,http://cctv1.live.cctv.cn/live932/index.m3u8
北京纪实4K,http://live.hunantv.com/cctv11hd/index.m3u8
上海纪实4K,http://cctv13.live.cctv.cn/cctv14hd/index.m3u8
广东4K,http://cctv1.live.cctv.cn/live588/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/live861/index.m3u8
咪咕直播4K,http://live.hunantv.com/hd17/index.m3u8
纯享4K,http://cctv13.live.cctv.cn/cctv11hd/index.m3u8
爱上4K,http://live.hunantv.com/hdtv33/index.m3u8
欢笑剧场4K,http://cctv1.live.cctv.cn/hdtv33/index.m3u8
CCTV5体育,http://live.hunantv.com/hd41/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hd41/index.m3u8
CCTV16奥林匹克,http://live.hunantv.com/hd8/index.m3u8
五星体育,rtp://239.253.43.11:9901
广东体育,rtp://239.254.98.185:8080
北京体育,rtp://225.1.8.120:9901
劲爆体育,rtp://225.1.8.100:9000
魅力足球,rtp://239.254.98.236:9901
CCTV6电影,http://live.hunantv.com/cctv2hd/index.m3u8
上海电影,rtp://239.253.43.97:5140
广东电影,rtp://239.254.98.232:5140
峨眉电影,http://live.gdtv.cn/cctv3hd/index.m3u8
CHC高清电影,http://cctv1.live.cctv.cn/hd31/index.m3u8
CHC动作电影,rtp://225.1.8.126:9001
CHC家庭影院,http://cctv1.live.cctv.cn/live166/index.m3u8
都市剧场,http://cctv13.live.cctv.cn/hd12/index.m3u8
CCTV少儿,http://live.hunantv.com/live363/index.m3u8
金鹰卡通,rtp://239.254.98.79:9901
嘉佳卡通,rtp://225.1.8.119:1234
优漫卡通,rtp://225.1.8.80:9901
炫动卡通,rtp://239.254.98.94:9000
卡酷少儿,rtp://225.1.8.180:9001
CCTV新闻,http://live.cctv.cn/cctv11hd/index.m3u8
CCTV13,http://live.gdtv.cn/hdtv66/index.m3u8
中国教育1台,rtp://225.1.8.107:9001
中国教育2台,http://cctv1.live.cctv.cn/hd25/index.m3u8
凤凰中文,http://live.cctv.cn/cctv10hd/index.m3u8
凤凰资讯,rtp://225.1.8.126:8080
CCTV11戏曲,http://live.gdtv.cn/hdtv9/index.m3u8
梨园频道,rtp://239.254.98.92:9901
文物宝库,rtp://239.253.43.184:8080
国学频道,http://cctv13.live.cctv.cn/hd18/index.m3u8
秦腔频道,rtp://225.1.8.86:9901
陕西秦腔,rtp://239.253.43.189:9001
甘肃秦腔,rtp://239.254.98.142:9001
宁夏秦腔,rtp://239.254.98.115:5140
新疆秦腔,rtp://239.253.43.243:8080
