# 新疆维吾尔自治区 秦腔专场直播源
# 🎭 弘扬秦腔文化，传承西北艺术
# 生成时间: 2025-06-21 14:02:34
# 频道数量: 80 个
# 覆盖城市: 乌鲁木齐, 昌吉, 伊犁, 塔城, 阿勒泰, 克拉玛依, 石河子, 阿拉尔
# 格式: 频道名,直播地址
# 说明: 秦腔是西北地区最具代表性的地方戏曲
陕西秦腔,http://opera.xjbs.com.cn/qinqiang99/playlist.m3u8
甘肃秦腔,rtp://239.50.9.62:9001
宁夏秦腔,http://xiqu.nxtv.com.cn/live426/playlist.m3u8
青海秦腔,http://stream.xiqu.tv/qinqiang84/playlist.m3u8
新疆秦腔,rtp://239.93.8.120:9001
西北秦腔,http://stream.xiqu.tv/qinqiang36/playlist.m3u8
秦腔名家,rtp://239.50.8.83:5140
秦腔经典,http://qinqiang.qhtv.cn/xiqu23/playlist.m3u8
秦腔大全,http://live.qinqiang.cn/xiqu41/playlist.m3u8
秦腔精品,http://stream.xiqu.tv/xiqu11/playlist.m3u8
西安秦腔台,rtp://239.61.9.245:9001
宝鸡秦腔台,rtp://239.49.9.24:8080
咸阳秦腔台,rtp://239.93.9.185:9001
渭南秦腔台,rtp://239.50.9.237:9000
兰州秦腔台,rtp://239.50.9.31:9000
天水秦腔台,rtp://239.49.9.248:9000
平凉秦腔台,rtp://239.49.9.67:5140
庆阳秦腔台,http://live.qinqiang.cn/xiqu14/playlist.m3u8
银川秦腔台,http://qinqiang.sxbc.cn/xiqu50/playlist.m3u8
石嘴山秦腔台,rtp://239.50.9.46:8000
吴忠秦腔台,rtp://239.49.8.70:4120
固原秦腔台,rtp://239.93.9.189:8080
西宁秦腔台,rtp://239.93.9.140:5140
海东秦腔台,rtp://239.49.9.25:4120
乌鲁木齐秦腔台,http://opera.gsrtv.cn/xiqu39/playlist.m3u8
伊犁秦腔台,rtp://239.93.9.55:4120
秦腔名段,rtp://239.49.9.119:8000
秦腔全本,rtp://239.93.9.219:9000
秦腔教学,rtp://239.49.8.206:8080
秦腔赏析,rtp://239.50.9.167:8000
秦腔历史,http://xiqu.nxtv.com.cn/opera15/playlist.m3u8
秦腔文化,rtp://239.49.8.180:5140
秦腔传承,rtp://239.61.9.53:9001
秦腔创新,rtp://239.50.8.162:8080
秦腔名角,http://qinqiang.sxbc.cn/live222/playlist.m3u8
秦腔流派,rtp://239.49.9.46:8080
秦腔伴奏,rtp://239.93.8.51:8000
秦腔器乐,rtp://239.61.8.105:4120
现代秦腔,http://opera.gsrtv.cn/live881/playlist.m3u8
秦腔新编,http://stream.xiqu.tv/qinqiang8/playlist.m3u8
秦腔青年,http://stream.xiqu.tv/qinqiang91/playlist.m3u8
秦腔少儿,rtp://239.93.9.212:9001
秦腔比赛,rtp://239.61.9.154:8080
秦腔节庆,rtp://239.93.8.19:5140
秦腔展演,http://live.qinqiang.cn/qinqiang26/playlist.m3u8
秦腔巡演,rtp://239.49.8.35:4120
西北戏曲,rtp://239.50.8.109:5140
陕北说书,http://opera.gsrtv.cn/opera10/playlist.m3u8
陕北民歌,rtp://239.50.9.46:8080
花儿民歌,rtp://239.93.8.211:9000
信天游,rtp://239.61.8.10:4120
秦川小调,rtp://239.93.9.166:9000
关中民歌,rtp://239.50.8.43:4120
陇原花儿,rtp://239.93.8.166:9000
三滴血,http://opera.gsrtv.cn/qinqiang73/playlist.m3u8
火焰驹,rtp://239.93.8.195:5140
铡美案,http://live.qinqiang.cn/live962/playlist.m3u8
下河东,http://qinqiang.sxbc.cn/live912/playlist.m3u8
春秋笔,rtp://239.93.8.32:5140
辕门斩子,rtp://239.49.9.78:9000
斩黄袍,rtp://239.61.8.138:4120
杨门女将,http://opera.gsrtv.cn/opera14/playlist.m3u8
穆桂英挂帅,http://xiqu.nxtv.com.cn/xiqu19/playlist.m3u8
梁山伯与祝英台,http://stream.xiqu.tv/qinqiang33/playlist.m3u8
窦娥冤,http://opera.gsrtv.cn/xiqu39/playlist.m3u8
赵氏孤儿,rtp://239.50.8.180:9001
长坂坡,http://opera.gsrtv.cn/live929/playlist.m3u8
空城计,rtp://239.93.8.107:9000
借东风,rtp://239.50.8.218:5140
血泪仇,rtp://239.49.8.55:8000
梁秋燕,rtp://239.61.8.203:8000
红灯记,rtp://239.50.9.16:9000
沙家浜,http://opera.xjbs.com.cn/opera8/playlist.m3u8
智取威虎山,http://stream.xiqu.tv/live911/playlist.m3u8
乌鲁木齐秦腔台,rtp://239.50.8.45:5140
昌吉秦腔台,rtp://239.61.9.45:8080
伊犁秦腔台,rtp://239.93.8.98:9001
塔城秦腔台,rtp://239.61.9.27:9001
阿勒泰秦腔台,rtp://239.61.8.13:9000
克拉玛依秦腔台,rtp://239.61.8.60:9000
