# 新疆维吾尔自治区 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 107
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/hdtv5/index.m3u8
CCTV2财经,http://live.gdtv.cn/cctv14hd/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/live602/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hdtv14/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hd35/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hd44/index.m3u8
CCTV6电影,http://live.cctv.cn/cctv3hd/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/hdtv61/index.m3u8
CCTV8电视剧,http://live.hunantv.com/hdtv30/index.m3u8
CCTV9纪录,http://live.gdtv.cn/hd26/index.m3u8
CCTV10科教,http://live.hunantv.com/hd30/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/live732/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/live211/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/live935/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/live663/index.m3u8
CCTV15音乐,http://live.cctv.cn/hd6/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/live987/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/live853/index.m3u8
湖南卫视,http://live.cctv.cn/hd22/index.m3u8
浙江卫视,rtp://239.253.43.49:9000
江苏卫视,http://live.hunantv.com/hd17/index.m3u8
东方卫视,rtp://225.1.8.164:8000
北京卫视,rtp://239.253.43.106:9000
广东卫视,rtp://239.253.43.176:5140
深圳卫视,rtp://225.1.8.227:8080
山东卫视,rtp://239.253.43.14:1234
天津卫视,rtp://239.254.98.199:1234
辽宁卫视,rtp://239.253.43.20:8080
黑龙江卫视,rtp://225.1.8.60:1234
安徽卫视,rtp://239.253.43.189:9901
河北卫视,http://cctv13.live.cctv.cn/hd34/index.m3u8
河南卫视,rtp://239.254.98.154:1234
湖北卫视,rtp://225.1.8.162:9901
江西卫视,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
福建卫视,rtp://239.253.43.143:1234
四川卫视,rtp://239.254.98.116:9001
重庆卫视,rtp://239.254.98.181:9000
贵州卫视,rtp://225.1.8.25:9901
云南卫视,http://cctv13.live.cctv.cn/live241/index.m3u8
广西卫视,rtp://239.254.98.124:8000
海南卫视,rtp://239.253.43.126:8000
山西卫视,rtp://239.253.43.24:5140
陕西卫视,http://cctv1.live.cctv.cn/live892/index.m3u8
甘肃卫视,rtp://239.253.43.230:5140
青海卫视,rtp://239.254.98.78:9001
宁夏卫视,rtp://239.254.98.123:8000
新疆卫视,http://cctv13.live.cctv.cn/live825/index.m3u8
西藏卫视,rtp://239.253.43.132:1234
内蒙古卫视,http://cctv1.live.cctv.cn/hd33/index.m3u8
吉林卫视,rtp://239.253.43.26:9001
新疆新闻,rtp://239.253.43.33:8000
新疆都市,http://live.cctv.cn/hd48/index.m3u8
新疆影视,http://cctv13.live.cctv.cn/hd23/index.m3u8
新疆生活,http://cctv1.live.cctv.cn/hd18/index.m3u8
新疆经济,rtp://225.1.8.122:9000
新疆科教,http://live.gdtv.cn/live302/index.m3u8
新疆体育,rtp://239.253.43.198:9901
新疆公共,rtp://239.253.43.28:8000
CCTV1 4K,http://live.gdtv.cn/hdtv51/index.m3u8
CCTV4K,http://live.hunantv.com/hdtv6/index.m3u8
北京纪实4K,http://live.cctv.cn/hdtv56/index.m3u8
上海纪实4K,http://live.cctv.cn/cctv17hd/index.m3u8
广东4K,http://live.hunantv.com/live134/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/cctv2hd/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/live309/index.m3u8
纯享4K,http://live.cctv.cn/live289/index.m3u8
爱上4K,http://cctv1.live.cctv.cn/live458/index.m3u8
欢笑剧场4K,http://live.cctv.cn/cctv9hd/index.m3u8
CCTV5体育,http://live.cctv.cn/live875/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hdtv50/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/live942/index.m3u8
五星体育,rtp://239.253.43.119:9000
广东体育,rtp://239.253.43.174:1234
北京体育,rtp://239.253.43.111:9000
劲爆体育,rtp://225.1.8.11:8080
魅力足球,rtp://225.1.8.85:1234
CCTV6电影,http://live.hunantv.com/cctv15hd/index.m3u8
上海电影,http://cctv13.live.cctv.cn/hd25/index.m3u8
广东电影,rtp://225.1.8.180:5140
峨眉电影,http://live.cctv.cn/cctv7hd/index.m3u8
CHC高清电影,http://cctv1.live.cctv.cn/live380/index.m3u8
CHC动作电影,rtp://225.1.8.82:1234
CHC家庭影院,rtp://225.1.8.76:9001
都市剧场,rtp://239.254.98.122:9001
CCTV少儿,http://live.cctv.cn/hdtv19/index.m3u8
金鹰卡通,rtp://225.1.8.81:9000
嘉佳卡通,rtp://239.253.43.130:9901
优漫卡通,rtp://239.254.98.192:8080
