# 新疆维吾尔自治区 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 107
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hdtv58/index.m3u8
CCTV2财经,http://cctv13.live.cctv.cn/hdtv41/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/cctv10hd/index.m3u8
CCTV4中文国际,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
CCTV5体育,http://live.hunantv.com/hd9/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/live450/index.m3u8
CCTV6电影,http://live.hunantv.com/hdtv12/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/live727/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hdtv36/index.m3u8
CCTV9纪录,http://live.cctv.cn/hdtv72/index.m3u8
CCTV10科教,http://cctv13.live.cctv.cn/hdtv20/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/hd5/index.m3u8
CCTV12社会与法,http://live.hunantv.com/cctv17hd/index.m3u8
CCTV13新闻,http://live.cctv.cn/hdtv22/index.m3u8
CCTV14少儿,http://live.gdtv.cn/live310/index.m3u8
CCTV15音乐,http://live.gdtv.cn/live682/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hd32/index.m3u8
CCTV17农业农村,http://cctv13.live.cctv.cn/hdtv15/index.m3u8
湖南卫视,rtp://239.253.43.96:5140
浙江卫视,rtp://225.1.8.237:5140
江苏卫视,rtp://239.253.43.153:1234
东方卫视,http://cctv13.live.cctv.cn/hdtv25/index.m3u8
北京卫视,rtp://239.254.98.59:9001
广东卫视,rtp://239.253.43.87:8000
深圳卫视,rtp://239.254.98.51:9901
山东卫视,rtp://225.1.8.62:9000
天津卫视,rtp://225.1.8.155:1234
辽宁卫视,rtp://239.253.43.83:1234
黑龙江卫视,rtp://225.1.8.133:5140
安徽卫视,rtp://239.253.43.34:1234
河北卫视,http://cctv13.live.cctv.cn/cctv4hd/index.m3u8
河南卫视,rtp://225.1.8.199:5140
湖北卫视,rtp://225.1.8.209:9001
江西卫视,rtp://239.253.43.5:1234
福建卫视,rtp://239.254.98.6:8000
四川卫视,rtp://239.253.43.92:9901
重庆卫视,rtp://225.1.8.189:9000
贵州卫视,rtp://225.1.8.44:9001
云南卫视,rtp://239.253.43.16:8080
广西卫视,rtp://239.254.98.106:9901
海南卫视,rtp://239.253.43.155:8000
山西卫视,http://cctv13.live.cctv.cn/hd40/index.m3u8
陕西卫视,rtp://239.254.98.72:1234
甘肃卫视,http://live.hunantv.com/live752/index.m3u8
青海卫视,rtp://225.1.8.184:9001
宁夏卫视,rtp://225.1.8.221:8000
新疆卫视,rtp://225.1.8.41:8000
西藏卫视,http://cctv1.live.cctv.cn/hd49/index.m3u8
内蒙古卫视,rtp://225.1.8.24:8000
吉林卫视,rtp://225.1.8.163:1234
新疆新闻,http://cctv13.live.cctv.cn/hdtv2/index.m3u8
新疆都市,http://live.cctv.cn/cctv13hd/index.m3u8
新疆影视,rtp://225.1.8.213:9901
新疆生活,rtp://239.253.43.210:5140
新疆经济,rtp://239.254.98.240:1234
新疆科教,rtp://239.253.43.62:8080
新疆体育,rtp://239.254.98.251:5140
新疆公共,rtp://225.1.8.93:9000
CCTV1 4K,http://cctv13.live.cctv.cn/live432/index.m3u8
CCTV4K,http://live.gdtv.cn/live278/index.m3u8
北京纪实4K,http://cctv13.live.cctv.cn/hd17/index.m3u8
上海纪实4K,http://cctv1.live.cctv.cn/cctv9hd/index.m3u8
广东4K,http://cctv13.live.cctv.cn/hdtv46/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/hd39/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/cctv6hd/index.m3u8
纯享4K,http://live.hunantv.com/cctv12hd/index.m3u8
爱上4K,http://live.gdtv.cn/hd9/index.m3u8
欢笑剧场4K,http://cctv13.live.cctv.cn/hd9/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hd24/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/live848/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/live582/index.m3u8
五星体育,http://live.hunantv.com/hdtv36/index.m3u8
广东体育,rtp://239.253.43.103:8080
北京体育,rtp://239.254.98.68:9001
劲爆体育,rtp://239.254.98.69:9001
魅力足球,rtp://239.253.43.101:5140
CCTV6电影,http://live.cctv.cn/cctv9hd/index.m3u8
上海电影,http://cctv13.live.cctv.cn/hdtv65/index.m3u8
广东电影,rtp://239.254.98.179:8080
峨眉电影,rtp://225.1.8.173:9000
CHC高清电影,http://live.hunantv.com/cctv6hd/index.m3u8
CHC动作电影,rtp://225.1.8.73:5140
CHC家庭影院,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
都市剧场,http://live.gdtv.cn/cctv16hd/index.m3u8
CCTV少儿,http://live.hunantv.com/hdtv40/index.m3u8
金鹰卡通,rtp://239.254.98.138:9901
嘉佳卡通,rtp://225.1.8.248:9901
优漫卡通,rtp://239.253.43.215:1234
炫动卡通,rtp://239.253.43.58:9000
卡酷少儿,rtp://225.1.8.159:8000
CCTV新闻,http://live.hunantv.com/hdtv28/index.m3u8
CCTV13,http://live.cctv.cn/hdtv15/index.m3u8
中国教育1台,rtp://239.253.43.177:5140
中国教育2台,rtp://239.254.98.81:9000
凤凰中文,rtp://239.253.43.76:1234
凤凰资讯,rtp://239.253.43.123:9001
CCTV11戏曲,http://cctv1.live.cctv.cn/hdtv67/index.m3u8
梨园频道,rtp://239.254.98.198:9001
文物宝库,rtp://239.253.43.10:5140
国学频道,rtp://239.253.43.205:1234
秦腔频道,rtp://239.253.43.170:9001
陕西秦腔,http://live.cctv.cn/hd20/index.m3u8
甘肃秦腔,rtp://225.1.8.244:5140
宁夏秦腔,rtp://239.254.98.98:9901
新疆秦腔,rtp://225.1.8.141:9000
乌鲁木齐秦腔,rtp://239.254.98.212:9001
伊犁秦腔,http://live.hunantv.com/hd20/index.m3u8
