# 江苏省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 131
# 格式: 频道名,直播地址
CCTV1综合,http://live.gdtv.cn/live141/index.m3u8
CCTV2财经,http://live.gdtv.cn/cctv7hd/index.m3u8
CCTV3综艺,http://live.gdtv.cn/cctv11hd/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hd50/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hdtv48/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/hdtv94/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/hdtv7/index.m3u8
CCTV7国防军事,http://cctv13.live.cctv.cn/cctv7hd/index.m3u8
CCTV8电视剧,http://live.hunantv.com/hdtv26/index.m3u8
CCTV9纪录,http://live.hunantv.com/live838/index.m3u8
CCTV10科教,http://live.gdtv.cn/live331/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/hdtv10/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hdtv29/index.m3u8
CCTV13新闻,http://live.gdtv.cn/hd44/index.m3u8
CCTV14少儿,http://live.gdtv.cn/hd12/index.m3u8
CCTV15音乐,http://live.hunantv.com/cctv8hd/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hd1/index.m3u8
CCTV17农业农村,http://live.cctv.cn/cctv8hd/index.m3u8
湖南卫视,rtp://239.112.205.158:8000
浙江卫视,http://live.cctv.cn/cctv4hd/index.m3u8
江苏卫视,http://live.gdtv.cn/live374/index.m3u8
东方卫视,http://live.gdtv.cn/hd15/index.m3u8
北京卫视,http://live.cctv.cn/cctv13hd/index.m3u8
广东卫视,rtp://225.1.1.246:5140
深圳卫视,rtp://239.3.1.79:9000
山东卫视,rtp://225.1.1.122:8000
天津卫视,rtp://239.3.1.17:8080
辽宁卫视,rtp://239.3.1.122:5140
黑龙江卫视,rtp://239.3.1.49:9901
安徽卫视,rtp://239.3.1.93:9000
河北卫视,http://live.cctv.cn/hd29/index.m3u8
河南卫视,http://live.gdtv.cn/hd33/index.m3u8
湖北卫视,http://live.gdtv.cn/live111/index.m3u8
江西卫视,rtp://225.1.1.128:9000
福建卫视,http://live.cctv.cn/cctv12hd/index.m3u8
四川卫视,rtp://225.1.1.67:9901
重庆卫视,rtp://239.112.205.183:8080
贵州卫视,http://cctv1.live.cctv.cn/hd34/index.m3u8
云南卫视,rtp://225.1.1.151:8080
广西卫视,rtp://239.112.205.117:1234
海南卫视,http://cctv1.live.cctv.cn/live985/index.m3u8
山西卫视,rtp://225.1.1.179:9901
陕西卫视,http://live.hunantv.com/hd5/index.m3u8
甘肃卫视,rtp://225.1.1.132:5140
青海卫视,http://cctv1.live.cctv.cn/live729/index.m3u8
宁夏卫视,rtp://239.112.205.54:8080
新疆卫视,rtp://239.3.1.42:1234
西藏卫视,rtp://239.112.205.209:8000
内蒙古卫视,http://cctv1.live.cctv.cn/live579/index.m3u8
吉林卫视,rtp://239.3.1.86:8000
