# 江苏省 电信 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/cctv8hd/index.m3u8
CCTV2财经,http://live.cctv.cn/cctv16hd/index.m3u8
CCTV3综艺,http://live.gdtv.cn/cctv16hd/index.m3u8
CCTV4中文国际,http://cctv1.live.cctv.cn/live354/index.m3u8
CCTV5体育,http://cctv1.live.cctv.cn/hdtv94/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/live439/index.m3u8
CCTV6电影,http://cctv1.live.cctv.cn/cctv7hd/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/cctv11hd/index.m3u8
CCTV8电视剧,http://cctv13.live.cctv.cn/cctv12hd/index.m3u8
CCTV9纪录,http://live.hunantv.com/hd10/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/hdtv99/index.m3u8
CCTV11戏曲,http://cctv13.live.cctv.cn/live591/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/cctv15hd/index.m3u8
CCTV13新闻,http://live.gdtv.cn/live302/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd12/index.m3u8
CCTV17农业农村,http://live.cctv.cn/live320/index.m3u8
湖南卫视,http://cctv1.live.cctv.cn/hdtv40/index.m3u8
浙江卫视,rtp://239.3.1.137:9901
江苏卫视,rtp://225.1.1.131:8000
东方卫视,rtp://225.1.1.76:9901
北京卫视,rtp://239.3.1.218:9901
广东卫视,http://live.cctv.cn/cctv1hd/index.m3u8
深圳卫视,http://live.gdtv.cn/hd39/index.m3u8
山东卫视,rtp://239.112.205.226:1234
天津卫视,rtp://239.3.1.146:8080
辽宁卫视,rtp://225.1.1.152:9001
黑龙江卫视,rtp://225.1.1.45:5140
安徽卫视,rtp://239.112.205.38:9901
河北卫视,rtp://239.3.1.141:8080
河南卫视,rtp://239.3.1.140:9901
湖北卫视,rtp://225.1.1.118:9001
江西卫视,rtp://225.1.1.14:8000
福建卫视,rtp://225.1.1.52:9901
四川卫视,rtp://239.112.205.15:1234
重庆卫视,rtp://239.112.205.175:9901
贵州卫视,rtp://239.112.205.35:8000
云南卫视,rtp://239.112.205.22:8080
广西卫视,rtp://239.112.205.236:9000
海南卫视,rtp://225.1.1.27:5140
山西卫视,http://cctv1.live.cctv.cn/live848/index.m3u8
陕西卫视,rtp://225.1.1.30:1234
甘肃卫视,rtp://225.1.1.127:9901
青海卫视,http://cctv13.live.cctv.cn/cctv3hd/index.m3u8
宁夏卫视,rtp://239.112.205.80:9901
新疆卫视,rtp://225.1.1.14:9001
西藏卫视,rtp://225.1.1.185:8000
内蒙古卫视,rtp://239.112.205.3:8080
吉林卫视,rtp://239.112.205.253:8000
江苏新闻,rtp://239.3.1.109:1234
江苏都市,http://live.cctv.cn/hdtv80/index.m3u8
江苏影视,rtp://239.3.1.184:8000
江苏生活,rtp://239.3.1.228:9901
江苏经济,rtp://239.112.205.179:9000
江苏科教,rtp://239.3.1.30:8000
江苏体育,rtp://239.3.1.130:1234
江苏公共,rtp://225.1.1.155:9000
江苏卫视,rtp://225.1.1.223:5140
江苏城市,http://live.cctv.cn/hd42/index.m3u8
江苏综艺,rtp://239.112.205.116:9000
江苏影视,rtp://239.3.1.97:5140
江苏体休,rtp://225.1.1.124:1234
江苏教育,rtp://225.1.1.183:8000
江苏国际,rtp://239.3.1.117:1234
CCTV1 4K,http://cctv13.live.cctv.cn/hd20/index.m3u8
CCTV4K,http://live.hunantv.com/hdtv37/index.m3u8
北京纪实4K,http://live.cctv.cn/hd16/index.m3u8
上海纪实4K,http://live.gdtv.cn/hd19/index.m3u8
广东4K,http://cctv1.live.cctv.cn/live883/index.m3u8
咪咕体育4K,http://cctv1.live.cctv.cn/cctv15hd/index.m3u8
咪咕直播4K,http://cctv13.live.cctv.cn/hd5/index.m3u8
纯享4K,http://live.cctv.cn/live500/index.m3u8
爱上4K,http://live.gdtv.cn/cctv4hd/index.m3u8
欢笑剧场4K,http://live.gdtv.cn/live108/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hdtv22/index.m3u8
CCTV5+体育赛事,http://live.cctv.cn/cctv8hd/index.m3u8
CCTV16奥林匹克,http://live.cctv.cn/hd4/index.m3u8
五星体育,rtp://225.1.1.124:9000
广东体育,http://live.hunantv.com/live764/index.m3u8
北京体育,rtp://239.112.205.248:9901
劲爆体育,rtp://239.3.1.176:9901
魅力足球,http://live.gdtv.cn/hdtv7/index.m3u8
CCTV6电影,http://live.cctv.cn/cctv9hd/index.m3u8
上海电影,rtp://225.1.1.133:1234
广东电影,rtp://239.3.1.79:1234
峨眉电影,http://live.cctv.cn/cctv1hd/index.m3u8
CHC高清电影,http://live.gdtv.cn/cctv7hd/index.m3u8
CHC动作电影,http://live.hunantv.com/hdtv71/index.m3u8
CHC家庭影院,http://live.hunantv.com/cctv4hd/index.m3u8
都市剧场,http://cctv1.live.cctv.cn/hdtv57/index.m3u8
CCTV少儿,http://live.cctv.cn/hd28/index.m3u8
金鹰卡通,rtp://225.1.1.116:5140
嘉佳卡通,rtp://239.3.1.133:8000
优漫卡通,rtp://225.1.1.237:8080
炫动卡通,rtp://239.112.205.237:9000
卡酷少儿,rtp://239.112.205.215:8000
CCTV新闻,http://live.hunantv.com/cctv8hd/index.m3u8
CCTV13,http://cctv13.live.cctv.cn/hdtv24/index.m3u8
中国教育1台,rtp://225.1.1.85:9001
中国教育2台,rtp://239.3.1.240:1234
凤凰中文,http://live.cctv.cn/hd36/index.m3u8
凤凰资讯,rtp://239.112.205.240:9901
CCTV11戏曲,http://cctv13.live.cctv.cn/hd36/index.m3u8
梨园频道,rtp://239.3.1.67:1234
文物宝库,rtp://239.112.205.87:9000
国学频道,rtp://239.112.205.206:8080
秦腔频道,rtp://239.3.1.173:1234
陕西秦腔,rtp://239.112.205.147:9000
甘肃秦腔,rtp://239.112.205.129:9001
