# 江苏省 移动 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://live.hunantv.com/hdtv72/index.m3u8
CCTV2财经,http://live.cctv.cn/hd12/index.m3u8
CCTV3综艺,http://live.cctv.cn/hdtv37/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/hdtv68/index.m3u8
CCTV5体育,http://live.hunantv.com/live753/index.m3u8
CCTV5+体育赛事,http://cctv13.live.cctv.cn/live554/index.m3u8
CCTV6电影,http://live.hunantv.com/live775/index.m3u8
CCTV7国防军事,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
CCTV8电视剧,http://live.hunantv.com/live639/index.m3u8
CCTV9纪录,http://live.hunantv.com/cctv16hd/index.m3u8
CCTV10科教,http://cctv1.live.cctv.cn/cctv12hd/index.m3u8
CCTV11戏曲,http://cctv1.live.cctv.cn/hd18/index.m3u8
CCTV12社会与法,http://live.cctv.cn/live587/index.m3u8
CCTV13新闻,http://cctv13.live.cctv.cn/live309/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/hdtv59/index.m3u8
CCTV15音乐,http://live.gdtv.cn/hd1/index.m3u8
CCTV16奥林匹克,http://cctv13.live.cctv.cn/hd12/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/cctv4hd/index.m3u8
湖南卫视,rtp://239.3.1.49:9901
浙江卫视,rtp://239.112.205.117:9001
江苏卫视,rtp://239.3.1.232:5140
东方卫视,http://live.cctv.cn/live592/index.m3u8
北京卫视,http://live.cctv.cn/cctv6hd/index.m3u8
广东卫视,http://live.gdtv.cn/live414/index.m3u8
深圳卫视,rtp://225.1.1.70:9000
山东卫视,rtp://239.112.205.102:8000
天津卫视,rtp://239.112.205.143:9901
辽宁卫视,rtp://239.3.1.48:8000
黑龙江卫视,rtp://225.1.1.115:1234
安徽卫视,rtp://239.112.205.18:5140
河北卫视,rtp://239.3.1.117:1234
河南卫视,http://live.cctv.cn/cctv17hd/index.m3u8
湖北卫视,rtp://239.112.205.233:8080
江西卫视,rtp://225.1.1.190:8080
福建卫视,http://live.hunantv.com/live536/index.m3u8
四川卫视,http://cctv1.live.cctv.cn/hdtv11/index.m3u8
重庆卫视,rtp://225.1.1.107:5140
贵州卫视,rtp://239.3.1.21:5140
云南卫视,rtp://225.1.1.164:1234
广西卫视,rtp://239.3.1.149:9000
海南卫视,rtp://239.3.1.177:1234
山西卫视,rtp://225.1.1.158:9000
陕西卫视,rtp://225.1.1.23:5140
甘肃卫视,rtp://239.112.205.14:5140
青海卫视,rtp://225.1.1.111:9000
宁夏卫视,rtp://239.112.205.11:5140
新疆卫视,http://cctv13.live.cctv.cn/hd37/index.m3u8
西藏卫视,rtp://225.1.1.156:5140
内蒙古卫视,rtp://239.3.1.250:1234
吉林卫视,rtp://239.112.205.56:8080
江苏新闻,rtp://239.3.1.183:1234
江苏都市,rtp://225.1.1.214:8080
江苏影视,http://live.gdtv.cn/hd23/index.m3u8
江苏生活,http://live.gdtv.cn/hdtv45/index.m3u8
江苏经济,rtp://225.1.1.38:8080
江苏科教,rtp://239.3.1.112:9000
江苏体育,rtp://239.3.1.197:1234
江苏公共,rtp://225.1.1.188:5140
江苏卫视,rtp://225.1.1.145:9001
江苏城市,rtp://239.112.205.198:9001
江苏综艺,rtp://239.3.1.120:8080
江苏影视,http://live.cctv.cn/live896/index.m3u8
江苏体休,rtp://239.112.205.143:8080
江苏教育,http://cctv13.live.cctv.cn/live250/index.m3u8
江苏国际,rtp://225.1.1.75:8000
CCTV1 4K,http://live.hunantv.com/hd22/index.m3u8
CCTV4K,http://live.cctv.cn/live375/index.m3u8
北京纪实4K,http://cctv13.live.cctv.cn/hd17/index.m3u8
上海纪实4K,http://live.gdtv.cn/hdtv51/index.m3u8
广东4K,http://live.hunantv.com/cctv16hd/index.m3u8
咪咕体育4K,http://cctv13.live.cctv.cn/hd33/index.m3u8
咪咕直播4K,http://cctv1.live.cctv.cn/cctv6hd/index.m3u8
纯享4K,http://live.cctv.cn/hd33/index.m3u8
爱上4K,http://cctv13.live.cctv.cn/live876/index.m3u8
欢笑剧场4K,http://live.cctv.cn/live160/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hdtv30/index.m3u8
CCTV5+体育赛事,http://cctv1.live.cctv.cn/hdtv96/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/hd9/index.m3u8
五星体育,rtp://239.3.1.24:1234
广东体育,rtp://239.3.1.209:9001
北京体育,rtp://239.3.1.252:8000
劲爆体育,rtp://239.112.205.134:1234
魅力足球,rtp://239.3.1.56:8080
CCTV6电影,http://cctv13.live.cctv.cn/hdtv3/index.m3u8
上海电影,http://live.cctv.cn/live587/index.m3u8
广东电影,rtp://239.112.205.176:5140
峨眉电影,rtp://225.1.1.197:9000
CHC高清电影,http://live.gdtv.cn/hdtv68/index.m3u8
CHC动作电影,rtp://239.3.1.205:8080
