# 江苏省 联通 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 115
# 格式: 频道名,直播地址
CCTV1综合,http://cctv1.live.cctv.cn/hdtv54/index.m3u8
CCTV2财经,http://live.hunantv.com/hd19/index.m3u8
CCTV3综艺,http://cctv13.live.cctv.cn/hdtv60/index.m3u8
CCTV4中文国际,http://live.hunantv.com/hdtv56/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hd23/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/hdtv50/index.m3u8
CCTV6电影,http://cctv13.live.cctv.cn/hd36/index.m3u8
CCTV7国防军事,http://live.hunantv.com/cctv9hd/index.m3u8
CCTV8电视剧,http://live.cctv.cn/hdtv77/index.m3u8
CCTV9纪录,http://live.gdtv.cn/live842/index.m3u8
CCTV10科教,http://live.hunantv.com/hd36/index.m3u8
CCTV11戏曲,http://live.cctv.cn/hdtv75/index.m3u8
CCTV12社会与法,http://live.cctv.cn/hd20/index.m3u8
CCTV13新闻,http://live.cctv.cn/live576/index.m3u8
CCTV14少儿,http://cctv1.live.cctv.cn/cctv10hd/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/live663/index.m3u8
CCTV16奥林匹克,http://live.gdtv.cn/cctv2hd/index.m3u8
CCTV17农业农村,http://live.cctv.cn/hdtv67/index.m3u8
湖南卫视,http://live.gdtv.cn/hd41/index.m3u8
浙江卫视,rtp://239.112.205.117:9901
江苏卫视,http://live.hunantv.com/hdtv63/index.m3u8
东方卫视,rtp://239.3.1.134:5140
北京卫视,rtp://239.3.1.42:9000
广东卫视,rtp://239.3.1.112:9901
深圳卫视,rtp://239.3.1.86:1234
山东卫视,rtp://225.1.1.36:1234
天津卫视,rtp://239.3.1.113:8000
辽宁卫视,rtp://239.112.205.78:9000
黑龙江卫视,rtp://239.3.1.49:9000
安徽卫视,rtp://239.3.1.158:5140
河北卫视,http://live.hunantv.com/live497/index.m3u8
河南卫视,rtp://239.3.1.185:8080
湖北卫视,rtp://239.112.205.64:9000
江西卫视,http://live.gdtv.cn/hd44/index.m3u8
福建卫视,rtp://239.3.1.156:9001
四川卫视,rtp://225.1.1.188:9001
重庆卫视,http://cctv1.live.cctv.cn/hdtv19/index.m3u8
贵州卫视,rtp://239.112.205.33:8080
云南卫视,http://cctv1.live.cctv.cn/live639/index.m3u8
广西卫视,rtp://239.3.1.60:9901
海南卫视,rtp://239.3.1.84:1234
山西卫视,rtp://239.112.205.203:9000
陕西卫视,rtp://225.1.1.45:8000
甘肃卫视,rtp://239.112.205.116:9000
青海卫视,rtp://225.1.1.222:9901
宁夏卫视,http://cctv13.live.cctv.cn/hd10/index.m3u8
新疆卫视,rtp://239.3.1.240:1234
西藏卫视,rtp://239.3.1.155:8000
内蒙古卫视,rtp://239.112.205.134:8080
