# 江西省 广电 IPTV直播源
# 生成时间: 2025-06-21 14:02:21
# 频道数量: 120
# 格式: 频道名,直播地址
CCTV1综合,http://cctv13.live.cctv.cn/hdtv12/index.m3u8
CCTV2财经,http://live.hunantv.com/hdtv39/index.m3u8
CCTV3综艺,http://cctv1.live.cctv.cn/live267/index.m3u8
CCTV4中文国际,http://live.gdtv.cn/live775/index.m3u8
CCTV5体育,http://cctv13.live.cctv.cn/hdtv75/index.m3u8
CCTV5+体育赛事,http://live.hunantv.com/cctv4hd/index.m3u8
CCTV6电影,http://live.cctv.cn/hd19/index.m3u8
CCTV7国防军事,http://live.cctv.cn/cctv6hd/index.m3u8
CCTV8电视剧,http://live.hunantv.com/hdtv43/index.m3u8
CCTV9纪录,http://cctv13.live.cctv.cn/hdtv11/index.m3u8
CCTV10科教,http://live.cctv.cn/hdtv68/index.m3u8
CCTV11戏曲,http://live.hunantv.com/hd29/index.m3u8
CCTV12社会与法,http://cctv13.live.cctv.cn/hdtv5/index.m3u8
CCTV13新闻,http://live.gdtv.cn/cctv8hd/index.m3u8
CCTV14少儿,http://cctv13.live.cctv.cn/hd42/index.m3u8
CCTV15音乐,http://cctv1.live.cctv.cn/live382/index.m3u8
CCTV16奥林匹克,http://cctv1.live.cctv.cn/cctv14hd/index.m3u8
CCTV17农业农村,http://cctv1.live.cctv.cn/hdtv7/index.m3u8
湖南卫视,rtp://239.45.1.87:1234
浙江卫视,rtp://239.20.0.39:1234
江苏卫视,rtp://239.20.0.28:8000
东方卫视,http://cctv13.live.cctv.cn/cctv8hd/index.m3u8
北京卫视,http://live.gdtv.cn/cctv10hd/index.m3u8
广东卫视,http://live.gdtv.cn/hdtv48/index.m3u8
深圳卫视,rtp://239.253.92.6:9000
山东卫视,rtp://239.20.0.123:1234
天津卫视,rtp://239.20.0.231:5140
辽宁卫视,rtp://239.45.1.251:8080
黑龙江卫视,rtp://239.45.1.117:9001
安徽卫视,rtp://239.253.92.91:5140
河北卫视,rtp://239.20.0.167:9901
河南卫视,rtp://239.45.1.10:5140
湖北卫视,rtp://239.45.1.73:8080
江西卫视,rtp://239.45.1.48:9001
福建卫视,rtp://239.20.0.126:9000
四川卫视,rtp://239.20.0.115:8080
重庆卫视,rtp://239.45.1.3:1234
贵州卫视,rtp://239.253.92.198:8080
云南卫视,rtp://239.20.0.204:9000
广西卫视,rtp://239.20.0.146:8080
海南卫视,rtp://239.45.1.156:1234
山西卫视,rtp://239.45.1.23:5140
陕西卫视,rtp://239.20.0.167:5140
甘肃卫视,rtp://239.253.92.4:8000
青海卫视,rtp://239.253.92.84:9901
宁夏卫视,rtp://239.253.92.144:5140
新疆卫视,rtp://239.20.0.16:8000
西藏卫视,rtp://239.20.0.71:5140
内蒙古卫视,rtp://239.20.0.23:9901
吉林卫视,rtp://239.45.1.119:9000
江西新闻,rtp://239.20.0.201:8080
江西都市,rtp://239.253.92.22:9000
江西影视,rtp://239.45.1.31:9001
江西生活,rtp://239.45.1.122:9901
江西经济,rtp://239.45.1.18:9901
